Date_Key,Date_Full_Format,Day,Month,Year,Day_of_Week_Name,Day_of_Week_Num,Week_in_Year,Weekend
1,2008-01-01,1,1,2008,Tuesday,3,1,0
2,2008-01-02,2,1,2008,Wednesday,4,1,0
3,2008-01-03,3,1,2008,Thursday,5,1,0
4,2008-01-04,4,1,2008,Friday,6,1,0
5,2008-01-05,5,1,2008,Saturday,7,1,1
6,2008-01-06,6,1,2008,Sunday,1,2,1
7,2008-01-07,7,1,2008,Monday,2,2,0
8,2008-01-08,8,1,2008,Tuesday,3,2,0
9,2008-01-09,9,1,2008,Wednesday,4,2,0
10,2008-01-10,10,1,2008,Thursday,5,2,0
11,2008-01-11,11,1,2008,Friday,6,2,0
12,2008-01-12,12,1,2008,Saturday,7,2,1
13,2008-01-13,13,1,2008,Sunday,1,3,1
14,2008-01-14,14,1,2008,Monday,2,3,0
15,2008-01-15,15,1,2008,Tuesday,3,3,0
16,2008-01-16,16,1,2008,Wednesday,4,3,0
17,2008-01-17,17,1,2008,Thursday,5,3,0
18,2008-01-18,18,1,2008,Friday,6,3,0
19,2008-01-19,19,1,2008,Saturday,7,3,1
20,2008-01-20,20,1,2008,Sunday,1,4,1
21,2008-01-21,21,1,2008,Monday,2,4,0
22,2008-01-22,22,1,2008,Tuesday,3,4,0
23,2008-01-23,23,1,2008,Wednesday,4,4,0
24,2008-01-24,24,1,2008,Thursday,5,4,0
25,2008-01-25,25,1,2008,Friday,6,4,0
26,2008-01-26,26,1,2008,Saturday,7,4,1
27,2008-01-27,27,1,2008,Sunday,1,5,1
28,2008-01-28,28,1,2008,Monday,2,5,0
29,2008-01-29,29,1,2008,Tuesday,3,5,0
30,2008-01-30,30,1,2008,Wednesday,4,5,0
31,2008-01-31,31,1,2008,Thursday,5,5,0
32,2008-02-01,1,2,2008,Friday,6,5,0
33,2008-02-02,2,2,2008,Saturday,7,5,1
34,2008-02-03,3,2,2008,Sunday,1,6,1
35,2008-02-04,4,2,2008,Monday,2,6,0
36,2008-02-05,5,2,2008,Tuesday,3,6,0
37,2008-02-06,6,2,2008,Wednesday,4,6,0
38,2008-02-07,7,2,2008,Thursday,5,6,0
39,2008-02-08,8,2,2008,Friday,6,6,0
40,2008-02-09,9,2,2008,Saturday,7,6,1
41,2008-02-10,10,2,2008,Sunday,1,7,1
42,2008-02-11,11,2,2008,Monday,2,7,0
43,2008-02-12,12,2,2008,Tuesday,3,7,0
44,2008-02-13,13,2,2008,Wednesday,4,7,0
45,2008-02-14,14,2,2008,Thursday,5,7,0
46,2008-02-15,15,2,2008,Friday,6,7,0
47,2008-02-16,16,2,2008,Saturday,7,7,1
48,2008-02-17,17,2,2008,Sunday,1,8,1
49,2008-02-18,18,2,2008,Monday,2,8,0
50,2008-02-19,19,2,2008,Tuesday,3,8,0
51,2008-02-20,20,2,2008,Wednesday,4,8,0
52,2008-02-21,21,2,2008,Thursday,5,8,0
53,2008-02-22,22,2,2008,Friday,6,8,0
54,2008-02-23,23,2,2008,Saturday,7,8,1
55,2008-02-24,24,2,2008,Sunday,1,9,1
56,2008-02-25,25,2,2008,Monday,2,9,0
57,2008-02-26,26,2,2008,Tuesday,3,9,0
58,2008-02-27,27,2,2008,Wednesday,4,9,0
59,2008-02-28,28,2,2008,Thursday,5,9,0
60,2008-02-29,29,2,2008,Friday,6,9,0
61,2008-03-01,1,3,2008,Saturday,7,9,1
62,2008-03-02,2,3,2008,Sunday,1,10,1
63,2008-03-03,3,3,2008,Monday,2,10,0
64,2008-03-04,4,3,2008,Tuesday,3,10,0
65,2008-03-05,5,3,2008,Wednesday,4,10,0
66,2008-03-06,6,3,2008,Thursday,5,10,0
67,2008-03-07,7,3,2008,Friday,6,10,0
68,2008-03-08,8,3,2008,Saturday,7,10,1
69,2008-03-09,9,3,2008,Sunday,1,11,1
70,2008-03-10,10,3,2008,Monday,2,11,0
71,2008-03-11,11,3,2008,Tuesday,3,11,0
72,2008-03-12,12,3,2008,Wednesday,4,11,0
73,2008-03-13,13,3,2008,Thursday,5,11,0
74,2008-03-14,14,3,2008,Friday,6,11,0
75,2008-03-15,15,3,2008,Saturday,7,11,1
76,2008-03-16,16,3,2008,Sunday,1,12,1
77,2008-03-17,17,3,2008,Monday,2,12,0
78,2008-03-18,18,3,2008,Tuesday,3,12,0
79,2008-03-19,19,3,2008,Wednesday,4,12,0
80,2008-03-20,20,3,2008,Thursday,5,12,0
81,2008-03-21,21,3,2008,Friday,6,12,0
82,2008-03-22,22,3,2008,Saturday,7,12,1
83,2008-03-23,23,3,2008,Sunday,1,13,1
84,2008-03-24,24,3,2008,Monday,2,13,0
85,2008-03-25,25,3,2008,Tuesday,3,13,0
86,2008-03-26,26,3,2008,Wednesday,4,13,0
87,2008-03-27,27,3,2008,Thursday,5,13,0
88,2008-03-28,28,3,2008,Friday,6,13,0
89,2008-03-29,29,3,2008,Saturday,7,13,1
90,2008-03-30,30,3,2008,Sunday,1,14,1
91,2008-03-31,31,3,2008,Monday,2,14,0
92,2008-04-01,1,4,2008,Tuesday,3,14,0
93,2008-04-02,2,4,2008,Wednesday,4,14,0
94,2008-04-03,3,4,2008,Thursday,5,14,0
95,2008-04-04,4,4,2008,Friday,6,14,0
96,2008-04-05,5,4,2008,Saturday,7,14,1
97,2008-04-06,6,4,2008,Sunday,1,15,1
98,2008-04-07,7,4,2008,Monday,2,15,0
99,2008-04-08,8,4,2008,Tuesday,3,15,0
100,2008-04-09,9,4,2008,Wednesday,4,15,0
101,2008-04-10,10,4,2008,Thursday,5,15,0
102,2008-04-11,11,4,2008,Friday,6,15,0
103,2008-04-12,12,4,2008,Saturday,7,15,1
104,2008-04-13,13,4,2008,Sunday,1,16,1
105,2008-04-14,14,4,2008,Monday,2,16,0
106,2008-04-15,15,4,2008,Tuesday,3,16,0
107,2008-04-16,16,4,2008,Wednesday,4,16,0
108,2008-04-17,17,4,2008,Thursday,5,16,0
109,2008-04-18,18,4,2008,Friday,6,16,0
110,2008-04-19,19,4,2008,Saturday,7,16,1
111,2008-04-20,20,4,2008,Sunday,1,17,1
112,2008-04-21,21,4,2008,Monday,2,17,0
113,2008-04-22,22,4,2008,Tuesday,3,17,0
114,2008-04-23,23,4,2008,Wednesday,4,17,0
115,2008-04-24,24,4,2008,Thursday,5,17,0
116,2008-04-25,25,4,2008,Friday,6,17,0
117,2008-04-26,26,4,2008,Saturday,7,17,1
118,2008-04-27,27,4,2008,Sunday,1,18,1
119,2008-04-28,28,4,2008,Monday,2,18,0
120,2008-04-29,29,4,2008,Tuesday,3,18,0
121,2008-04-30,30,4,2008,Wednesday,4,18,0
122,2008-05-01,1,5,2008,Thursday,5,18,0
123,2008-05-02,2,5,2008,Friday,6,18,0
124,2008-05-03,3,5,2008,Saturday,7,18,1
125,2008-05-04,4,5,2008,Sunday,1,19,1
126,2008-05-05,5,5,2008,Monday,2,19,0
127,2008-05-06,6,5,2008,Tuesday,3,19,0
128,2008-05-07,7,5,2008,Wednesday,4,19,0
129,2008-05-08,8,5,2008,Thursday,5,19,0
130,2008-05-09,9,5,2008,Friday,6,19,0
131,2008-05-10,10,5,2008,Saturday,7,19,1
132,2008-05-11,11,5,2008,Sunday,1,20,1
133,2008-05-12,12,5,2008,Monday,2,20,0
134,2008-05-13,13,5,2008,Tuesday,3,20,0
135,2008-05-14,14,5,2008,Wednesday,4,20,0
136,2008-05-15,15,5,2008,Thursday,5,20,0
137,2008-05-16,16,5,2008,Friday,6,20,0
138,2008-05-17,17,5,2008,Saturday,7,20,1
139,2008-05-18,18,5,2008,Sunday,1,21,1
140,2008-05-19,19,5,2008,Monday,2,21,0
141,2008-05-20,20,5,2008,Tuesday,3,21,0
142,2008-05-21,21,5,2008,Wednesday,4,21,0
143,2008-05-22,22,5,2008,Thursday,5,21,0
144,2008-05-23,23,5,2008,Friday,6,21,0
145,2008-05-24,24,5,2008,Saturday,7,21,1
146,2008-05-25,25,5,2008,Sunday,1,22,1
147,2008-05-26,26,5,2008,Monday,2,22,0
148,2008-05-27,27,5,2008,Tuesday,3,22,0
149,2008-05-28,28,5,2008,Wednesday,4,22,0
150,2008-05-29,29,5,2008,Thursday,5,22,0
151,2008-05-30,30,5,2008,Friday,6,22,0
152,2008-05-31,31,5,2008,Saturday,7,22,1
153,2008-06-01,1,6,2008,Sunday,1,23,1
154,2008-06-02,2,6,2008,Monday,2,23,0
155,2008-06-03,3,6,2008,Tuesday,3,23,0
156,2008-06-04,4,6,2008,Wednesday,4,23,0
157,2008-06-05,5,6,2008,Thursday,5,23,0
158,2008-06-06,6,6,2008,Friday,6,23,0
159,2008-06-07,7,6,2008,Saturday,7,23,1
160,2008-06-08,8,6,2008,Sunday,1,24,1
161,2008-06-09,9,6,2008,Monday,2,24,0
162,2008-06-10,10,6,2008,Tuesday,3,24,0
163,2008-06-11,11,6,2008,Wednesday,4,24,0
164,2008-06-12,12,6,2008,Thursday,5,24,0
165,2008-06-13,13,6,2008,Friday,6,24,0
166,2008-06-14,14,6,2008,Saturday,7,24,1
167,2008-06-15,15,6,2008,Sunday,1,25,1
168,2008-06-16,16,6,2008,Monday,2,25,0
169,2008-06-17,17,6,2008,Tuesday,3,25,0
170,2008-06-18,18,6,2008,Wednesday,4,25,0
171,2008-06-19,19,6,2008,Thursday,5,25,0
172,2008-06-20,20,6,2008,Friday,6,25,0
173,2008-06-21,21,6,2008,Saturday,7,25,1
174,2008-06-22,22,6,2008,Sunday,1,26,1
175,2008-06-23,23,6,2008,Monday,2,26,0
176,2008-06-24,24,6,2008,Tuesday,3,26,0
177,2008-06-25,25,6,2008,Wednesday,4,26,0
178,2008-06-26,26,6,2008,Thursday,5,26,0
179,2008-06-27,27,6,2008,Friday,6,26,0
180,2008-06-28,28,6,2008,Saturday,7,26,1
181,2008-06-29,29,6,2008,Sunday,1,27,1
182,2008-06-30,30,6,2008,Monday,2,27,0
183,2008-07-01,1,7,2008,Tuesday,3,27,0
184,2008-07-02,2,7,2008,Wednesday,4,27,0
185,2008-07-03,3,7,2008,Thursday,5,27,0
186,2008-07-04,4,7,2008,Friday,6,27,0
187,2008-07-05,5,7,2008,Saturday,7,27,1
188,2008-07-06,6,7,2008,Sunday,1,28,1
189,2008-07-07,7,7,2008,Monday,2,28,0
190,2008-07-08,8,7,2008,Tuesday,3,28,0
191,2008-07-09,9,7,2008,Wednesday,4,28,0
192,2008-07-10,10,7,2008,Thursday,5,28,0
193,2008-07-11,11,7,2008,Friday,6,28,0
194,2008-07-12,12,7,2008,Saturday,7,28,1
195,2008-07-13,13,7,2008,Sunday,1,29,1
196,2008-07-14,14,7,2008,Monday,2,29,0
197,2008-07-15,15,7,2008,Tuesday,3,29,0
198,2008-07-16,16,7,2008,Wednesday,4,29,0
199,2008-07-17,17,7,2008,Thursday,5,29,0
200,2008-07-18,18,7,2008,Friday,6,29,0
201,2008-07-19,19,7,2008,Saturday,7,29,1
202,2008-07-20,20,7,2008,Sunday,1,30,1
203,2008-07-21,21,7,2008,Monday,2,30,0
204,2008-07-22,22,7,2008,Tuesday,3,30,0
205,2008-07-23,23,7,2008,Wednesday,4,30,0
206,2008-07-24,24,7,2008,Thursday,5,30,0
207,2008-07-25,25,7,2008,Friday,6,30,0
208,2008-07-26,26,7,2008,Saturday,7,30,1
209,2008-07-27,27,7,2008,Sunday,1,31,1
210,2008-07-28,28,7,2008,Monday,2,31,0
211,2008-07-29,29,7,2008,Tuesday,3,31,0
212,2008-07-30,30,7,2008,Wednesday,4,31,0
213,2008-07-31,31,7,2008,Thursday,5,31,0
214,2008-08-01,1,8,2008,Friday,6,31,0
215,2008-08-02,2,8,2008,Saturday,7,31,1
216,2008-08-03,3,8,2008,Sunday,1,32,1
217,2008-08-04,4,8,2008,Monday,2,32,0
218,2008-08-05,5,8,2008,Tuesday,3,32,0
219,2008-08-06,6,8,2008,Wednesday,4,32,0
220,2008-08-07,7,8,2008,Thursday,5,32,0
221,2008-08-08,8,8,2008,Friday,6,32,0
222,2008-08-09,9,8,2008,Saturday,7,32,1
223,2008-08-10,10,8,2008,Sunday,1,33,1
224,2008-08-11,11,8,2008,Monday,2,33,0
225,2008-08-12,12,8,2008,Tuesday,3,33,0
226,2008-08-13,13,8,2008,Wednesday,4,33,0
227,2008-08-14,14,8,2008,Thursday,5,33,0
228,2008-08-15,15,8,2008,Friday,6,33,0
229,2008-08-16,16,8,2008,Saturday,7,33,1
230,2008-08-17,17,8,2008,Sunday,1,34,1
231,2008-08-18,18,8,2008,Monday,2,34,0
232,2008-08-19,19,8,2008,Tuesday,3,34,0
233,2008-08-20,20,8,2008,Wednesday,4,34,0
234,2008-08-21,21,8,2008,Thursday,5,34,0
235,2008-08-22,22,8,2008,Friday,6,34,0
236,2008-08-23,23,8,2008,Saturday,7,34,1
237,2008-08-24,24,8,2008,Sunday,1,35,1
238,2008-08-25,25,8,2008,Monday,2,35,0
239,2008-08-26,26,8,2008,Tuesday,3,35,0
240,2008-08-27,27,8,2008,Wednesday,4,35,0
241,2008-08-28,28,8,2008,Thursday,5,35,0
242,2008-08-29,29,8,2008,Friday,6,35,0
243,2008-08-30,30,8,2008,Saturday,7,35,1
244,2008-08-31,31,8,2008,Sunday,1,36,1
245,2008-09-01,1,9,2008,Monday,2,36,0
246,2008-09-02,2,9,2008,Tuesday,3,36,0
247,2008-09-03,3,9,2008,Wednesday,4,36,0
248,2008-09-04,4,9,2008,Thursday,5,36,0
249,2008-09-05,5,9,2008,Friday,6,36,0
250,2008-09-06,6,9,2008,Saturday,7,36,1
251,2008-09-07,7,9,2008,Sunday,1,37,1
252,2008-09-08,8,9,2008,Monday,2,37,0
253,2008-09-09,9,9,2008,Tuesday,3,37,0
254,2008-09-10,10,9,2008,Wednesday,4,37,0
255,2008-09-11,11,9,2008,Thursday,5,37,0
256,2008-09-12,12,9,2008,Friday,6,37,0
257,2008-09-13,13,9,2008,Saturday,7,37,1
258,2008-09-14,14,9,2008,Sunday,1,38,1
259,2008-09-15,15,9,2008,Monday,2,38,0
260,2008-09-16,16,9,2008,Tuesday,3,38,0
261,2008-09-17,17,9,2008,Wednesday,4,38,0
262,2008-09-18,18,9,2008,Thursday,5,38,0
263,2008-09-19,19,9,2008,Friday,6,38,0
264,2008-09-20,20,9,2008,Saturday,7,38,1
265,2008-09-21,21,9,2008,Sunday,1,39,1
266,2008-09-22,22,9,2008,Monday,2,39,0
267,2008-09-23,23,9,2008,Tuesday,3,39,0
268,2008-09-24,24,9,2008,Wednesday,4,39,0
269,2008-09-25,25,9,2008,Thursday,5,39,0
270,2008-09-26,26,9,2008,Friday,6,39,0
271,2008-09-27,27,9,2008,Saturday,7,39,1
272,2008-09-28,28,9,2008,Sunday,1,40,1
273,2008-09-29,29,9,2008,Monday,2,40,0
274,2008-09-30,30,9,2008,Tuesday,3,40,0
