Event Number,Occurred/Discovered Date and Time,Occurred Date,Day,Month,Year,Day_of_Week_Name,Day_of_Week_Num,Week_in_Year,Weekend,Latitude,Longitude,Nearest Populated Centre,Province,Population Density,Incident Types,Company,Significant,Product Category,Product Type,Volume Released,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Activity being performed at time of incident,How the incident was discovered,Pipeline or facility equipment involved,Rupture,Pipe body release,Residual effects on the environment,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Kilometre post,Emergency Level,Equipment or component involved,Nominal pipe size,Material,Licensed maximum operating pressure (kPa),Year of installation,Year when put into service,Repair type,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program,STATION_NAME,DISTANCE_WEATHER_STATION_KM,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
INC2008-001,2008-01-02 11:30,2008-01-02,2.0,1.0,2008.0,Wednesday,4.0,1.0,0.0,49.73135,-101.23557,Cromer,Manitoba,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,No,Liquid,Crude Oil - Sweet,8.0,"Damage or deterioration mechanism, Material Loss, Internal Material Loss",Corrosion and Cracking,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,EPI - Cromer Terminal,,,,Level I,"Station/Facility, Pumping, Flange, Gasket/O-ring",,,,,,Type B Sleeve (Pressure Containing),No,,,No,No,1/11/2008,Repair,No,ELKHORN 2 EAST,21.4293481872189,5010QFQ,-14.5,,-27,,-2,,0,,0,,0,,12,,,,,,0,,32.5,,,,,
INC2008-004,2008-01-23 6:05,2008-01-23,23.0,1.0,2008.0,Wednesday,4.0,4.0,0.0,49.73135,-101.23557,Cromer,Manitoba,Unknown Population Density (Historical Data Migration),Release of Substance,Enbridge Pipelines Inc.,No,Liquid,Crude Oil - Sweet,100.0,"Damage or deterioration mechanism, Equipment, Gasket/O-ring",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Part substitution",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,EPI - Cromer Terminal,,,Mile Post 595.8,Level I,"Station/Facility, Pumping, Flange, Gasket/O-ring",NPS 30,,0.0,,,Replacement,No,,,No,No,,Replacement,No,ELKHORN 2 EAST,21.4293481872189,5010QFQ,-20.5,,-25.5,,-15.5,,0,,0,,0,,11,,,,,,0,,38.5,,,,,
INC2008-008,2008-01-26 10:45,2008-01-26,26.0,1.0,2008.0,Saturday,7.0,4.0,1.0,58.012,-122.694333,Fort Nelson,British Columbia,Unknown Population Density (Historical Data Migration),Release of Substance,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Lubrication and servicing",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,,Level I,"Station/Facility, Compression, Flange",,,0.0,,,,No,,,No,No,,,No,FORT NELSON A,58.00525424200721,1192940,-20.5,,-28.7,,-12.2,,3.2,,0,,6.6,,44,,2,E,41,E,0,,38.5,,,M,,M
INC2008-009,2008-01-27 12:01,2008-01-27,27.0,1.0,2008.0,Sunday,1.0,5.0,1.0,56.14377,-120.51605,Taylor,British Columbia,Unknown Population Density (Historical Data Migration),"Release of Substance, Adverse Environmental Effects","Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Yes,Miscellaneous,Potassium Hydroxide (caustic solution),,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance;Job or system factors, Excessive wear and tear, Improper extension of service life;Job or system factors, Inadequate work standards, Inadequate development of standards, Inventory and evaluation of exposures and needs","Maintenance, Standards and Procedures, Tools and Equipment",Operation,,Yes,No,No,Yes,,,,,Level I,,,,,,,,No,,,No,No,,,No,FORT ST JOHN A,4.577866412538011,1183000,-28.9,,-31.7,,-26.1,,2,,0,,2,,45,,33,E,46,E,0,,46.9,,,M,,M
INC2008-128,2008-02-04 12:00,2008-02-04,4.0,2.0,2008.0,Monday,2.0,6.0,0.0,49.76492,-84.91824,Hearst,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,Operation,Employee / Contractor (Onsite),Yes,No,No,No,TCPL - Station 86 (Hearst Compressor Station),,,,Level I,"Station/Facility, Compression, Pipe",,,,,,Replacement,No,,,No,No,12/14/2008,Replacement,No,NAGAGAMI (AUT),69.34379732468989,6075543,-7.9,,-13.5,,-2.2,,0,,,M,,M,75,,0,,0,,0,,25.9,,83,,95,
INC2008-016,2008-02-22 12:00,2008-02-22,22.0,2.0,2008.0,Friday,6.0,8.0,0.0,51.385029,-113.535263,Beiseker,Alberta,Unknown Population Density (Historical Data Migration),Release of Substance,Foothills Pipe Lines Ltd.,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,,,,Mainline Valve + Offset (km) MLV 61-121-NC,Level I,"Pipeline, Valve, Ball, Bonnet",NPS 30,,0.0,,,Rebuilt,No,,,No,No,3/25/2008,Repair,No,LINDEN AGCM,10.09957252463785,3023850,-3.4,,-12.1,,5.4,,0,,,M,,M,,,,M,,M,0,,21.4,,57,,98,
INC2008-018,2008-02-25 12:00,2008-02-25,25.0,2.0,2008.0,Monday,2.0,9.0,0.0,50.20739,-101.48731,Moosomin,Saskatchewan,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,100.0,"Damage or deterioration mechanism, Other Causes, Improper Operation",Incorrect Operation,"Job or system factors, Inadequate work standards, Inadequate maintenance of standards, Monitoring use of procedures or practices or rules",Standards and Procedures,Construction,Employee / Contractor (Onsite),Yes,No,No,No,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,,Level I,"Pipeline, Fitting, Tee, Body",NPS 1/4,,0.0,,,,No,,,No,No,,,No,ROCANVILLE,13.825747006581578,4016842,-8.3,,-12,,-4.5,,0,,0,,0,,0,,,,,,0,,26.3,,,,,
INC2008-021,2008-03-01 4:45,2008-03-01,1.0,3.0,2008.0,Saturday,7.0,9.0,1.0,49.30391,-82.04386,Smooth Rock Falls,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,18.0,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,Operation,Public,No,No,No,No,TCPL - MLV 97,,,,Level I,,,,,,,Replacement,No,,,No,No,,Replacement,No,BONNER LAKE,8.48006170394885,6070QK6,,,,,,,,,,,,,,,,,,,,,,,,,,
INC2008-020,2008-03-02 10:30,2008-03-02,2.0,3.0,2008.0,Sunday,1.0,10.0,1.0,49.7894,-92.76549,Dryden,Ontario,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,TCPL - Station 55 (Dryden Compressor Station),,,,Level I,"Station/Facility, Compression, Compressor",,,0.0,,,Replacement,No,,,No,No,3/13/2008,Replacement,No,DRYDEN A (AUT),40.10911832447268,6032120,-9.6,,-15.6,,-3.5,,3.5,,,M,,M,,,31,,54,,0,,27.6,,55,,98,
INC2008-027,2008-03-14 1:30,2008-03-14,14.0,3.0,2008.0,Friday,6.0,11.0,0.0,50.07673,-99.99864,Rapid City,Manitoba,Unknown Population Density (Historical Data Migration),Release of Substance,TransCanada PipeLines Limited,No,Gas,Natural Gas - Sweet,,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,Operation,Employee / Contractor (Onsite),Yes,No,No,No,MLV 30-4,,,Mainline Valve + Offset (km) 30-4,Level I,"Pipeline, Pipe, Body;Station/Facility, Compression, Piping, Weld",NPS 2,,0.0,,,Replacement,No,,,No,No,,Replacement,No,RIVERS PETTAPIECE,7.72886676043838,501BMMA,,,,,,,0,,0,,0,,28,,,,,,,,,,,,,
