"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-01","2011","01","01","","-4.5","","-28.2","","-16.4","","34.4","","0.0","","","M","","M","0.0","","","","27","","44",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-02","2011","01","02","","-2.1","","-15.6","","-8.9","","26.9","","0.0","","","M","","M","0.8","","","","33","","52",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-03","2011","01","03","","-5.8","","-14.8","","-10.3","","28.3","","0.0","","","M","","M","0.0","","","","28","","37",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-04","2011","01","04","","-2.9","","-9.1","","-6.0","","24.0","","0.0","","","M","","M","0.0","","","","28","","39",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-05","2011","01","05","","-0.1","","-9.1","","-4.6","","22.6","","0.0","","","M","","M","0.0","","","","28","","41",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-06","2011","01","06","","3.6","","-7.9","","-2.2","","20.2","","0.0","","","M","","M","0.0","","","","33","","61",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-07","2011","01","07","","-5.9","","-13.3","","-9.6","","27.6","","0.0","","","M","","M","0.5","","","","10","","39",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-08","2011","01","08","","-5.5","","-13.8","","-9.7","","27.7","","0.0","","","M","","M","1.3","","","","4","","54",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-09","2011","01","09","","-13.7","","-15.7","","-14.7","","32.7","","0.0","","","M","","M","1.8","","","","2","","50",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-10","2011","01","10","","-14.1","","-22.7","","-18.4","","36.4","","0.0","","","M","","M","0.5","","","","35","","48",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-11","2011","01","11","","-22.1","","-29.7","","-25.9","","43.9","","0.0","","","M","","M","0.4","","","","","","<31",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-12","2011","01","12","","-16.0","","-29.4","","-22.7","","40.7","","0.0","","","M","","M","4.1","","","","33","","37",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-13","2011","01","13","","-20.5","","-24.0","","-22.3","","40.3","","0.0","","","M","","M","3.9","","","","32","","35",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-14","2011","01","14","","-20.5","","-22.9","","-21.7","","39.7","","0.0","","","M","","M","3.8","","","","34","","35",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-15","2011","01","15","","-20.2","","-25.9","","-23.1","","41.1","","0.0","","","M","","M","1.4","","","","","","<31",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-16","2011","01","16","","-18.2","","-22.2","","-20.2","","38.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-17","2011","01","17","","-19.0","","-21.3","","-20.2","","38.2","","0.0","","","M","","M","3.3","","","","","","<31",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-18","2011","01","18","","-9.9","","-24.5","","-17.2","","35.2","","0.0","","","M","","M","0.4","","","","26","","41",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-19","2011","01","19","","-6.6","","-17.6","","-12.1","","30.1","","0.0","","","M","","M","0.5","","","","27","","46",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-20","2011","01","20","","-0.8","","-21.4","","-11.1","","29.1","","0.0","","","M","","M","0.0","","","","28","","48",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-21","2011","01","21","","1.0","","-10.3","","-4.7","","22.7","","0.0","","","M","","M","0.0","","","","29","","48",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-22","2011","01","22","","-2.6","","-16.0","","-9.3","","27.3","","0.0","","","M","","M","0.5","","","","27","","33",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-23","2011","01","23","","2.6","","-7.2","","-2.3","","20.3","","0.0","","","M","","M","0.0","","","","32","","57",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-24","2011","01","24","","0.4","","-13.9","","-6.8","","24.8","","0.0","","","M","","M","0.0","","","","30","","48",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-25","2011","01","25","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-26","2011","01","26","","2.8","","-9.0","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","27","","41",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-27","2011","01","27","","4.0","","-2.7","","0.7","","17.3","","0.0","","","M","","M","0.0","","","","26","","48",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-28","2011","01","28","","2.3","","-11.9","","-4.8","","22.8","","0.0","","","M","","M","0.6","","","","33","","59",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-29","2011","01","29","","-11.9","","-22.5","","-17.2","","35.2","","0.0","","","M","","M","2.8","","","","4","","37",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-30","2011","01","30","","-21.7","","-29.2","","-25.5","","43.5","","0.0","","","M","","M","2.6","","","","","","<31",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-01-31","2011","01","31","","-24.6","","-33.2","","-28.9","","46.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-02-01","2011","02","01","","-19.2","","-36.2","","-27.7","","45.7","","0.0","","","M","","M","","M","","","","","<31",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-02-02","2011","02","02","","-2.0","","-22.7","","-12.4","","30.4","","0.0","","","M","","M","","M","","","27","","46",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-02-03","2011","02","03","","2.4","","-5.0","","-1.3","","19.3","","0.0","","","M","","M","","M","","","27","","43",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-02-04","2011","02","04","","3.7","","-3.0","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","31","","52",""
"-110.32","51.07","ACADIA VALLEY","3020035","2011-02-05","2011","02","05","","2.6","","-5.3","","-1.4","","19.4","","0.0","","","M","","M","0.0","","","","32","","63",""
