"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-01","2013","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-02","2013","01","02","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-03","2013","01","03","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-04","2013","01","04","†","-2.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-05","2013","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-06","2013","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-07","2013","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-08","2013","01","08","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-09","2013","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-10","2013","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-11","2013","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-12","2013","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-13","2013","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-14","2013","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-15","2013","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-16","2013","01","16","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-17","2013","01","17","†","3.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-18","2013","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-19","2013","01","19","†","8.0","","-6.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-20","2013","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-21","2013","01","21","†","-6.5","","-11.0","","-8.8","","26.8","","0.0","","0.0","","3.0","","3.0","","2","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-22","2013","01","22","†","-11.0","","-18.0","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","5","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-23","2013","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-83.09","42.10","AMHERSTBURG","6130257","2013-01-24","2013","01","24","","","","","","","","","","","","","","","","","","","","","","",""
