"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-01","2009","01","01","","-19.5","","-33.5","","-26.5","","44.5","","0.0","","","M","","M","","M","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-02","2009","01","02","","-23.9","","-37.3","","-30.6","","48.6","","0.0","","","M","","M","0.5","","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-03","2009","01","03","","-31.2","","-42.9","","-37.1","","55.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-04","2009","01","04","","-18.2","","-33.8","","-26.0","","44.0","","0.0","","","M","","M","0.0","","","","12","","37",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-05","2009","01","05","","-16.1","","-20.6","","-18.4","","36.4","","0.0","","","M","","M","0.0","","","","11","","46",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-06","2009","01","06","","-17.0","","-28.1","","-22.6","","40.6","","0.0","","","M","","M","0.0","","","","30","","35",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-07","2009","01","07","","-17.9","","-28.0","","-23.0","","41.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-08","2009","01","08","","-17.0","","-23.6","","-20.3","","38.3","","0.0","","","M","","M","2.3","","","","31","","37",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-09","2009","01","09","","-11.5","","-32.6","","-22.1","","40.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-10","2009","01","10","","0.7","","-11.5","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","30","","43",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-11","2009","01","11","","-6.7","","-19.5","","-13.1","","31.1","","0.0","","","M","","M","2.6","","","","31","","63",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-12","2009","01","12","","-16.7","","-20.8","","-18.8","","36.8","","0.0","","","M","","M","1.1","","","","13","","33",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-13","2009","01","13","","-14.2","","-21.8","","-18.0","","36.0","","0.0","","","M","","M","","M","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-14","2009","01","14","","-16.5","","-24.9","","-20.7","","38.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-15","2009","01","15","","1.0","","-16.5","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-16","2009","01","16","","3.9","","-3.9","","0.0","","18.0","","0.0","","","M","","M","0.0","","","","29","","54",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-17","2009","01","17","","3.5","","-7.4","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-18","2009","01","18","","5.2","","-5.7","","-0.3","","18.3","","0.0","","","M","","M","","M","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-19","2009","01","19","","2.3","","-16.5","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-20","2009","01","20","","0.6","","-14.4","","-6.9","","24.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-21","2009","01","21","","-3.3","","-18.3","","-10.8","","28.8","","0.0","","","M","","M","","M","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-22","2009","01","22","","-7.4","","-25.4","","-16.4","","34.4","","0.0","","","M","","M","0.0","","","","34","","57",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-23","2009","01","23","","-23.5","","-32.4","","-28.0","","46.0","","0.0","","","M","","M","","M","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-24","2009","01","24","","-22.6","","-35.6","","-29.1","","47.1","","0.0","","","M","","M","0.0","","","","27","","35",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-25","2009","01","25","","-18.9","","-29.6","","-24.3","","42.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.28","53.92","ANDREW AGDM","3010237","2009-01-26","2009","01","26","","-19.2","","-34.7","","-27.0","","45.0","","0.0","","","M","","M","0.0","","","","","","<31",""
