"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-01","2016","01","01","","-6.4","","-18.1","","-12.3","","30.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-02","2016","01","02","","-8.4","","-17.4","","-12.9","","30.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-03","2016","01","03","","-3.6","","-15.3","","-9.5","","27.5","","0.0","","","M","","M","0.0","","","","17","","35",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-04","2016","01","04","","-4.6","","-14.7","","-9.7","","27.7","","0.0","","","M","","M","0.0","","","","17","","37",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-05","2016","01","05","","-7.9","E","-16.1","E","-12.0","E","30.0","E","0.0","E","","M","","M","","M","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-06","2016","01","06","","-9.4","","-15.2","","-12.3","","30.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-07","2016","01","07","","-9.5","","-17.0","","-13.3","","31.3","","0.0","","","M","","M","0.4","","","","36","","35",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-08","2016","01","08","","-13.8","","-17.8","","-15.8","","33.8","","0.0","","","M","","M","0.4","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-09","2016","01","09","","-15.2","","-27.9","","-21.6","","39.6","","0.0","","","M","","M","0.4","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-10","2016","01","10","","-4.7","","-24.8","","-14.8","","32.8","","0.0","","","M","","M","0.0","","","","29","","32",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-11","2016","01","11","","-3.4","","-11.6","","-7.5","","25.5","","0.0","","","M","","M","0.0","","","","35","","35",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-12","2016","01","12","","-6.5","","-15.4","","-11.0","","29.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-13","2016","01","13","","1.3","","-10.2","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","32","","37",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-14","2016","01","14","","-2.8","","-11.2","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","33","","41",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-15","2016","01","15","","-6.5","","-17.5","","-12.0","","30.0","","0.0","","","M","","M","1.6","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-16","2016","01","16","","","M","-20.4","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-17","2016","01","17","","-16.3","","-25.2","","-20.8","","38.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-18","2016","01","18","","-9.8","","-17.6","","-13.7","","31.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-19","2016","01","19","","-4.1","","-15.9","","-10.0","","28.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-20","2016","01","20","","-10.0","","-16.2","","-13.1","","31.1","","0.0","","","M","","M","0.4","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-21","2016","01","21","","-1.9","","-19.6","","-10.8","","28.8","","0.0","","","M","","M","0.0","","","","17","","46",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-22","2016","01","22","","","M","-3.9","E","","M","","M","","M","","M","","M","","M","","","21","","50",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-23","2016","01","23","","2.5","","-7.9","","-2.7","","20.7","","0.0","","","M","","M","0.0","","","","25","","41",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-24","2016","01","24","","-2.1","","-6.8","","-4.5","","22.5","","0.0","","","M","","M","5.2","","","","10","","33",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-25","2016","01","25","","-6.1","","-16.3","","-11.2","","29.2","","0.0","","","M","","M","0.4","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-26","2016","01","26","","4.9","","-13.7","","-4.4","","22.4","","0.0","","","M","","M","0.0","","","","31","","78",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-27","2016","01","27","","3.6","","-3.7","","-0.1","","18.1","","0.0","","","M","","M","0.0","","","","34","","44",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-28","2016","01","28","","8.3","","-2.1","","3.1","","14.9","","0.0","","","M","","M","0.0","","","","23","","76",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-29","2016","01","29","","5.0","","-2.0","","1.5","","16.5","","0.0","","","M","","M","0.0","","","","31","","46",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-30","2016","01","30","","0.4","","-5.4","","-2.5","","20.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-01-31","2016","01","31","","0.2","","-5.1","","-2.5","","20.5","","0.0","","","M","","M","0.4","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-02-01","2016","02","01","","-2.1","","-7.2","","-4.7","","22.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-02-02","2016","02","02","","-4.9","","-10.2","","-7.6","","25.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-02-03","2016","02","03","","-2.3","","-10.7","","-6.5","","24.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.01","50.81","ATLEE AGCM","3020405","2016-02-04","2016","02","04","","-4.8","","-11.6","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","","","<31",""
