"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.82","57.37","BASNETT","3070NLN","2009-01-01","2009","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-02","2009","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-03","2009","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-04","2009","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-05","2009","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-06","2009","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-07","2009","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-08","2009","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-09","2009","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-10","2009","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-11","2009","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-12","2009","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-13","2009","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-14","2009","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-15","2009","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-16","2009","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-17","2009","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-18","2009","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-19","2009","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-20","2009","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-21","2009","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-22","2009","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-23","2009","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-24","2009","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-25","2009","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-26","2009","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-27","2009","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-28","2009","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-29","2009","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-30","2009","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-01-31","2009","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-01","2009","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-02","2009","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-03","2009","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-04","2009","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-05","2009","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-06","2009","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-07","2009","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-08","2009","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-09","2009","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-10","2009","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-11","2009","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-12","2009","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-13","2009","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-14","2009","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-15","2009","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-16","2009","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-17","2009","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-18","2009","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-19","2009","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-20","2009","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-21","2009","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-22","2009","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-23","2009","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-24","2009","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-25","2009","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-26","2009","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-27","2009","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-02-28","2009","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-03-01","2009","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-03-02","2009","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-03-03","2009","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-03-04","2009","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-03-05","2009","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-119.82","57.37","BASNETT","3070NLN","2009-03-06","2009","03","06","","","","","","","","","","","","","","","","","","","","","","",""
