"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-01","2017","01","01","","-8.8","","-15.8","","-12.3","","30.3","","0.0","","","M","","M","0.9","","","","2","","41",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-02","2017","01","02","","-15.8","","-29.4","","-22.6","","40.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-03","2017","01","03","","-19.9","","-27.6","","-23.8","","41.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-04","2017","01","04","","-10.7","","-20.1","","-15.4","","33.4","","0.0","","","M","","M","0.0","","","","33","","63",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-05","2017","01","05","","-4.7","","-16.5","","-10.6","","28.6","","0.0","","","M","","M","0.4","","","","","","<31",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-06","2017","01","06","","-14.1","","-21.7","","-17.9","","35.9","","0.0","","","M","","M","0.4","","","","","","<31",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-07","2017","01","07","","-14.4","","-27.2","","-20.8","","38.8","","0.0","","","M","","M","0.4","","","","35","","44",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-08","2017","01","08","","-17.0","","-24.7","","-20.9","","38.9","","0.0","","","M","","M","0.0","","","","35","","33",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-09","2017","01","09","","-19.3","","-27.5","","-23.4","","41.4","","0.0","","","M","","M","3.5","","","","30","","41",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-10","2017","01","10","","-16.5","","-31.0","","-23.8","","41.8","","0.0","","","M","","M","0.0","","","","34","","65",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-11","2017","01","11","","-8.5","","-29.6","","-19.1","","37.1","","0.0","","","M","","M","0.0","","","","35","","70",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-12","2017","01","12","","-19.2","","-28.9","","-24.1","","42.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-13","2017","01","13","","-10.2","","-26.8","","-18.5","","36.5","","0.0","","","M","","M","0.0","","","","28","","35",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-14","2017","01","14","","-4.3","","-22.6","","-13.5","","31.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-15","2017","01","15","","2.9","","-9.5","","-3.3","","21.3","","0.0","","","M","","M","0.0","","","","25","","35",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-16","2017","01","16","","5.1","","-11.2","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","24","","61",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-17","2017","01","17","","5.9","","2.4","","4.2","","13.8","","0.0","","","M","","M","0.0","","","","22","","76",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-18","2017","01","18","","10.9","","2.4","","6.7","","11.3","","0.0","","","M","","M","0.0","","","","21","","67",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-19","2017","01","19","","6.6","","-1.6","","2.5","","15.5","","0.0","","","M","","M","0.0","","","","23","","39",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-20","2017","01","20","","6.2","","-5.9","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-21","2017","01","21","","0.4","","-8.0","","-3.8","","21.8","","0.0","","","M","","M","1.7","","","","30","","33",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-22","2017","01","22","","-2.6","","-8.3","","-5.5","","23.5","","0.0","","","M","","M","1.1","","","","","","<31",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-23","2017","01","23","","-5.8","","-9.6","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-24","2017","01","24","","-5.2","","-10.3","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.47","50.89","BASSANO AGCM","3030540","2017-01-25","2017","01","25","","-3.1","","-14.3","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","","","<31",""
