"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-107.31","50.83","BEECHY","4020560","2008-01-01","2008","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-02","2008","01","02","†","3.0","","-19.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","10","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-03","2008","01","03","†","3.5","","-10.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-04","2008","01","04","†","6.0","","-3.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-05","2008","01","05","†","5.0","","-3.5","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-06","2008","01","06","†","0.0","","-4.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-07","2008","01","07","†","-2.5","","-14.0","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-08","2008","01","08","†","-5.0","","-20.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-09","2008","01","09","†","-10.0","","-15.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-10","2008","01","10","†","-8.5","","-20.0","","-14.3","","32.3","","0.0","","0.0","","1.1","","1.1","","7","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-11","2008","01","11","†","-5.0","","-14.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-12","2008","01","12","†","0.0","","-13.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-13","2008","01","13","†","-3.5","","-20.0","","-11.8","","29.8","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-14","2008","01","14","†","5.0","","-19.0","","-7.0","","25.0","","0.0","","0.0","","0.1","","0.1","","8","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-15","2008","01","15","†","-1.0","","-11.0","","-6.0","","24.0","","0.0","","0.0","","2.0","","2.0","","8","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-16","2008","01","16","†","-4.5","","-25.0","","-14.8","","32.8","","0.0","","0.0","","1.2","","1.2","","10","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-17","2008","01","17","†","-6.5","","-15.0","","-10.8","","28.8","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-18","2008","01","18","†","-15.0","","-27.0","","-21.0","","39.0","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-19","2008","01","19","†","-17.0","","-27.0","","-22.0","","40.0","","0.0","","0.0","","0.1","","0.1","","11","","","","",""
"-107.31","50.83","BEECHY","4020560","2008-01-20","2008","01","20","†","-16.0","","-21.5","","-18.8","","36.8","","0.0","","0.0","","0.1","","0.1","","11","","","","",""
