"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-01","2011","01","01","","-1.3","","-17.5","","-9.4","","27.4","","0.0","","","M","","M","0.0","","","","29","","44",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-02","2011","01","02","","-1.0","","-9.3","","-5.2","","23.2","","0.0","","","M","","M","0.0","","","","32","","56",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-03","2011","01","03","","-4.8","","-14.1","","-9.5","","27.5","","0.0","","","M","","M","0.4","","","","","","<31",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-04","2011","01","04","","-1.5","","-11.8","","-6.7","","24.7","","0.0","","","M","","M","0.0","","","","27","","32",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-05","2011","01","05","","2.9","","-5.9","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","26","","44",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-06","2011","01","06","","4.8","","-10.7","","-3.0","","21.0","","0.0","","","M","","M","0.0","","","","1","","52",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-07","2011","01","07","","-3.0","","-14.4","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","14","","63",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-08","2011","01","08","","-4.9","","-14.3","","-9.6","","27.6","","0.0","","","M","","M","0.5","","","","34","","85",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-09","2011","01","09","","-14.3","","-16.7","","-15.5","","33.5","","0.0","","","M","","M","1.2","","","","34","","80",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-10","2011","01","10","","-16.6","","-24.4","","-20.5","","38.5","","0.0","","","M","","M","0.0","","","","34","","48",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-11","2011","01","11","","","M","-25.6","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-12","2011","01","12","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-13","2011","01","13","","-20.1","","-22.6","","-21.4","","39.4","","0.0","","","M","","M","0.0","","","","33","","44",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-14","2011","01","14","","-22.1","","-24.6","","-23.4","","41.4","","0.0","","","M","","M","1.7","","","","34","","39",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-15","2011","01","15","","-22.2","","-25.2","","-23.7","","41.7","","0.0","","","M","","M","","M","","","","","<31",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-16","2011","01","16","","-19.4","","-22.9","","-21.2","","39.2","","0.0","","","M","","M","","M","","","15","","39",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-17","2011","01","17","","-16.6","","-26.8","","-21.7","","39.7","","0.0","","","M","","M","","M","","","","","<31",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-18","2011","01","18","","-6.7","","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-113.36","51.38","BEISEKER AGCM","3020610","2011-01-19","2011","01","19","","-5.8","E","-14.2","E","-10.0","E","28.0","E","0.0","E","","M","","M","0.0","","","","31","","33",""
