"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-01","2020","01","01","","1.5","","-10.1","","-4.3","","22.3","","0.0","","","","","","0.0","","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-02","2020","01","02","","-1.1","","-13.8","","-7.5","","25.5","","0.0","","","","","","0.6","","","","35","","46",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-03","2020","01","03","","8.3","","-13.0","","-2.3","","20.3","","0.0","","","","","","0.0","","","","20","","39",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-04","2020","01","04","","10.6","","-8.1","","1.3","","16.7","","0.0","","","","","","0.8","","","","24","","73",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-05","2020","01","05","","2.3","","-13.3","","-5.5","","23.5","","0.0","","","","","","0.0","","","","27","","52",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-06","2020","01","06","","-1.7","","-13.7","","-7.7","","25.7","","0.0","","","","","","0.0","","","","3","","35",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-07","2020","01","07","","-8.3","","-16.4","","-12.4","","30.4","","0.0","","","","","","0.9","","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-08","2020","01","08","","-8.7","","-14.5","","-11.6","","29.6","","0.0","","","","","","0.7","","","","35","","35",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-09","2020","01","09","","-13.1","","-21.2","","-17.1","","35.1","","0.0","","","","","","0.5","","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-10","2020","01","10","","-3.8","","-26.2","","-15.0","","33.0","","0.0","","","","","","","M","","","20","","35",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-11","2020","01","11","","-8.9","","-22.5","","-15.7","","33.7","","0.0","","","","","","0.0","","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-12","2020","01","12","","-20.1","","-26.2","","-23.1","","41.1","","0.0","","","","","","0.5","","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-13","2020","01","13","","-23.8","","-35.4","","-29.6","","47.6","","0.0","","","","","","","M","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-14","2020","01","14","","-27.0","","-36.9","","-32.0","","50.0","","0.0","","","","","","","M","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-15","2020","01","15","","-28.0","","-38.9","","-33.5","","51.5","","0.0","","","","","","","M","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-16","2020","01","16","","-25.1","","-30.5","","-27.8","","45.8","","0.0","","","","","","","M","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-17","2020","01","17","","-21.0","","-30.4","","-25.7","","43.7","","0.0","","","","","","0.4","","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-18","2020","01","18","","-19.4","","-32.8","","-26.1","","44.1","","0.0","","","","","","0.0","","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-19","2020","01","19","","3.6","","-24.5","","-10.5","","28.5","","0.0","","","","","","","M","","","22","","31",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-20","2020","01","20","","8.6","","-2.1","","3.2","","14.8","","0.0","","","","","","0.0","","","","19","","49",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-21","2020","01","21","","4.6","","-7.0","","-1.2","","19.2","","0.0","","","","","","0.0","","","","22","","40",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-22","2020","01","22","","5.1","","-9.9","","-2.4","","20.4","","0.0","","","","","","0.0","","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-23","2020","01","23","","7.1","","-12.5","","-2.7","","20.7","","0.0","","","","","","0.0","","","","23","","46",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-24","2020","01","24","","7.9","","-1.4","","3.3","","14.7","","0.0","","","","","","0.0","","","","23","","36",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-25","2020","01","25","","6.9","","-8.8","","-0.9","","18.9","","0.0","","","","","","","M","","","","","",""
"-114.15","50.71","BLACK DIAMOND","3030680","2020-01-26","2020","01","26","","1.5","","-11.6","","-5.0","","23.0","","0.0","","","","","","0.0","","","","","","",""
