"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-01","2017","01","01","","-13.6","","-24.7","","-19.2","","37.2","","0.0","","","M","","M","0.4","","8","","","","<31",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-02","2017","01","02","","-15.9","","-23.5","","-19.7","","37.7","","0.0","","","M","","M","0.0","","8","","","","<31",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-03","2017","01","03","","-18.0","","-28.9","","-23.5","","41.5","","0.0","","","M","","M","0.2","","8","","28","","35",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-04","2017","01","04","","-17.4","","-23.6","","-20.5","","38.5","","0.0","","","M","","M","0.0","","8","","29","","33",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-05","2017","01","05","","-14.8","","-23.9","","-19.4","","37.4","","0.0","","","M","","M","0.0","","8","","30","","37",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-06","2017","01","06","","-16.4","","-27.1","","-21.8","","39.8","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-07","2017","01","07","","-19.3","","-29.7","","-24.5","","42.5","","0.0","","","M","","M","0.4","","8","","13","","33",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-08","2017","01","08","","-15.9","","-25.8","","-20.9","","38.9","","0.0","","","M","","M","0.0","","8","","31","","39",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-09","2017","01","09","","-16.8","","-24.9","","-20.9","","38.9","","0.0","","","M","","M","0.9","","7","","30","","41",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-10","2017","01","10","","-18.3","","-28.7","","-23.5","","41.5","","0.0","","","M","","M","0.2","","16","","30","","46",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-11","2017","01","11","","-10.0","","-33.4","","-21.7","","39.7","","0.0","","","M","","M","0.3","","10","","30","","82",""
"-104.71","50.20","BRATT'S LAKE CLIMATE","4010811","2017-01-12","2017","01","12","","-15.3","","-31.3","","-23.3","","41.3","","0.0","","","M","","M","0.4","","11","","33","","83",""
