"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-01","2010","01","01","","-15.8","","-23.1","","-19.5","","37.5","","0.0","","","M","","M","","M","30","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-02","2010","01","02","","-13.7","","-19.2","","-16.5","","34.5","","0.0","","","M","","M","","M","30","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-03","2010","01","03","","-10.8","","-17.9","","-14.4","","32.4","","0.0","","","M","","M","","M","29","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-04","2010","01","04","","-11.6","","-22.4","","-17.0","","35.0","","0.0","","","M","","M","","M","29","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-05","2010","01","05","","-15.1","","-23.4","","-19.3","","37.3","","0.0","","","M","","M","","M","29","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-06","2010","01","06","","-12.9","","-23.1","","-18.0","","36.0","","0.0","","","M","","M","","M","29","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-07","2010","01","07","","-8.3","","-23.2","","-15.8","","33.8","","0.0","","","M","","M","","M","29","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-08","2010","01","08","","6.3","","-15.1","","-4.4","","22.4","","0.0","","","M","","M","","M","30","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-09","2010","01","09","","8.1","","-4.3","","1.9","","16.1","","0.0","","","M","","M","","M","30","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-10","2010","01","10","","9.1","","-2.0","","3.6","","14.4","","0.0","","","M","","M","","M","29","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-11","2010","01","11","","12.6","","2.5","","7.6","","10.4","","0.0","","","M","","M","","M","28","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-12","2010","01","12","","9.4","E","0.6","E","5.0","E","13.0","E","0.0","E","","M","","M","","M","25","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-13","2010","01","13","","4.8","","-4.9","","-0.1","","18.1","","0.0","","","M","","M","","M","25","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-14","2010","01","14","","8.6","","-5.9","","1.4","","16.6","","0.0","","","M","","M","","M","25","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-15","2010","01","15","","6.0","","1.3","","3.7","","14.3","","0.0","","","M","","M","","M","25","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-16","2010","01","16","","6.2","","-4.5","","0.9","","17.1","","0.0","","","M","","M","","M","25","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-17","2010","01","17","","-0.8","","-8.2","","-4.5","","22.5","","0.0","","","M","","M","","M","25","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-18","2010","01","18","","6.7","","-9.2","","-1.3","","19.3","","0.0","","","M","","M","","M","24","","","","<31",""
"-114.44","53.09","BRETON PLOTS","3010816","2010-01-19","2010","01","19","","6.3","","-7.9","","-0.8","","18.8","","0.0","","","M","","M","","M","24","","","","<31",""
