"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-01","2010","01","01","","1.2","","-10.0","","-4.4","","22.4","","0.0","","0.0","","","M","3.7","","12","","33","","35",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-02","2010","01","02","","-10.0","","-16.1","","-13.1","","31.1","","0.0","","0.0","","","M","0.9","","14","","31","","33",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-03","2010","01","03","","-10.0","","-16.3","","-13.2","","31.2","","0.0","","0.0","","","M","2.1","","19","","30","","41",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-04","2010","01","04","","-9.2","","-11.8","","-10.5","","28.5","","0.0","","","M","","M","0.3","","20","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-05","2010","01","05","","-6.7","","-11.0","","-8.9","","26.9","","0.0","","0.0","","","M","2.1","","21","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-06","2010","01","06","","-6.8","","-8.3","","-7.6","","25.6","","0.0","","","M","","M","1.1","","20","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-07","2010","01","07","","-4.2","","-9.3","","-6.8","","24.8","","0.0","","","M","","M","2.0","","20","","35","","32",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-08","2010","01","08","","-9.2","","-14.2","","-11.7","","29.7","","0.0","","0.0","","","M","2.1","","20","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-09","2010","01","09","","-12.7","","-23.9","","-18.3","","36.3","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-10","2010","01","10","","-4.6","","-24.8","","-14.7","","32.7","","0.0","","","M","","M","0.6","","23","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-11","2010","01","11","","-3.1","","-8.4","","-5.8","","23.8","","0.0","","","M","","M","0.0","","23","","24","","32",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-12","2010","01","12","","-7.3","","-17.5","","-12.4","","30.4","","0.0","","","M","","M","0.0","","22","","35","","33",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-13","2010","01","13","","-3.7","","-15.7","","-9.7","","27.7","","0.0","","","M","","M","0.0","","22","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-14","2010","01","14","","3.7","","-5.0","","-0.7","","18.7","","0.0","","0.0","","","M","0.8","","21","","21","","44",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-15","2010","01","15","","3.8","","1.0","","2.4","","15.6","","0.0","","","M","","M","0.2","","22","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-16","2010","01","16","","1.9","","-0.1","","0.9","","17.1","","0.0","","","M","","M","0.0","","21","","24","","46",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-17","2010","01","17","","3.1","","-4.2","","-0.6","","18.6","","0.0","","","M","","M","0.0","","20","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-18","2010","01","18","","-0.4","","-4.2","","-2.3","","20.3","","0.0","","","M","","M","0.3","","20","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-19","2010","01","19","","1.7","","-1.1","","0.3","","17.7","","0.0","","","M","","M","0.2","","20","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-20","2010","01","20","","-0.9","","-11.9","","-6.4","","24.4","","0.0","","","M","","M","0.6","","19","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-21","2010","01","21","","-3.0","","-15.1","","-9.1","","27.1","","0.0","","","M","","M","0.6","","19","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-22","2010","01","22","","-2.4","","-15.9","","-9.2","","27.2","","0.0","","","M","","M","0.0","","18","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-23","2010","01","23","","-2.6","","-14.0","","-8.3","","26.3","","0.0","","","M","","M","0.0","","19","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-24","2010","01","24","","7.4","","-9.5","","-1.1","","19.1","","0.0","","","M","","M","4.6","","19","","16","","33",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-25","2010","01","25","","10.6","","0.7","","5.7","","12.3","","0.0","","","M","","M","34.3","","5","","23","","43",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-26","2010","01","26","","2.1","","-0.3","","0.9","","17.1","","0.0","","","M","","M","0.7","","","","23","","46",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-27","2010","01","27","","0.0","","-4.6","","-2.3","","20.3","","0.0","","","M","","M","0.2","","","","23","","57",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-28","2010","01","28","","-3.5","","-16.3","","-9.9","","27.9","","0.0","","0.0","","","M","1.8","","","","26","","63",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-29","2010","01","29","","-15.2","","-20.8","","-18.0","","36.0","","0.0","","","M","","M","0.0","","4","","28","","35",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-30","2010","01","30","","-12.5","","-22.9","","-17.7","","35.7","","0.0","","","M","","M","0.5","","3","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-01-31","2010","01","31","","-3.9","","-15.6","","-9.8","","27.8","","0.0","","","M","","M","0.0","","4","","25","","37",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-01","2010","02","01","","-4.7","","-18.6","","-11.7","","29.7","","0.0","","","M","","M","0.0","","3","","22","","46",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-02","2010","02","02","","-2.4","","-10.8","","-6.6","","24.6","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-03","2010","02","03","","-1.8","","-11.6","","-6.7","","24.7","","0.0","","","M","","M","0.9","","1","","33","","52",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-04","2010","02","04","","-4.1","","-19.4","","-11.8","","29.8","","0.0","","0.0","","","M","0.3","","1","","33","","37",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-05","2010","02","05","","-4.2","","-12.6","","-8.4","","26.4","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-06","2010","02","06","","-9.4","","-15.9","","-12.7","","30.7","","0.0","","","M","","M","0.0","","2","","1","","32",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-07","2010","02","07","","-4.1","","-14.7","","-9.4","","27.4","","0.0","","","M","","M","0.0","","2","","31","","37",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-08","2010","02","08","","-4.6","","-11.0","","-7.8","","25.8","","0.0","","","M","","M","0.0","","2","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-09","2010","02","09","","-2.3","","-13.8","","-8.1","","26.1","","0.0","","","M","","M","0.3","","2","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-10","2010","02","10","","0.4","","-6.3","","-3.0","","21.0","","0.0","","","M","","M","0.0","","1","","2","","43",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-11","2010","02","11","","-2.7","","-11.8","","-7.3","","25.3","","0.0","","","M","","M","0.0","","1","","34","","35",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-12","2010","02","12","","-4.4","","-18.0","","-11.2","","29.2","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-13","2010","02","13","","-5.2","","-19.0","","-12.1","","30.1","","0.0","","0.0","","","M","0.5","","","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-14","2010","02","14","","-0.5","","-6.6","","-3.6","","21.6","","0.0","","","M","","M","0.4","","3","","26","","41",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-15","2010","02","15","","0.8","","-6.0","","-2.6","","20.6","","0.0","","","M","","M","0.2","","2","","26","","35",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-16","2010","02","16","","1.1","","-4.8","","-1.9","","19.9","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-17","2010","02","17","","-0.3","","-5.3","","-2.8","","20.8","","0.0","","0.0","","","M","1.2","","","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-18","2010","02","18","","0.7","","-2.9","","-1.1","","19.1","","0.0","","","M","","M","1.1","","1","","32","","37",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-19","2010","02","19","","1.5","","-3.3","","-0.9","","18.9","","0.0","","","M","","M","0.4","","3","","31","","33",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-20","2010","02","20","","2.5","","-6.0","","-1.8","","19.8","","0.0","","0.0","","","M","0.9","","","","31","","37",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-21","2010","02","21","","-1.0","","-11.0","","-6.0","","24.0","","0.0","","0.0","","","M","1.8","","1","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-22","2010","02","22","","0.3","","-15.3","","-7.5","","25.5","","0.0","","0.0","","","M","5.2","","2","","","","<31",""
"-75.75","44.64","BROCKVILLE CLIMATE","6100970","2010-02-23","2010","02","23","","3.2","","-2.0","","0.6","","17.4","","0.0","","","M","","M","4.9","","9","","","","<31",""
