"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.85","50.56","BROOKS","3030QLP","2010-01-01","2010","01","01","","-10.1","","-26.7","","-18.4","","36.4","","0.0","","","M","","M","0.7","","17","","17","","52",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-02","2010","01","02","","-7.1","","-14.9","","-11.0","","29.0","","0.0","","","M","","M","0.0","","12","","35","","37",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-03","2010","01","03","","-11.4","","-21.4","","-16.4","","34.4","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-04","2010","01","04","","-10.9","","-17.1","","-14.0","","32.0","","0.0","","","M","","M","0.0","","14","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-05","2010","01","05","","-13.5","","-21.5","","-17.5","","35.5","","0.0","","0.0","","","M","2.1","","14","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-06","2010","01","06","","-19.8","","-30.2","","-25.0","","43.0","","0.0","","","M","","M","0.0","","19","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-07","2010","01","07","","-18.3","","-32.7","","-25.5","","43.5","","0.0","","","M","","M","0.0","","17","","17","","39",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-08","2010","01","08","","-8.4","","-23.2","","-15.8","","33.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-09","2010","01","09","","4.6","","-14.5","","-5.0","","23.0","","0.0","","","M","","M","0.0","","13","","27","","33",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-10","2010","01","10","","7.4","","-4.6","","1.4","","16.6","","0.0","","","M","","M","0.0","","14","","29","","39",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-11","2010","01","11","","6.5","","-2.2","","2.2","","15.8","","0.0","","","M","","M","0.0","","14","","21","","54",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-12","2010","01","12","","8.5","","3.3","","5.9","","12.1","","0.0","","","M","","M","0.0","","5","","22","","48",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-13","2010","01","13","","6.9","","-3.9","","1.5","","16.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-14","2010","01","14","","8.2","","-4.0","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-15","2010","01","15","","9.1","","3.2","","6.2","","11.8","","0.0","","","M","","M","0.0","","","","25","","48",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-16","2010","01","16","","6.3","","-5.9","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","31","","41",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-17","2010","01","17","","2.6","","-5.9","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","17","","35",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-18","2010","01","18","","8.8","","-2.6","","3.1","","14.9","","0.0","","","M","","M","0.0","","","","22","","46",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-19","2010","01","19","","2.6","","-6.8","","-2.1","","20.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-20","2010","01","20","","-0.5","","-7.3","","-3.9","","21.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-21","2010","01","21","","-6.0","","-10.1","","-8.1","","26.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-22","2010","01","22","","-4.9","","-6.3","","-5.6","","23.6","","0.0","","","M","","M","0.0","","1","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-23","2010","01","23","","-4.6","","-6.1","","-5.4","","23.4","","0.0","","0.0","","","M","0.8","","2","","35","","56",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-24","2010","01","24","","-5.8","","-12.5","","-9.2","","27.2","","0.0","","","M","","M","0.0","","7","","34","","43",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-25","2010","01","25","","-9.5","","-17.0","","-13.3","","31.3","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-26","2010","01","26","","-7.9","","-23.5","","-15.7","","33.7","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-27","2010","01","27","","-8.4","","-23.9","","-16.2","","34.2","","0.0","","","M","","M","0.0","","3","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-28","2010","01","28","","-8.4","","-23.9","","-16.2","","34.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-29","2010","01","29","","-9.2","","-18.4","","-13.8","","31.8","","0.0","","","M","","M","0.0","","4","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-30","2010","01","30","","-6.9","","-11.4","","-9.2","","27.2","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-01-31","2010","01","31","","-8.4","","-11.8","","-10.1","","28.1","","0.0","","0.0","","","M","0.7","","6","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-02-01","2010","02","01","","-4.4","","-13.3","","-8.9","","26.9","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-02-02","2010","02","02","","-6.7","","-16.1","","-11.4","","29.4","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-02-03","2010","02","03","","-6.8","","-15.9","","-11.4","","29.4","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-02-04","2010","02","04","","-7.8","","-19.6","","-13.7","","31.7","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-02-05","2010","02","05","","-7.4","","-20.7","","-14.1","","32.1","","0.0","","","M","","M","0.0","","6","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-02-06","2010","02","06","","-5.1","","-9.6","","-7.4","","25.4","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-02-07","2010","02","07","","-5.6","","-9.9","","-7.8","","25.8","","0.0","","","M","","M","0.0","","7","","","","<31",""
"-111.85","50.56","BROOKS","3030QLP","2010-02-08","2010","02","08","","-9.0","","-16.9","","-13.0","","31.0","","0.0","","","M","","M","0.0","","7","","17","","44",""
