"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-01","2019","01","01","","1.6","","-11.0","","-4.7","","22.7","","0.0","","","","","","1.9","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-02","2019","01","02","","6.9","","-1.2","","2.8","","15.2","","0.0","","","","","","0.0","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-03","2019","01","03","","4.4","","-4.1","","0.2","","17.8","","0.0","","","","","","0.4","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-04","2019","01","04","","-1.5","","-6.0","","-3.8","","21.8","","0.0","","","","","","6.9","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-05","2019","01","05","","-4.2","","-9.6","","-6.9","","24.9","","0.0","","","","","","0.9","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-06","2019","01","06","","-4.5","","-7.8","","-6.1","","24.1","","0.0","","","","","","0.4","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-07","2019","01","07","","-7.8","","-21.3","","-14.5","","32.5","","0.0","","","","","","0.4","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-08","2019","01","08","","-14.6","","-27.3","","-20.9","","38.9","","0.0","","","","","","0.4","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-09","2019","01","09","","-10.8","","-15.0","","-12.9","","30.9","","0.0","","","","","","0.7","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-10","2019","01","10","","-10.9","","-19.4","","-15.2","","33.2","","0.0","","","","","","0.4","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-11","2019","01","11","","-7.1","","-16.6","","-11.9","","29.9","","0.0","","","","","","0.0","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-12","2019","01","12","","-2.7","","-12.4","","-7.5","","25.5","","0.0","","","","","","0.0","","","","","M","","M"
"-113.92","53.93","BUSBY AGCM","3010979","2019-01-13","2019","01","13","","-3.9","","-14.2","","-9.1","","27.1","","0.0","","","","","","0.0","","","","","M","","M"
