"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.89","54.00","BUSBY","3010978","2008-01-01","2008","01","01","†","-7.0","","-18.0","","-12.5","","30.5","","0.0","","0.0","","0.0","T","0.0","T","26","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-02","2008","01","02","†","-3.0","","-14.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-03","2008","01","03","†","1.0","","-12.0","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-04","2008","01","04","†","2.5","","-11.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-05","2008","01","05","†","-2.0","","-11.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-06","2008","01","06","†","1.5","","-11.0","","-4.8","","22.8","","0.0","","0.0","","2.0","","2.0","","26","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-07","2008","01","07","†","-9.0","","-11.0","","-10.0","","28.0","","0.0","","0.0","","0.6","","0.6","","27","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-08","2008","01","08","†","-16.0","","-21.0","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-09","2008","01","09","†","-14.5","","-22.5","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-10","2008","01","10","†","-12.0","","-24.5","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-11","2008","01","11","†","-2.0","","-22.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-12","2008","01","12","†","-3.0","","-7.5","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-13","2008","01","13","†","0.0","","-10.5","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","27","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-14","2008","01","14","†","-0.5","","-13.0","","-6.8","","24.8","","0.0","","0.0","","1.0","","1.0","","25","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-15","2008","01","15","†","-8.0","","-11.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-16","2008","01","16","†","2.0","","-17.0","","-7.5","","25.5","","0.0","","0.0","T","2.0","","2.0","","25","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-17","2008","01","17","†","-7.5","","-12.0","","-9.8","","27.8","","0.0","","0.0","","9.6","","9.6","","25","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-18","2008","01","18","†","-11.0","","-23.0","","-17.0","","35.0","","0.0","","0.0","","0.6","","0.6","","25","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-19","2008","01","19","†","-14.0","","-17.5","","-15.8","","33.8","","0.0","","0.0","","0.4","","0.4","","25","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-20","2008","01","20","†","-11.0","","-20.0","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-21","2008","01","21","†","-1.0","","-19.5","","-10.3","","28.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-22","2008","01","22","†","-3.0","","-11.0","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-23","2008","01","23","†","-2.0","","-15.5","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-24","2008","01","24","†","-6.0","","-13.5","","-9.8","","27.8","","0.0","","0.0","","0.0","T","0.0","T","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-25","2008","01","25","†","-4.5","","-9.5","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-26","2008","01","26","†","0.0","","-13.0","","-6.5","","24.5","","0.0","","0.0","","3.0","","3.0","","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-27","2008","01","27","†","-21.0","","-22.0","","-21.5","","39.5","","0.0","","0.0","","3.0","","3.0","","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-28","2008","01","28","†","-29.0","","-31.5","","-30.3","","48.3","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-29","2008","01","29","†","-29.0","","-41.0","","-35.0","","53.0","","0.0","","0.0","","0.2","","0.2","","35","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-30","2008","01","30","†","-25.5","","-38.0","","-31.8","","49.8","","0.0","","0.0","","1.0","","1.0","","35","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-01-31","2008","01","31","†","-25.0","","-31.5","","-28.3","","46.3","","0.0","","0.0","","0.6","","0.6","","35","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-01","2008","02","01","†","-19.0","","-28.0","","-23.5","","41.5","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-02","2008","02","02","†","-17.0","","-29.5","","-23.3","","41.3","","0.0","","0.0","","0.0","","0.0","","35","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-03","2008","02","03","†","-18.0","","-26.0","","-22.0","","40.0","","0.0","","0.0","","0.0","T","0.0","T","35","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-04","2008","02","04","†","-14.0","","-26.5","","-20.3","","38.3","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-05","2008","02","05","†","-3.0","","-22.5","","-12.8","","30.8","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-06","2008","02","06","†","-14.0","","-16.5","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-07","2008","02","07","†","-18.5","","-24.5","","-21.5","","39.5","","0.0","","0.0","","2.0","","2.0","","36","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-08","2008","02","08","†","-23.0","","-25.0","","-24.0","","42.0","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-09","2008","02","09","†","-22.0","","-33.0","","-27.5","","45.5","","0.0","","0.0","","2.0","","2.0","","36","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-10","2008","02","10","†","-7.5","","-31.0","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","36","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-11","2008","02","11","†","1.5","","-22.5","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-12","2008","02","12","†","-9.5","","-11.5","","-10.5","","28.5","","0.0","","0.0","","9.2","","9.2","","37","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-13","2008","02","13","†","-7.0","","-14.5","","-10.8","","28.8","","0.0","","0.0","","1.6","","1.6","","46","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-14","2008","02","14","†","2.0","","-15.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-15","2008","02","15","†","10.5","","-12.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-16","2008","02","16","†","3.0","","-0.5","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-17","2008","02","17","†","-1.5","","-5.5","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-18","2008","02","18","†","-5.0","","-10.5","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-19","2008","02","19","†","-3.5","","-9.0","","-6.3","","24.3","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-20","2008","02","20","†","1.0","","-17.5","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-21","2008","02","21","†","7.0","","-10.5","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-22","2008","02","22","†","5.0","","-9.5","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-23","2008","02","23","†","3.0","","-8.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-24","2008","02","24","†","2.0","","-6.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","39","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-25","2008","02","25","†","1.0","","-9.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-26","2008","02","26","†","7.0","","-8.0","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-27","2008","02","27","†","5.5","","-2.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-28","2008","02","28","†","3.5","","-3.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-02-29","2008","02","29","†","2.0","","-8.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-01","2008","03","01","†","3.0","","-9.5","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","38","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-02","2008","03","02","†","-5.0","","-24.0","","-14.5","","32.5","","0.0","","0.0","","2.4","","2.4","","38","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-03","2008","03","03","†","2.0","","-21.0","","-9.5","","27.5","","0.0","","0.0","","1.0","","1.0","","40","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-04","2008","03","04","†","0.0","","-17.0","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-05","2008","03","05","†","0.0","","-15.5","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-06","2008","03","06","†","4.0","","-13.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-07","2008","03","07","†","8.0","","-7.5","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-08","2008","03","08","†","10.0","","-8.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-09","2008","03","09","†","7.0","","-3.5","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-10","2008","03","10","†","10.0","","-1.5","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-11","2008","03","11","†","8.5","","0.0","","4.3","","13.7","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-12","2008","03","12","†","3.5","","2.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-13","2008","03","13","†","2.5","","-4.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-14","2008","03","14","†","-1.5","","-10.0","","-5.8","","23.8","","0.0","","0.0","","12.0","","12.0","","32","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-15","2008","03","15","†","-3.0","","-6.5","","-4.8","","22.8","","0.0","","0.0","","3.6","","3.6","","32","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-16","2008","03","16","†","-1.5","","-21.0","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-17","2008","03","17","†","5.0","","-20.5","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-18","2008","03","18","†","5.0","","-5.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-19","2008","03","19","†","7.5","","-4.5","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-20","2008","03","20","†","5.0","","-8.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
"-113.89","54.00","BUSBY","3010978","2008-03-21","2008","03","21","†","0.5","","-7.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","29","","","","",""
