"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-99.36","49.91","CARBERRY CS","5010547","2011-01-01","2011","01","01","","-15.3","","-24.9","","-20.1","","38.1","","0.0","","","M","","M","","M","","","2","","41",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-02","2011","01","02","","-16.7","","-30.1","","-23.4","","41.4","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-03","2011","01","03","","-18.6","","-31.8","","-25.2","","43.2","","0.0","","","M","","M","","M","","","28","","43",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-04","2011","01","04","","-12.3","","-23.0","","-17.7","","35.7","","0.0","","","M","","M","","M","","","27","","35",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-05","2011","01","05","","-13.5","","-22.8","","-18.2","","36.2","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-06","2011","01","06","","-11.2","","-15.8","","-13.5","","31.5","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-07","2011","01","07","","-10.2","","-21.1","","-15.7","","33.7","","0.0","","","M","","M","","M","","","2","","37",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-08","2011","01","08","","-13.2","","-20.2","","-16.7","","34.7","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-09","2011","01","09","","-15.7","","-23.9","","-19.8","","37.8","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-10","2011","01","10","","-15.3","","-25.7","","-20.5","","38.5","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-11","2011","01","11","","-15.0","","-23.8","","-19.4","","37.4","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-12","2011","01","12","","-14.0","","-17.6","","-15.8","","33.8","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-13","2011","01","13","","-12.7","","-22.2","","-17.5","","35.5","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-14","2011","01","14","","-13.8","","-19.1","","-16.5","","34.5","","0.0","","","M","","M","","M","","","2","","33",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-15","2011","01","15","","-19.0","","-25.7","","-22.4","","40.4","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-16","2011","01","16","","-15.0","","-24.6","","-19.8","","37.8","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-17","2011","01","17","","-17.0","","-34.1","","-25.6","","43.6","","0.0","","","M","","M","","M","","","2","","43",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-18","2011","01","18","","-19.9","","-34.2","","-27.1","","45.1","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-19","2011","01","19","","-17.4","","-24.1","","-20.8","","38.8","","0.0","","","M","","M","","M","","","30","","44",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-20","2011","01","20","","-22.6","","-35.3","","-29.0","","47.0","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-21","2011","01","21","","-17.9","","-32.3","","-25.1","","43.1","","0.0","","","M","","M","","M","","","16","","39",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-22","2011","01","22","","-20.1","","-34.7","","-27.4","","45.4","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-23","2011","01","23","","-1.0","","-20.1","","-10.6","","28.6","","0.0","","","M","","M","","M","","","19","","33",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-24","2011","01","24","","-3.0","","-17.9","","-10.5","","28.5","","0.0","","","M","","M","","M","","","3","","57",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-25","2011","01","25","","-5.1","","-11.3","","-8.2","","26.2","","0.0","","","M","","M","","M","","","28","","35",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-26","2011","01","26","","-2.2","","-9.7","","-6.0","","24.0","","0.0","","","M","","M","","M","","","27","","33",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-27","2011","01","27","","-1.1","","-9.5","","-5.3","","23.3","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-28","2011","01","28","","0.4","","-15.9","","-7.8","","25.8","","0.0","","","M","","M","","M","","","32","","57",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-29","2011","01","29","","-15.4","","-22.1","","-18.8","","36.8","","0.0","","","M","","M","","M","","","1","","41",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-30","2011","01","30","","-22.1","","-29.6","","-25.9","","43.9","","0.0","","","M","","M","","M","","","3","","39",""
"-99.36","49.91","CARBERRY CS","5010547","2011-01-31","2011","01","31","","-19.9","","-31.5","","-25.7","","43.7","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-01","2011","02","01","","-22.1","","-32.6","","-27.4","","45.4","","0.0","","","M","","M","","M","","","27","","32",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-02","2011","02","02","","-10.3","","-27.5","","-18.9","","36.9","","0.0","","","M","","M","","M","","","25","","56",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-03","2011","02","03","","-0.8","","-11.1","","-6.0","","24.0","","0.0","","","M","","M","","M","","","28","","50",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-04","2011","02","04","","0.8","","-9.2","","-4.2","","22.2","","0.0","","","M","","M","","M","","","28","","41",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-05","2011","02","05","","-1.0","","-8.5","","-4.8","","22.8","","0.0","","","M","","M","","M","","","3","","33",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-06","2011","02","06","","-7.3","","-20.0","","-13.7","","31.7","","0.0","","","M","","M","","M","","","1","","43",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-07","2011","02","07","","-17.6","","-26.1","","-21.9","","39.9","","0.0","","","M","","M","","M","","","27","","32",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-08","2011","02","08","","-14.7","","-25.0","","-19.9","","37.9","","0.0","","","M","","M","","M","","","30","","59",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-09","2011","02","09","","-18.6","","-28.8","","-23.7","","41.7","","0.0","","","M","","M","","M","","","29","","39",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-10","2011","02","10","","-16.0","","-30.5","","-23.3","","41.3","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-11","2011","02","11","","-1.5","","-16.3","","-8.9","","26.9","","0.0","","","M","","M","","M","","","30","","57",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-12","2011","02","12","","1.2","","-8.7","","-3.8","","21.8","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-13","2011","02","13","","4.0","","-3.4","","0.3","","17.7","","0.0","","","M","","M","","M","","","1","","56",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-14","2011","02","14","","2.5","","-8.8","","-3.2","","21.2","","0.0","","","M","","M","","M","","","18","","37",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-15","2011","02","15","","5.2","","-4.3","","0.5","","17.5","","0.0","","","M","","M","","M","","","24","","37",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-16","2011","02","16","","3.1","","-9.5","","-3.2","","21.2","","0.0","","","M","","M","","M","","","6","","39",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-17","2011","02","17","","-9.3","","-16.6","","-13.0","","31.0","","0.0","","","M","","M","","M","","","31","","46",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-18","2011","02","18","","-15.1","","-26.3","","-20.7","","38.7","","0.0","","","M","","M","","M","","","31","","54",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-19","2011","02","19","","-17.1","","-30.3","","-23.7","","41.7","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-20","2011","02","20","","-19.8","","-30.6","","-25.2","","43.2","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-21","2011","02","21","","-14.5","","-33.0","","-23.8","","41.8","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-22","2011","02","22","","-10.8","","-21.5","","-16.2","","34.2","","0.0","","","M","","M","","M","","","18","","33",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-23","2011","02","23","","-11.6","","-21.7","","-16.7","","34.7","","0.0","","","M","","M","","M","","","31","","37",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-24","2011","02","24","","-20.9","","-31.3","","-26.1","","44.1","","0.0","","","M","","M","","M","","","28","","44",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-25","2011","02","25","","-22.5","","-35.7","","-29.1","","47.1","","0.0","","","M","","M","","M","","","","","<31",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-26","2011","02","26","","-16.3","","-32.3","","-24.3","","42.3","","0.0","","","M","","M","","M","","","20","","41",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-27","2011","02","27","","-7.4","","-21.8","","-14.6","","32.6","","0.0","","","M","","M","","M","","","25","","32",""
"-99.36","49.91","CARBERRY CS","5010547","2011-02-28","2011","02","28","","-10.1","","-25.9","","-18.0","","36.0","","0.0","","","M","","M","","M","","","1","","32",""
"-99.36","49.91","CARBERRY CS","5010547","2011-03-01","2011","03","01","","-16.8","","-28.5","","-22.7","","40.7","","0.0","","","M","","M","","M","","","2","","50",""
