"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.89","53.62","CARROT CREEK","3061350","2019-01-01","2019","01","01","","5.0","","-7.9","","-1.4","","19.4","","0.0","","","","","","1.2","","","","24","","37",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-02","2019","01","02","","8.4","","-0.4","","4.0","","14.0","","0.0","","","","","","0.0","","","","26","","36",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-03","2019","01","03","","2.8","","-2.0","","0.4","","17.6","","0.0","","","","","","4.7","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-04","2019","01","04","","-1.8","","-4.2","","-3.0","","21.0","","0.0","","","","","","12.5","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-05","2019","01","05","","-4.1","","-7.0","","-5.6","","23.6","","0.0","","","","","","0.0","","","","","M","","M"
"-115.89","53.62","CARROT CREEK","3061350","2019-01-06","2019","01","06","","-5.8","","-11.3","","-8.5","","26.5","","0.0","","","","","","0.0","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-07","2019","01","07","","-11.3","","-23.8","","-17.5","","35.5","","0.0","","","","","","0.5","","","","28","","34",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-08","2019","01","08","","-12.4","","-29.8","","-21.1","","39.1","","0.0","","","","","","0.4","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-09","2019","01","09","","-12.4","","-19.0","","-15.7","","33.7","","0.0","","","","","","2.4","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-10","2019","01","10","","-10.4","","-19.5","","-14.9","","32.9","","0.0","","","","","","0.0","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-11","2019","01","11","","-4.4","","-19.3","","-11.8","","29.8","","0.0","","","","","","0.0","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-12","2019","01","12","","1.0","","-11.6","","-5.3","","23.3","","0.0","","","","","","0.0","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-13","2019","01","13","","3.5","","-13.6","","-5.1","","23.1","","0.0","","","","","","0.0","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-14","2019","01","14","","5.0","","-10.7","","-2.9","","20.9","","0.0","","","","","","0.0","","","","25","","36",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-15","2019","01","15","","-2.8","","-10.3","","-6.5","","24.5","","0.0","","","","","","0.0","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-16","2019","01","16","","-9.7","","-15.1","","-12.4","","30.4","","0.0","","","","","","0.0","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-17","2019","01","17","","-15.1","","-19.7","","-17.4","","35.4","","0.0","","","","","","0.4","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-18","2019","01","18","","-14.3","","-19.3","","-16.8","","34.8","","0.0","","","","","","2.6","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-19","2019","01","19","","-12.3","","-17.2","","-14.7","","32.7","","0.0","","","","","","0.5","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-20","2019","01","20","","1.5","","-18.6","","-8.6","","26.6","","0.0","","","","","","","M","","","26","","32",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-21","2019","01","21","","0.5","","-10.6","","-5.0","","23.0","","0.0","","","","","","0.0","","","","24","","32",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-22","2019","01","22","","-0.2","","-14.6","","-7.4","","25.4","","0.0","","","","","","0.0","","","","","","",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-23","2019","01","23","","-1.7","","-24.2","","-13.0","","31.0","","0.0","","","","","","2.1","","","","34","","31",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-24","2019","01","24","","2.3","","-26.9","","-12.3","","30.3","","0.0","","","","","","","M","","","30","","38",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-25","2019","01","25","","6.4","","-4.9","","0.7","","17.3","","0.0","","","","","","0.0","","","","26","","39",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-26","2019","01","26","","11.1","","1.0","","6.0","","12.0","","0.0","","","","","","0.0","","","","28","","52",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-27","2019","01","27","","8.7","","-4.2","","2.2","","15.8","","0.0","","","","","","0.4","","","","30","","76",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-28","2019","01","28","","-2.1","","-12.3","","-7.2","","25.2","","0.0","","","","","","0.0","","","","28","","40",""
"-115.89","53.62","CARROT CREEK","3061350","2019-01-29","2019","01","29","","2.2","","-17.1","","-7.5","","25.5","","0.0","","","","","","0.0","","","","","M","","M"
"-115.89","53.62","CARROT CREEK","3061350","2019-01-30","2019","01","30","","4.7","","-10.5","","-2.9","","20.9","","0.0","","","","","","2.3","","","","","","",""
