"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-76.43","45.68","CHARTERIS","7031315","2014-01-01","2014","01","01","","-22.0","","-31.0","","-26.5","","44.5","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-76.43","45.68","CHARTERIS","7031315","2014-01-02","2014","01","02","","-23.0","","-31.5","","-27.3","","45.3","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-76.43","45.68","CHARTERIS","7031315","2014-01-03","2014","01","03","","-18.0","","-33.0","","-25.5","","43.5","","0.0","","0.0","","","M","","M","34","","","","",""
"-76.43","45.68","CHARTERIS","7031315","2014-01-04","2014","01","04","","-3.5","","-31.0","","-17.3","","35.3","","0.0","","0.0","","8.0","","8.0","","34","","","","",""
"-76.43","45.68","CHARTERIS","7031315","2014-01-05","2014","01","05","","2.5","","-6.0","","-1.8","","19.8","","0.0","","0.0","C","","M","","M","42","","","","",""
"-76.43","45.68","CHARTERIS","7031315","2014-01-06","2014","01","06","","3.5","","-13.5","","-5.0","","23.0","","0.0","","0.0","T","0.0","T","0.0","T","36","","","","",""
"-76.43","45.68","CHARTERIS","7031315","2014-01-07","2014","01","07","","-15.0","","-20.5","","-17.8","","35.8","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"-76.43","45.68","CHARTERIS","7031315","2014-01-08","2014","01","08","","-10.0","","-25.5","","-17.8","","35.8","","0.0","","0.0","","0.0","T","0.0","T","36","","","","",""
"-76.43","45.68","CHARTERIS","7031315","2014-01-09","2014","01","09","","-7.5","","-23.0","","-15.3","","33.3","","0.0","","0.0","","0.4","","0.4","","36","","","","",""
"-76.43","45.68","CHARTERIS","7031315","2014-01-10","2014","01","10","","0.5","","-18.0","","-8.8","","26.8","","0.0","","","M","0.6","E","","M","36","","","","",""
"-76.43","45.68","CHARTERIS","7031315","2014-01-11","2014","01","11","","4.5","","-5.5","","-0.5","","18.5","","0.0","","","M","0.0","T","","M","36","","","","",""
