"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.63","55.69","CHETWYND A","1181508","2010-01-01","2010","01","01","†","-17.0","","-21.7","","-19.4","","37.4","","0.0","","0.0","","0.7","","0.3","","39","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-02","2010","01","02","†","-16.0","","-21.0","","-18.5","","36.5","","0.0","","0.0","","1.0","","0.4","","39","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-03","2010","01","03","†","-18.0","","-28.5","","-23.3","","41.3","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-04","2010","01","04","†","-20.0","","-34.0","","-27.0","","45.0","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-05","2010","01","05","†","-20.5","","-34.5","","-27.5","","45.5","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-06","2010","01","06","†","-1.0","","-33.5","","-17.3","","35.3","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-07","2010","01","07","†","0.0","","-25.0","","-12.5","","30.5","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-08","2010","01","08","†","8.3","","-6.3","","1.0","","17.0","","0.0","","0.0","T","0.0","","0.0","T","39","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-09","2010","01","09","†","1.2","","-5.3","","-2.1","","20.1","","0.0","","0.2","","0.0","","0.2","","36","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-10","2010","01","10","†","-6.3","","-10.3","","-8.3","","26.3","","0.0","","0.0","T","0.0","","0.0","T","33","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-11","2010","01","11","†","-4.1","","-11.0","","-7.6","","25.6","","0.0","","0.0","T","4.0","","3.8","","33","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-12","2010","01","12","†","-13.1","","-18.5","","-15.8","","33.8","","0.0","","0.0","","0.4","","0.0","T","37","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-13","2010","01","13","†","-11.6","","-20.0","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","37","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-14","2010","01","14","†","4.3","","-16.7","","-6.2","","24.2","","0.0","","0.0","T","0.0","","0.0","T","36","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-15","2010","01","15","†","3.8","","-10.8","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","34","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-16","2010","01","16","†","3.8","","-2.3","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","32","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-17","2010","01","17","†","5.0","","-11.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-18","2010","01","18","†","0.0","","-12.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-19","2010","01","19","†","-5.5","","-10.0","","-7.8","","25.8","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-20","2010","01","20","†","-5.9","","-8.3","","-7.1","","25.1","","0.0","","0.0","","0.0","","0.0","","31","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-21","2010","01","21","†","-8.0","","-9.0","","-8.5","","26.5","","0.0","","0.0","","3.0","","3.0","","31","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-22","2010","01","22","†","-7.9","","-10.5","","-9.2","","27.2","","0.0","","0.0","","5.0","","0.8","","33","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-23","2010","01","23","†","-6.1","","-9.7","","-7.9","","25.9","","0.0","","0.0","","4.4","","1.0","","38","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-24","2010","01","24","†","-7.1","","-13.0","","-10.1","","28.1","","0.0","","0.0","","2.6","","1.2","","41","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-25","2010","01","25","†","-12.2","","-13.6","","-12.9","","30.9","","0.0","","0.0","","0.6","","0.2","","43","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-26","2010","01","26","†","-10.3","","-16.4","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-121.63","55.69","CHETWYND A","1181508","2010-01-27","2010","01","27","†","-7.2","","-24.0","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","42","","","","",""
