"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-01","2015","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-02","2015","01","02","","-13.8","","-23.3","","-18.6","","36.6","","0.0","","","M","","M","5.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-03","2015","01","03","","-21.2","","-32.2","","-26.7","","44.7","","0.0","","","M","","M","","M","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-04","2015","01","04","","","M","-37.3","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-05","2015","01","05","","-26.1","","-35.8","","-31.0","","49.0","","0.0","","","M","","M","2.8","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-06","2015","01","06","","-18.2","","-26.5","","-22.4","","40.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-07","2015","01","07","","-12.0","","-19.9","","-16.0","","34.0","","0.0","","","M","","M","3.0","","","","32","","35",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-08","2015","01","08","","-15.3","","-29.2","","-22.3","","40.3","","0.0","","","M","","M","4.4","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-09","2015","01","09","","-17.3","","-27.5","","-22.4","","40.4","","0.0","","","M","","M","","M","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-10","2015","01","10","","-13.3","","-25.8","","-19.6","","37.6","","0.0","","","M","","M","11.2","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-11","2015","01","11","","-17.7","","-28.3","","-23.0","","41.0","","0.0","","","M","","M","2.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-12","2015","01","12","","-15.3","","-25.9","","-20.6","","38.6","","0.0","","","M","","M","","M","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-13","2015","01","13","","5.0","","-15.4","","-5.2","","23.2","","0.0","","","M","","M","0.0","","","","24","","44",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-14","2015","01","14","","5.4","","-4.3","","0.6","","17.4","","0.0","","","M","","M","0.0","","","","26","","52",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-15","2015","01","15","","-2.2","","-6.5","","-4.4","","22.4","","0.0","","","M","","M","","M","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-16","2015","01","16","","4.5","","-12.0","","-3.8","","21.8","","0.0","","","M","","M","0.7","","","","24","","56",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-17","2015","01","17","","3.3","","-2.6","","0.4","","17.6","","0.0","","","M","","M","0.0","","","","24","","56",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-18","2015","01","18","","-1.0","","-10.6","","-5.8","","23.8","","0.0","","","M","","M","0.5","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-19","2015","01","19","","3.6","","-8.4","","-2.4","","20.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-20","2015","01","20","","-4.1","","-13.0","","-8.6","","26.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-21","2015","01","21","","5.9","","-12.7","","-3.4","","21.4","","0.0","","","M","","M","0.4","","","","21","","56",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-22","2015","01","22","","7.0","","4.2","","5.6","","12.4","","0.0","","","M","","M","0.0","","","","24","","56",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-23","2015","01","23","","6.9","","-0.2","","3.4","","14.6","","0.0","","","M","","M","","M","","","21","","41",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-24","2015","01","24","","6.4","","1.0","","3.7","","14.3","","0.0","","","M","","M","0.0","","","","25","","56",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-25","2015","01","25","","7.4","","0.6","","4.0","","14.0","","0.0","","","M","","M","0.0","","","","22","","67",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-26","2015","01","26","","4.2","","-0.5","","1.9","","16.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-27","2015","01","27","","0.5","","-12.0","","-5.8","","23.8","","0.0","","","M","","M","7.5","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-28","2015","01","28","","-12.0","","-23.1","","-17.6","","35.6","","0.0","","","M","","M","6.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-29","2015","01","29","","-9.5","","-16.7","","-13.1","","31.1","","0.0","","","M","","M","1.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-30","2015","01","30","","-9.9","","-14.3","","-12.1","","30.1","","0.0","","","M","","M","1.2","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-01-31","2015","01","31","","-13.0","","-25.0","","-19.0","","37.0","","0.0","","","M","","M","3.4","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-01","2015","02","01","","-16.3","","-25.9","","-21.1","","39.1","","0.0","","","M","","M","","M","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-02","2015","02","02","","-12.4","","-26.8","","-19.6","","37.6","","0.0","","","M","","M","3.1","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-03","2015","02","03","","-18.0","","-30.4","","-24.2","","42.2","","0.0","","","M","","M","","M","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-04","2015","02","04","","-7.0","","-25.1","","-16.1","","34.1","","0.0","","","M","","M","","M","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-05","2015","02","05","","-11.0","","-19.5","","-15.3","","33.3","","0.0","","","M","","M","9.5","","","","5","","39",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-06","2015","02","06","","-19.5","","-21.6","","-20.6","","38.6","","0.0","","","M","","M","","M","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-07","2015","02","07","","-16.6","","-21.7","","-19.2","","37.2","","0.0","","","M","","M","0.7","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-08","2015","02","08","","-18.1","","-24.6","","-21.4","","39.4","","0.0","","","M","","M","6.2","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-09","2015","02","09","","-14.4","","-18.3","","-16.4","","34.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-10","2015","02","10","","-14.6","","-17.8","","-16.2","","34.2","","0.0","","","M","","M","0.4","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-11","2015","02","11","","-12.8","","-18.6","","-15.7","","33.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-12","2015","02","12","","-3.2","","-17.1","","-10.2","","28.2","","0.0","","","M","","M","1.0","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-13","2015","02","13","","-2.0","","-6.6","","-4.3","","22.3","","0.0","","","M","","M","3.7","","","","","","<31",""
"-119.75","56.31","CLEARDALE AGDM","3074935","2015-02-14","2015","02","14","","6.0","","-12.7","","-3.4","","21.4","","0.0","","","M","","M","1.7","","","","26","","46",""
