"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-01","2018","01","01","","-13.4","","-27.9","","-20.7","","38.7","","0.0","","","M","","M","","M","36","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-02","2018","01","02","","-13.3","","-23.7","","-18.5","","36.5","","0.0","","","M","","M","","M","35","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-03","2018","01","03","","-8.5","","-20.2","","-14.4","","32.4","","0.0","","","M","","M","","M","33","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-04","2018","01","04","","-9.0","","-18.4","","-13.7","","31.7","","0.0","","","M","","M","","M","32","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-05","2018","01","05","","-3.8","","-9.9","","-6.9","","24.9","","0.0","","","M","","M","","M","31","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-06","2018","01","06","","-0.1","","-4.2","","-2.2","","20.2","","0.0","","","M","","M","","M","32","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-07","2018","01","07","","-0.1","","-1.5","","-0.8","","18.8","","0.0","","","M","","M","","M","32","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-08","2018","01","08","","0.4","","-1.8","","-0.7","","18.7","","0.0","","","M","","M","","M","34","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-09","2018","01","09","","1.6","","-0.8","","0.4","","17.6","","0.0","","","M","","M","","M","34","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-10","2018","01","10","","-0.2","","-15.7","","-8.0","","26.0","","0.0","","","M","","M","","M","35","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-11","2018","01","11","","-8.9","","-15.5","","-12.2","","30.2","","0.0","","","M","","M","","M","35","","","","<31",""
"-120.08","51.65","CLEARWATER AUTO","1161650","2018-01-12","2018","01","12","","-6.2","","-11.4","","-8.8","","26.8","","0.0","","","M","","M","","M","35","","","","<31",""
