"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.90","48.62","CONNAUGHT","6071860","2012-01-01","2012","01","01","†","","","","","","","","","","","0.0","","12.0","","12.0","","32","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-02","2012","01","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","42","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-03","2012","01","03","†","","","","","","","","","","","0.0","","1.0","","1.0","","41","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-04","2012","01","04","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","41","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-05","2012","01","05","†","","","","","","","","","","","0.0","","5.0","","5.0","","41","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-06","2012","01","06","†","","","","","","","","","","","0.0","","2.6","","2.6","","42","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-07","2012","01","07","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","45","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-08","2012","01","08","†","","","","","","","","","","","0.0","","0.0","","0.0","","45","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-09","2012","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-10","2012","01","10","†","","","","","","","","","","","0.0","","2.0","","2.0","","","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-11","2012","01","11","†","","","","","","","","","","","0.0","T","5.0","","5.0","","46","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-12","2012","01","12","†","","","","","","","","","","","0.0","","4.4","","4.4","","51","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-13","2012","01","13","†","","","","","","","","","","","0.0","","0.0","","0.0","","56","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-14","2012","01","14","†","","","","","","","","","","","0.0","","0.0","","0.0","","56","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-15","2012","01","15","†","","","","","","","","","","","0.0","","0.0","","0.0","","56","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-16","2012","01","16","†","","","","","","","","","","","0.0","","0.0","","0.0","","51","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-17","2012","01","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","51","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-18","2012","01","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","51","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-19","2012","01","19","†","","","","","","","","","","","0.0","","6.6","","6.6","","51","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-20","2012","01","20","†","","","","","","","","","","","0.0","","0.0","","0.0","","59","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-21","2012","01","21","†","","","","","","","","","","","0.0","","0.0","","0.0","","59","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-22","2012","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-23","2012","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-24","2012","01","24","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","51","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-25","2012","01","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","51","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-26","2012","01","26","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","51","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-27","2012","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-28","2012","01","28","†","","","","","","","","","","","0.0","","5.8","","5.8","","","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-29","2012","01","29","†","","","","","","","","","","","0.0","","0.0","","0.0","","51","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-30","2012","01","30","†","","","","","","","","","","","0.0","","0.0","","0.0","","57","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-01-31","2012","01","31","†","","","","","","","","","","","0.0","","16.0","","16.0","","57","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-02-01","2012","02","01","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","69","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-02-02","2012","02","02","†","","","","","","","","","","","0.0","","2.4","","2.4","","65","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-02-03","2012","02","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","68","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-02-04","2012","02","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","67","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-02-05","2012","02","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","64","","","","",""
"-80.90","48.62","CONNAUGHT","6071860","2012-02-06","2012","02","06","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","64","","","","",""
