"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-01","2009","01","01","","-17.1","","-27.9","","-22.5","","40.5","","0.0","","","M","","M","0.6","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-02","2009","01","02","","-22.9","","-34.2","","-28.6","","46.6","","0.0","","","M","","M","0.5","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-03","2009","01","03","","-26.7","","-36.7","","-31.7","","49.7","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-04","2009","01","04","","-8.3","","-36.2","","-22.3","","40.3","","0.0","","","M","","M","","M","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-05","2009","01","05","","","M","-21.7","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-06","2009","01","06","","-3.6","","-17.0","","-10.3","","28.3","","0.0","","","M","","M","","M","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-07","2009","01","07","","","M","-17.1","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-08","2009","01","08","","-13.6","","-21.1","","-17.4","","35.4","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-09","2009","01","09","","-3.9","","-28.0","","-16.0","","34.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-10","2009","01","10","","0.2","","-10.0","","-4.9","","22.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-11","2009","01","11","","4.2","","-15.3","","-5.6","","23.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-12","2009","01","12","","-4.6","","-19.0","","-11.8","","29.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-13","2009","01","13","","5.2","","-17.3","","-6.1","","24.1","","0.0","","","M","","M","","M","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-14","2009","01","14","","-14.2","","-18.7","","-16.5","","34.5","","0.0","","","M","","M","2.1","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-15","2009","01","15","","-2.4","","-14.2","","-8.3","","26.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-16","2009","01","16","","5.7","","-6.5","","-0.4","","18.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-17","2009","01","17","","1.7","","-7.3","","-2.8","","20.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-18","2009","01","18","","3.5","","-4.7","","-0.6","","18.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-19","2009","01","19","","4.1","","-7.9","","-1.9","","19.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-20","2009","01","20","","1.0","","-9.8","","-4.4","","22.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-21","2009","01","21","","-2.9","","-12.5","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-22","2009","01","22","","-7.0","","-22.0","","-14.5","","32.5","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-23","2009","01","23","","-21.8","","-29.3","","-25.6","","43.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-24","2009","01","24","","-21.0","","-30.3","","-25.7","","43.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-25","2009","01","25","","-14.7","","-28.2","","-21.5","","39.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-26","2009","01","26","","-10.9","","-27.7","","-19.3","","37.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-27","2009","01","27","","2.5","","-24.7","","-11.1","","29.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-28","2009","01","28","","-0.1","","-11.0","","-5.6","","23.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-29","2009","01","29","","2.5","","-10.0","","-3.8","","21.8","","0.0","","","M","","M","0.9","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-30","2009","01","30","","6.5","","-1.0","","2.8","","15.2","","0.0","","","M","","M","","M","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-01-31","2009","01","31","","1.1","","-10.5","","-4.7","","22.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-01","2009","02","01","","-4.0","","-12.4","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-02","2009","02","02","","0.7","","-11.2","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-03","2009","02","03","","4.9","","-10.2","","-2.7","","20.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-04","2009","02","04","","7.6","","-2.4","","2.6","","15.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-05","2009","02","05","","3.6","","-4.4","","-0.4","","18.4","","0.0","","","M","","M","","M","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-06","2009","02","06","","-1.4","","-9.2","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-07","2009","02","07","","1.6","","-11.4","","-4.9","","22.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-08","2009","02","08","","7.1","","-6.7","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-09","2009","02","09","","1.3","","-9.9","","-4.3","","22.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-10","2009","02","10","","-1.6","","-13.8","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-11","2009","02","11","","-2.9","","-14.5","","-8.7","","26.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-12","2009","02","12","","-6.4","","-16.4","","-11.4","","29.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-13","2009","02","13","","-8.3","","-22.1","","-15.2","","33.2","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-14","2009","02","14","","-10.2","","-19.1","","-14.7","","32.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-15","2009","02","15","","-10.9","","-18.8","","-14.9","","32.9","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-16","2009","02","16","","-8.3","","-17.7","","-13.0","","31.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-17","2009","02","17","","-4.6","","-19.3","","-12.0","","30.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-18","2009","02","18","","1.0","","-16.6","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-19","2009","02","19","","0.2","","-13.9","","-6.9","","24.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-20","2009","02","20","","-4.5","","-18.0","","-11.3","","29.3","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-21","2009","02","21","","1.5","","-16.8","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-22","2009","02","22","","-1.4","","-14.6","","-8.0","","26.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-23","2009","02","23","","-7.5","","-11.4","","-9.5","","27.5","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-24","2009","02","24","","-10.9","","-17.8","","-14.4","","32.4","","0.0","","","M","","M","3.3","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-25","2009","02","25","","-17.7","","-21.8","","-19.8","","37.8","","0.0","","","M","","M","1.3","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-26","2009","02","26","","-19.5","","-28.1","","-23.8","","41.8","","0.0","","","M","","M","0.5","","","","","M","","M"
"-112.25","51.78","CRAIGMYLE AGCM","3021912","2009-02-27","2009","02","27","","-7.9","","-25.2","","-16.6","","34.6","","0.0","","","M","","M","0.0","","","","","M","","M"
