"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-01","2009","01","01","","-26.0","","-34.7","","-30.4","","48.4","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-02","2009","01","02","","-32.8","","-42.0","","-37.4","","55.4","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-03","2009","01","03","","-28.4","","-37.8","","-33.1","","51.1","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-04","2009","01","04","","-17.4","","-31.2","","-24.3","","42.3","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-05","2009","01","05","","-12.7","","-25.9","","-19.3","","37.3","","0.0","","","M","","M","","M","","","32","","35",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-06","2009","01","06","","-24.5","","-32.7","","-28.6","","46.6","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-07","2009","01","07","","-24.4","","-25.6","","-25.0","","43.0","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-08","2009","01","08","","-23.4","","-38.8","","-31.1","","49.1","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-09","2009","01","09","","-16.6","","-38.1","","-27.4","","45.4","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-10","2009","01","10","","2.0","","-19.9","","-9.0","","27.0","","0.0","","","M","","M","","M","","","25","","50",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-11","2009","01","11","","-15.9","","-27.1","","-21.5","","39.5","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-12","2009","01","12","","4.4","","-26.4","","-11.0","","29.0","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-13","2009","01","13","","6.2","","-14.8","","-4.3","","22.3","","0.0","","","M","","M","","M","","","27","","57",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-14","2009","01","14","","-12.2","","-16.6","","-14.4","","32.4","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-15","2009","01","15","","9.0","","-17.4","","-4.2","","22.2","","0.0","","","M","","M","","M","","","28","","46",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-16","2009","01","16","","7.7","","-7.9","","-0.1","","18.1","","0.0","","","M","","M","","M","","","27","","56",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-17","2009","01","17","","11.4","","-11.4","","0.0","","18.0","","0.0","","","M","","M","","M","","","26","","44",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-18","2009","01","18","","5.1","","-11.2","","-3.1","","21.1","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-19","2009","01","19","","9.7","","-15.9","","-3.1","","21.1","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-20","2009","01","20","","-0.1","","-13.6","","-6.9","","24.9","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-21","2009","01","21","","-5.3","","-17.3","","-11.3","","29.3","","0.0","","","M","","M","","M","","","33","","46",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-22","2009","01","22","","-17.2","","-29.5","","-23.4","","41.4","","0.0","","","M","","M","","M","","","31","","33",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-23","2009","01","23","","-25.0","","-37.2","","-31.1","","49.1","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-24","2009","01","24","","-25.8","","-40.2","","-33.0","","51.0","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-25","2009","01","25","","-16.8","","-29.5","","-23.2","","41.2","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-26","2009","01","26","","-3.3","","-30.2","","-16.8","","34.8","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-27","2009","01","27","","1.5","","-8.2","","-3.4","","21.4","","0.0","","","M","","M","","M","","","27","","48",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-28","2009","01","28","","1.1","","-16.0","","-7.5","","25.5","","0.0","","","M","","M","","M","","","27","","50",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-29","2009","01","29","","7.9","","-1.4","","3.3","","14.7","","0.0","","","M","","M","","M","","","3","","69",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-30","2009","01","30","","8.7","","-0.5","","4.1","","13.9","","0.0","","","M","","M","","M","","","28","","96",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-01-31","2009","01","31","","0.2","","-4.6","","-2.2","","20.2","","0.0","","","M","","M","","M","","","27","","78",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-01","2009","02","01","","0.3","","-6.5","","-3.1","","21.1","","0.0","","","M","","M","","M","","","27","","48",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-02","2009","02","02","","5.5","","-4.6","","0.5","","17.5","","0.0","","","M","","M","","M","","","25","","41",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-03","2009","02","03","","11.2","","0.8","","6.0","","12.0","","0.0","","","M","","M","","M","","","22","","63",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-04","2009","02","04","","8.3","","0.4","","4.4","","13.6","","0.0","","","M","","M","","M","","","25","","70",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-05","2009","02","05","","3.8","","-2.2","","0.8","","17.2","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-06","2009","02","06","","0.6","","-6.8","","-3.1","","21.1","","0.0","","","M","","M","","M","","","3","","52",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-07","2009","02","07","","7.9","","-0.3","","3.8","","14.2","","0.0","","","M","","M","","M","","","25","","56",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-08","2009","02","08","","8.0","","-1.7","","3.2","","14.8","","0.0","","","M","","M","","M","","","23","","56",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-09","2009","02","09","","-0.1","","-15.1","","-7.6","","25.6","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-10","2009","02","10","","-3.7","","-17.8","","-10.8","","28.8","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-11","2009","02","11","","-4.3","","-18.7","","-11.5","","29.5","","0.0","","","M","","M","","M","","","","","<31",""
"-120.18","55.74","DAWSON CREEK LWIS","1182287","2009-02-12","2009","02","12","","-13.1","","-20.6","","-16.9","","34.9","","0.0","","","M","","M","","M","","","","","<31",""
