"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-01","2012","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-02","2012","01","02","†","1.0","","-11.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-03","2012","01","03","†","4.0","","-5.5","","-0.8","","18.8","","0.0","","3.0","","0.0","","3.0","","3","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-04","2012","01","04","†","5.5","","-4.5","","0.5","","17.5","","0.0","","0.8","","0.0","","0.8","","0","T","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-05","2012","01","05","†","3.5","","-2.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-06","2012","01","06","†","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-07","2012","01","07","†","4.5","","-8.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-08","2012","01","08","†","6.0","","-4.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-09","2012","01","09","†","8.0","","-1.0","","3.5","","14.5","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-10","2012","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-11","2012","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-12","2012","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-13","2012","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-14","2012","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-15","2012","01","15","†","-21.0","","-24.0","","-22.5","","40.5","","0.0","","0.0","","1.0","","1.0","","11","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-16","2012","01","16","†","-26.5","","-33.0","","-29.8","","47.8","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-17","2012","01","17","†","-31.0","","-40.5","","-35.8","","53.8","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-18","2012","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-19","2012","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-20","2012","01","20","†","-16.5","","-31.5","","-24.0","","42.0","","0.0","","0.0","","3.0","","3.0","","12","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-21","2012","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-22","2012","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-23","2012","01","23","†","0.0","","-10.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","15","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-24","2012","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-25","2012","01","25","†","1.5","","-5.5","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-26","2012","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-27","2012","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-28","2012","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-29","2012","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-30","2012","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-118.18","55.26","DEBOLT GOODWIN","3072001","2012-01-31","2012","01","31","","","","","","","","","","","","","","","","","","","","","","",""
