"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-01","2008","01","01","","-13.8","","-22.1","","-18.0","","36.0","","0.0","","","M","","M","0.5","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-02","2008","01","02","","-13.4","","-23.0","","-18.2","","36.2","","0.0","","","M","","M","0.5","","","","2","","35",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-03","2008","01","03","","-4.2","","-13.4","","-8.8","","26.8","","0.0","","","M","","M","0.0","","","","20","","61",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-04","2008","01","04","","-2.9","","-12.7","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","17","","33",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-05","2008","01","05","","0.3","","-9.0","","-4.4","","22.4","","0.0","","","M","","M","0.0","","","","15","","37",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-06","2008","01","06","","1.2","","-2.8","","-0.8","","18.8","","0.0","","","M","","M","2.0","","","","18","","37",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-07","2008","01","07","","-0.8","","-5.6","","-3.2","","21.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-08","2008","01","08","","-1.2","","-12.5","","-6.9","","24.9","","0.0","","","M","","M","2.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-09","2008","01","09","","-9.7","","-18.9","","-14.3","","32.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-10","2008","01","10","","-4.5","","-13.6","","-9.1","","27.1","","0.0","","","M","","M","2.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-11","2008","01","11","","-4.1","","-7.6","","-5.9","","23.9","","0.0","","","M","","M","1.5","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-12","2008","01","12","","-7.3","","-11.8","","-9.6","","27.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-13","2008","01","13","","-7.9","","-17.4","","-12.7","","30.7","","0.0","","","M","","M","1.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-14","2008","01","14","","-16.3","","-25.6","","-21.0","","39.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-15","2008","01","15","","-7.1","","-22.9","","-15.0","","33.0","","0.0","","","M","","M","0.0","","","","14","","37",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-16","2008","01","16","","-7.1","","-21.3","","-14.2","","32.2","","0.0","","","M","","M","0.5","","","","19","","32",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-17","2008","01","17","","-14.9","","-28.5","","-21.7","","39.7","","0.0","","","M","","M","0.5","","","","34","","37",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-18","2008","01","18","","-20.3","","-28.0","","-24.2","","42.2","","0.0","","","M","","M","0.0","","","","29","","35",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-19","2008","01","19","","-22.8","","-32.4","","-27.6","","45.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-20","2008","01","20","","-21.6","","-33.4","","-27.5","","45.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-21","2008","01","21","","-20.5","","-31.1","","-25.8","","43.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-22","2008","01","22","","-18.5","","-29.1","","-23.8","","41.8","","0.0","","","M","","M","0.5","","","","30","","33",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-23","2008","01","23","","-21.1","","-31.7","","-26.4","","44.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-24","2008","01","24","","-12.0","","-31.0","","-21.5","","39.5","","0.0","","","M","","M","0.0","","","","21","","41",""
"-92.74","49.83","DRYDEN A (AUT)","6032120","2008-01-25","2008","01","25","","-10.0","","-21.6","","-15.8","","33.8","","0.0","","","M","","M","0.0","","","","","","<31",""
