"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-01","2011","01","01","","-14.8","","-16.6","","-15.7","","33.7","","0.0","","","M","","M","0.5","","","","4","","48",""
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-02","2011","01","02","","-14.1","","-20.4","","-17.3","","35.3","","0.0","","","M","","M","0.0","","","","26","","35",""
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-03","2011","01","03","","-15.5","","-24.0","","-19.8","","37.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-04","2011","01","04","","-14.9","","-20.8","","-17.9","","35.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-05","2011","01","05","","-11.5","","-19.5","","-15.5","","33.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-06","2011","01","06","","-15.4","","-21.2","","-18.3","","36.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-07","2011","01","07","","-11.3","","-20.9","","-16.1","","34.1","","0.0","","","M","","M","0.0","","","","4","","46",""
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-08","2011","01","08","","-13.7","","-23.3","","-18.5","","36.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-09","2011","01","09","","-9.4","","-18.4","","-13.9","","31.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-10","2011","01","10","","-8.4","","-13.4","","-10.9","","28.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-92.74","49.83","DRYDEN REGIONAL","6032125","2011-01-11","2011","01","11","","-8.4","","-12.3","","-10.4","","28.4","","0.0","","","M","","M","0.0","","","","","","<31",""
