"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-01","2015","01","01","","-4.5","","-15.1","","-9.8","","27.8","","0.0","","","M","","M","0.8","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-02","2015","01","02","","-15.1","","-25.8","","-20.5","","38.5","","0.0","","","M","","M","2.1","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-03","2015","01","03","","-21.9","","-35.8","","-28.9","","46.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-04","2015","01","04","","-20.6","","-34.7","","-27.7","","45.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-05","2015","01","05","","-18.3","","-34.1","","-26.2","","44.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-06","2015","01","06","","-18.2","","-30.7","","-24.5","","42.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-07","2015","01","07","","-13.0","","-34.5","","-23.8","","41.8","","0.0","","","M","","M","1.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-08","2015","01","08","","-13.5","","-25.3","","-19.4","","37.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-09","2015","01","09","","-16.9","","-31.6","","-24.3","","42.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-10","2015","01","10","","-20.7","","-32.7","","-26.7","","44.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-11","2015","01","11","","-19.6","","-33.1","","-26.4","","44.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-12","2015","01","12","","-13.6","","-31.8","","-22.7","","40.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-13","2015","01","13","","0.5","","-19.7","","-9.6","","27.6","","0.0","","","M","","M","0.5","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-14","2015","01","14","","5.3","","-2.6","","1.4","","16.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-15","2015","01","15","","0.6","","-11.8","","-5.6","","23.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-16","2015","01","16","","2.6","","-10.7","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-17","2015","01","17","","2.7","","-4.8","","-1.1","","19.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-18","2015","01","18","","-1.9","","-16.8","","-9.4","","27.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-19","2015","01","19","","1.0","","-17.4","","-8.2","","26.2","","0.0","","","M","","M","1.3","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-20","2015","01","20","","-1.1","","-4.6","","-2.9","","20.9","","0.0","","","M","","M","2.1","","","","","M","","M"
"-110.87","54.37","DUPRE AGCM","3081690","2015-01-21","2015","01","21","","2.4","","-6.9","","-2.3","","20.3","","0.0","","","M","","M","0.0","","","","","M","","M"
