"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-01","2008","01","01","","-8.8","","-23.2","","-16.0","","34.0","","0.0","","","M","","M","0.0","","","","35","","33",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-02","2008","01","02","","-17.5","","-26.5","","-22.0","","40.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-03","2008","01","03","","-3.8","","-32.8","","-18.3","","36.3","","0.0","","","M","","M","1.0","","","","18","","54",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-04","2008","01","04","","-2.4","","-5.9","","-4.2","","22.2","","0.0","","","M","","M","0.0","","","","23","","44",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-05","2008","01","05","","1.2","","-3.8","","-1.3","","19.3","","0.0","","","M","","M","0.0","","","","18","","32",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-06","2008","01","06","","4.6","","0.3","","2.5","","15.5","","0.0","","","M","","M","0.0","","","","18","","37",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-07","2008","01","07","","5.5","","1.4","","3.5","","14.5","","0.0","","","M","","M","2.0","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-08","2008","01","08","","2.7","","1.1","","1.9","","16.1","","0.0","","","M","","M","5.0","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-09","2008","01","09","","2.9","","-4.8","","-1.0","","19.0","","0.0","","","M","","M","20.5","","","","29","","76",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-10","2008","01","10","","-4.7","","-10.8","","-7.8","","25.8","","0.0","","","M","","M","0.0","","","","27","","41",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-11","2008","01","11","","-4.6","","-9.0","","-6.8","","24.8","","0.0","","","M","","M","3.0","","","","5","","54",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-12","2008","01","12","","-8.9","","-24.8","","-16.9","","34.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-13","2008","01","13","","-8.5","","-27.0","","-17.8","","35.8","","0.0","","","M","","M","0.5","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-14","2008","01","14","","-6.7","","-9.9","","-8.3","","26.3","","0.0","","","M","","M","2.5","","","","4","","33",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-15","2008","01","15","","-9.9","","-18.2","","-14.1","","32.1","","0.0","","","M","","M","0.0","","","","34","","32",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-16","2008","01","16","","-2.6","","-23.7","","-13.2","","31.2","","0.0","","","M","","M","0.5","","","","2","","32",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-17","2008","01","17","","-0.7","","-2.7","","-1.7","","19.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-18","2008","01","18","","-0.3","","-16.6","","-8.5","","26.5","","0.0","","","M","","M","0.5","","","","29","","67",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-19","2008","01","19","","-16.6","","-35.0","","-25.8","","43.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-20","2008","01","20","","-23.3","","-36.3","","-29.8","","47.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-21","2008","01","21","","-14.0","","-32.6","","-23.3","","41.3","","0.0","","","M","","M","0.5","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-22","2008","01","22","","-11.2","","-18.8","","-15.0","","33.0","","0.0","","","M","","M","1.0","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-23","2008","01","23","","-14.2","","-34.4","","-24.3","","42.3","","0.0","","","M","","M","1.0","","","","27","","48",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-24","2008","01","24","","-16.2","","-36.7","","-26.5","","44.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-25","2008","01","25","","-9.0","","-21.2","","-15.1","","33.1","","0.0","","","M","","M","1.0","","","","22","","39",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-26","2008","01","26","","-10.7","","-26.4","","-18.6","","36.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-27","2008","01","27","","-3.6","","-14.3","","-9.0","","27.0","","0.0","","","M","","M","0.5","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-28","2008","01","28","","-0.1","","-8.1","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","2","","52",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-29","2008","01","29","","3.7","","-1.2","","1.3","","16.7","","0.0","","","M","","M","2.5","","","","19","","56",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-30","2008","01","30","","2.9","","-17.7","","-7.4","","25.4","","0.0","","","M","","M","6.5","","","","20","","89",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-01-31","2008","01","31","","-10.2","","-23.6","","-16.9","","34.9","","0.0","","","M","","M","0.0","","","","26","","50",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-02-01","2008","02","01","","-7.6","","-18.3","","-13.0","","31.0","","0.0","","","M","","M","1.5","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-02-02","2008","02","02","","-7.1","","-13.5","","-10.3","","28.3","","0.0","","","M","","M","0.5","","","","","","<31",""
"-79.85","47.70","EARLTON AWOS","6072224","2008-02-03","2008","02","03","","-3.0","","-11.6","","-7.3","","25.3","","0.0","","","M","","M","2.0","","","","","","<31",""
