"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-01","2011","01","01","","5.5","","-5.8","","-0.2","","18.2","","0.0","","","M","","M","3.1","","","","23","","70",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-02","2011","01","02","","-4.9","","-10.2","","-7.6","","25.6","","0.0","","","M","","M","0.8","","","","21","","48",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-03","2011","01","03","","-3.4","","-13.9","","-8.7","","26.7","","0.0","","","M","","M","0.5","","","","","","<31",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-04","2011","01","04","","-6.2","","-14.7","","-10.5","","28.5","","0.0","","","M","","M","2.3","","","","","","<31",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-05","2011","01","05","","-5.9","","-16.0","","-11.0","","29.0","","0.0","","","M","","M","","M","","","","","<31",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-06","2011","01","06","","-5.6","","-10.7","","-8.2","","26.2","","0.0","","","M","","M","1.9","","","","","","<31",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-07","2011","01","07","","-6.3","","-10.0","","-8.2","","26.2","","0.0","","","M","","M","0.6","","","","10","","37",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-08","2011","01","08","","-9.0","","-15.5","","-12.3","","30.3","","0.0","","","M","","M","0.9","","","","33","","33",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-09","2011","01","09","","-12.6","","-18.2","","-15.4","","33.4","","0.0","","","M","","M","1.1","","","","31","","33",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-10","2011","01","10","","-9.9","","-14.7","","-12.3","","30.3","","0.0","","","M","","M","0.0","","","","31","","33",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-11","2011","01","11","","-7.9","","-15.5","","-11.7","","29.7","","0.0","","","M","","M","1.4","","","","","","<31",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-12","2011","01","12","","-9.4","","-15.7","","-12.6","","30.6","","0.0","","","M","","M","0.2","","","","33","","44",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-13","2011","01","13","","-10.1","","-15.1","","-12.6","","30.6","","0.0","","","M","","M","0.5","","","","34","","33",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-14","2011","01","14","","-11.6","","-22.6","","-17.1","","35.1","","0.0","","","M","","M","1.4","","","","","","<31",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-15","2011","01","15","","-10.0","","-20.7","","-15.4","","33.4","","0.0","","","M","","M","4.0","","","","31","","46",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-16","2011","01","16","","-18.9","","-27.0","","-23.0","","41.0","","0.0","","","M","","M","1.1","","","","32","","41",""
"-79.85","47.70","EARLTON CLIMATE","6072230","2011-01-17","2011","01","17","","-10.8","","-26.6","","-18.7","","36.7","","0.0","","","M","","M","1.5","","","","16","","39",""
