"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-102.97","49.21","ESTEVAN A","4012401","2016-01-01","2016","01","01","","-2.0","","-9.8","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","7","","30","","46",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-02","2016","01","02","","-3.0","E","-9.8","E","-6.4","E","24.4","E","0.0","E","","M","","M","0.0","","7","","","M","","M"
"-102.97","49.21","ESTEVAN A","4012401","2016-01-03","2016","01","03","","-4.9","E","-18.2","E","-11.6","E","29.6","E","0.0","E","","M","","M","","M","","","","M","","M"
"-102.97","49.21","ESTEVAN A","4012401","2016-01-04","2016","01","04","","0.0","","-16.6","","-8.3","","26.3","","0.0","","0.0","","0.0","","0.0","","7","","33","","65",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-05","2016","01","05","","-5.5","","-16.4","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-06","2016","01","06","","-4.6","","-8.3","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","7","","10","","32",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-07","2016","01","07","","-4.9","","-10.6","","-7.8","","25.8","","0.0","","","M","","M","","M","7","","","","<31",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-08","2016","01","08","","-10.6","","-21.7","","-16.2","","34.2","","0.0","","0.0","","0.0","T","0.0","T","7","","33","","37",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-09","2016","01","09","","-18.5","E","-27.7","E","-23.1","E","41.1","E","0.0","E","","M","","M","0.2","E","7","","","M","","M"
"-102.97","49.21","ESTEVAN A","4012401","2016-01-10","2016","01","10","","-15.5","E","-29.1","E","-22.3","E","40.3","E","0.0","E","","M","","M","","M","7","","","M","","M"
"-102.97","49.21","ESTEVAN A","4012401","2016-01-11","2016","01","11","","-11.3","","-22.9","","-17.1","","35.1","","0.0","","0.0","","0.2","","0.2","","7","","31","","61",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-12","2016","01","12","","-7.3","","-26.3","","-16.8","","34.8","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-13","2016","01","13","","-3.3","","-13.3","","-8.3","","26.3","","0.0","","0.0","","2.0","","2.0","","7","","11","","32",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-14","2016","01","14","","-7.4","","-12.4","","-9.9","","27.9","","0.0","","0.0","","2.0","","1.8","","8","","4","","33",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-15","2016","01","15","","-9.7","","-22.9","","-16.3","","34.3","","0.0","","0.0","","1.2","","0.6","","9","","35","","35",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-16","2016","01","16","","-24.3","E","-34.0","E","-29.2","E","47.2","E","0.0","E","","M","","M","0.0","T","9","","","M","","M"
"-102.97","49.21","ESTEVAN A","4012401","2016-01-17","2016","01","17","","-20.0","E","-30.6","E","-25.3","E","43.3","E","0.0","E","","M","","M","","M","9","","","M","","M"
"-102.97","49.21","ESTEVAN A","4012401","2016-01-18","2016","01","18","","-14.5","","-29.0","","-21.8","","39.8","","0.0","","0.0","","2.8","","2.8","","9","","10","","48",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-19","2016","01","19","","-5.1","","-14.5","","-9.8","","27.8","","0.0","","0.0","","0.0","T","0.0","T","10","","23","","41",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-20","2016","01","20","","-6.4","","-12.4","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","10","","","","<31",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-21","2016","01","21","","-8.7","","-20.9","","-14.8","","32.8","","0.0","","0.0","","0.0","T","0.0","T","10","","","","<31",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-22","2016","01","22","","2.3","","-18.7","","-8.2","","26.2","","0.0","","0.0","","0.0","T","0.0","T","10","","17","","63",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-23","2016","01","23","","3.8","E","-2.8","E","0.5","E","17.5","E","0.0","E","","M","","M","0.0","","10","","","M","","M"
"-102.97","49.21","ESTEVAN A","4012401","2016-01-24","2016","01","24","","-3.5","E","-6.7","E","-5.1","E","23.1","E","0.0","E","","M","","M","","M","9","","","M","","M"
"-102.97","49.21","ESTEVAN A","4012401","2016-01-25","2016","01","25","","-3.3","","-8.0","","-5.7","","23.7","","0.0","","0.0","","0.0","T","0.0","T","9","","31","","46",""
"-102.97","49.21","ESTEVAN A","4012401","2016-01-26","2016","01","26","","-3.3","","-9.6","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","9","","17","","43",""
