"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-01","2014","01","01","","-8.9","","-18.5","","-13.7","","31.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-02","2014","01","02","","2.0","","-10.6","","-4.3","","22.3","","0.0","","","M","","M","3.5","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-03","2014","01","03","","0.1","","-18.5","","-9.2","","27.2","","0.0","","","M","","M","2.4","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-04","2014","01","04","","-18.5","","-23.7","","-21.1","","39.1","","0.0","","","M","","M","0.4","","","","30","","39",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-05","2014","01","05","","-18.5","","-32.5","","-25.5","","43.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-06","2014","01","06","","1.0","","-18.5","","-8.8","","26.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-07","2014","01","07","","-1.6","","-14.8","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-08","2014","01","08","","-2.9","","-15.0","","-9.0","","27.0","","0.0","","","M","","M","","M","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-09","2014","01","09","","1.6","","-11.6","","-5.0","","23.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-10","2014","01","10","","0.3","","-10.9","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-11","2014","01","11","","-1.0","","-9.3","","-5.2","","23.2","","0.0","","","M","","M","0.9","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-12","2014","01","12","","-0.1","","-13.4","","-6.8","","24.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-13","2014","01","13","","4.2","","-2.3","","1.0","","17.0","","0.0","","","M","","M","5.9","","","","28","","57",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-14","2014","01","14","","7.7","","-6.4","","0.7","","17.3","","0.0","","","M","","M","0.0","","","","26","","32",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-15","2014","01","15","","10.0","","-1.0","","4.5","","13.5","","0.0","","","M","","M","0.0","","","","27","","76",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-16","2014","01","16","","6.5","","-3.6","","1.5","","16.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-17","2014","01","17","","8.3","","-4.4","","2.0","","16.0","","0.0","","","M","","M","0.0","","","","27","","35",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-18","2014","01","18","","9.9","","-4.4","","2.8","","15.2","","0.0","","","M","","M","0.0","","","","28","","41",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-19","2014","01","19","","5.6","","-2.7","","1.5","","16.5","","0.0","","","M","","M","0.0","","","","32","","54",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-20","2014","01","20","","1.1","","-11.3","","-5.1","","23.1","","0.0","","","M","","M","0.4","","","","","","<31",""
"-115.12","53.57","EVANSBURG AGCM","3062475","2014-01-21","2014","01","21","","2.5","","-5.4","","-1.5","","19.5","","0.0","","","M","","M","0.0","","","","","","<31",""
