"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-01","2012","01","01","","","M","-23.3","E","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-02","2012","01","02","","-0.9","","-10.9","","-5.9","","23.9","","0.0","","","M","","M","0.0","","","","9","","32",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-03","2012","01","03","","1.5","","-12.0","","-5.3","","23.3","","0.0","","","M","","M","3.6","","","","","","<31",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-04","2012","01","04","","6.7","","0.0","","3.4","","14.6","","0.0","","","M","","M","4.1","","","","26","","32",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-05","2012","01","05","","4.0","","-1.0","","1.5","","16.5","","0.0","","","M","","M","","M","","","","","<31",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-06","2012","01","06","","-0.2","","-8.2","","-4.2","","22.2","","0.0","","","M","","M","0.0","","","","26","","39",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-07","2012","01","07","","1.6","","-9.1","","-3.8","","21.8","","0.0","","","M","","M","0.0","","","","18","","33",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-08","2012","01","08","","5.9","E","-3.8","E","1.1","E","16.9","E","0.0","E","","M","","M","","M","","","","","<31",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-09","2012","01","09","","6.4","","-2.4","","2.0","","16.0","","0.0","","","M","","M","4.0","","","","26","","76",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-10","2012","01","10","","-1.1","","-21.4","","-11.3","","29.3","","0.0","","","M","","M","4.2","","","","35","","44",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-11","2012","01","11","","-1.6","","-18.1","","-9.9","","27.9","","0.0","","","M","","M","0.0","","","","26","","37",""
"-118.44","56.08","FAIRVIEW AGDM","3072525","2012-01-12","2012","01","12","","0.8","","-8.4","","-3.8","","21.8","","0.0","","","M","","M","0.0","","","","27","","44",""
