"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.21","56.65","FORT MCMURRAY CS","3062696","2012-01-01","2012","01","01","","-10.4","E","-18.3","E","-14.4","E","32.4","E","0.0","E","","M","","M","0.2","","20","","","","<31",""
"-111.21","56.65","FORT MCMURRAY CS","3062696","2012-01-02","2012","01","02","","-4.6","E","-19.5","E","-12.1","E","30.1","E","0.0","E","","M","","M","","M","22","","","","<31",""
"-111.21","56.65","FORT MCMURRAY CS","3062696","2012-01-03","2012","01","03","","-1.7","E","-7.7","E","-4.7","E","22.7","E","0.0","E","","M","","M","","M","19","","","","<31",""
"-111.21","56.65","FORT MCMURRAY CS","3062696","2012-01-04","2012","01","04","","-1.9","","-9.9","","-5.9","","23.9","","0.0","","","M","","M","0.6","","19","","","","<31",""
"-111.21","56.65","FORT MCMURRAY CS","3062696","2012-01-05","2012","01","05","","-4.3","","-13.5","","-8.9","","26.9","","0.0","","0.0","","","M","1.0","","18","","","","<31",""
"-111.21","56.65","FORT MCMURRAY CS","3062696","2012-01-06","2012","01","06","","-6.6","","-12.9","","-9.8","","27.8","","0.0","","","M","","M","0.2","","19","","","","<31",""
"-111.21","56.65","FORT MCMURRAY CS","3062696","2012-01-07","2012","01","07","","-8.8","","-23.0","","-15.9","","33.9","","0.0","","","M","","M","0.2","","20","","","","<31",""
"-111.21","56.65","FORT MCMURRAY CS","3062696","2012-01-08","2012","01","08","","6.7","","-8.8","","-1.1","","19.1","","0.0","","","M","","M","0.0","","20","","28","","56",""
"-111.21","56.65","FORT MCMURRAY CS","3062696","2012-01-09","2012","01","09","","4.3","","-5.7","","-0.7","","18.7","","0.0","","","M","","M","2.8","","18","","27","","35",""
"-111.21","56.65","FORT MCMURRAY CS","3062696","2012-01-10","2012","01","10","","1.9","","-20.5","","-9.3","","27.3","","0.0","","","M","","M","0.6","","17","","30","","54",""
