"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-01","2013","01","01","†","2.3","","-15.9","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-02","2013","01","02","†","-7.4","","-11.5","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","54","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-03","2013","01","03","†","-7.4","","-15.0","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-04","2013","01","04","†","-9.3","","-15.4","","-12.4","","30.4","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-05","2013","01","05","†","-13.0","","-18.0","","-15.5","","33.5","","0.0","","0.0","","0.0","T","0.0","T","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-06","2013","01","06","†","-9.5","","-15.2","","-12.4","","30.4","","0.0","","0.0","","0.2","","0.2","","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-07","2013","01","07","†","-14.6","","-22.0","","-18.3","","36.3","","0.0","","0.0","","0.4","","0.4","","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-08","2013","01","08","†","-14.6","","-18.2","","-16.4","","34.4","","0.0","","0.0","","0.0","T","0.0","T","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-09","2013","01","09","†","-16.5","","-18.2","","-17.4","","35.4","","0.0","","0.0","","0.4","","0.4","","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-10","2013","01","10","†","-15.6","","-23.5","","-19.6","","37.6","","0.0","","0.0","","0.0","T","0.0","T","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-11","2013","01","11","†","-20.6","","-27.2","","-23.9","","41.9","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-12","2013","01","12","†","-16.3","","-26.1","","-21.2","","39.2","","0.0","","0.0","","0.0","","0.0","","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-13","2013","01","13","†","-9.2","","-21.1","","-15.2","","33.2","","0.0","","0.0","","2.7","","2.7","","53","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-14","2013","01","14","†","-1.7","","-13.7","","-7.7","","25.7","","0.0","","2.0","","0.0","T","2.0","","58","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-15","2013","01","15","†","10.9","","-4.8","","3.1","","14.9","","0.0","","1.0","","0.0","T","1.0","","58","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-16","2013","01","16","†","-3.0","","-7.2","","-5.1","","23.1","","0.0","","0.0","","1.0","","1.0","","47","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-17","2013","01","17","†","-8.1","","-9.2","","-8.7","","26.7","","0.0","","0.0","","13.4","","13.4","","48","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-18","2013","01","18","†","-15.5","","-19.4","","-17.5","","35.5","","0.0","","0.0","","1.0","","1.0","","59","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-19","2013","01","19","†","-19.0","","-22.6","","-20.8","","38.8","","0.0","","0.0","","1.0","","1.0","","58","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-20","2013","01","20","†","-19.3","","-33.7","","-26.5","","44.5","","0.0","","0.0","","0.8","","0.8","","55","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-21","2013","01","21","†","-16.4","","-22.2","","-19.3","","37.3","","0.0","","0.0","","4.4","","4.4","","56","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-22","2013","01","22","†","-14.5","","-17.2","","-15.9","","33.9","","0.0","","0.0","","3.4","","3.4","","58","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-23","2013","01","23","†","-16.0","","-16.5","","-16.3","","34.3","","0.0","","0.0","","2.6","","2.6","","58","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-24","2013","01","24","†","-15.5","","-22.4","","-19.0","","37.0","","0.0","","0.0","","0.0","","0.0","","62","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-25","2013","01","25","†","-19.3","","-25.1","","-22.2","","40.2","","0.0","","0.0","","0.4","","0.4","","61","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-26","2013","01","26","†","-20.0","","-25.1","","-22.6","","40.6","","0.0","","0.0","","0.0","T","0.0","T","60","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-27","2013","01","27","†","-23.1","","-25.7","","-24.4","","42.4","","0.0","","0.0","","4.6","","4.6","","60","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-28","2013","01","28","†","-25.8","","-28.7","","-27.3","","45.3","","0.0","","0.0","","0.2","","0.2","","63","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-29","2013","01","29","†","-26.0","","-33.6","","-29.8","","47.8","","0.0","","0.0","","4.2","","4.2","","63","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-30","2013","01","30","†","-20.3","","-27.6","","-24.0","","42.0","","0.0","","0.0","","4.0","","4.0","","63","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-01-31","2013","01","31","†","-13.5","","-25.3","","-19.4","","37.4","","0.0","","0.0","","1.2","","1.2","","69","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-02-01","2013","02","01","†","-9.8","","-17.0","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","68","","","","",""
"-122.57","58.84","FORT NELSON UA","1192950","2013-02-02","2013","02","02","†","-11.7","","-18.0","","-14.9","","32.9","","0.0","","0.0","","3.8","","3.8","","66","","","","",""
