"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-122.57","58.84","FORT NELSON","1192948","2018-01-01","2018","01","01","","-22.1","","-39.0","","-30.6","","48.6","","0.0","","","M","","M","0.0","","30","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-02","2018","01","02","","-11.8","","-23.5","","-17.7","","35.7","","0.0","","","M","","M","0.0","","30","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-03","2018","01","03","","-12.1","","-17.1","","-14.6","","32.6","","0.0","","","M","","M","0.0","","30","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-04","2018","01","04","","-10.2","","-16.2","","-13.2","","31.2","","0.0","","","M","","M","0.0","","30","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-05","2018","01","05","","-9.1","","-13.7","","-11.4","","29.4","","0.0","","","M","","M","0.0","","30","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-06","2018","01","06","","-8.0","","-12.6","","-10.3","","28.3","","0.0","","","M","","M","1.8","","33","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-07","2018","01","07","","-8.4","","-14.7","","-11.6","","29.6","","0.0","","","M","","M","0.0","","32","","34","","32",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-08","2018","01","08","","-12.0","","-21.4","","-16.7","","34.7","","0.0","","","M","","M","2.5","","32","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-09","2018","01","09","","-21.4","","-26.4","","-23.9","","41.9","","0.0","","","M","","M","1.3","","35","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-10","2018","01","10","","-25.9","","-33.6","","-29.8","","47.8","","0.0","","","M","","M","0.4","","35","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-11","2018","01","11","","-31.1","","-38.9","","-35.0","","53.0","","0.0","","","M","","M","0.0","","34","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-12","2018","01","12","","-30.8","","-40.3","","-35.6","","53.6","","0.0","","","M","","M","0.2","","34","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-13","2018","01","13","","-18.1","","-31.9","","-25.0","","43.0","","0.0","","","M","","M","0.0","","34","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-14","2018","01","14","","-13.8","","-18.5","","-16.2","","34.2","","0.0","","","M","","M","0.0","","34","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-15","2018","01","15","","-11.8","","-17.9","","-14.9","","32.9","","0.0","","","M","","M","0.0","","34","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-16","2018","01","16","","-13.4","","-19.9","","-16.7","","34.7","","0.0","","","M","","M","0.0","","34","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-17","2018","01","17","","-2.7","","-13.6","","-8.2","","26.2","","0.0","","","M","","M","0.0","","34","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-18","2018","01","18","","-5.6","","-10.4","","-8.0","","26.0","","0.0","","","M","","M","0.2","","34","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-19","2018","01","19","","-8.5","","-14.7","","-11.6","","29.6","","0.0","","","M","","M","0.4","","34","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-20","2018","01","20","","-6.4","","-9.2","","-7.8","","25.8","","0.0","","","M","","M","0.9","","35","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-21","2018","01","21","","-7.3","","-11.3","","-9.3","","27.3","","0.0","","","M","","M","4.5","","34","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-22","2018","01","22","","-11.2","","-21.0","","-16.1","","34.1","","0.0","","","M","","M","0.4","","40","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-23","2018","01","23","","-12.7","","-22.1","","-17.4","","35.4","","0.0","","","M","","M","0.0","","39","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-24","2018","01","24","","-15.8","","-17.8","","-16.8","","34.8","","0.0","","","M","","M","2.7","","39","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-25","2018","01","25","","-17.5","","-20.8","","-19.2","","37.2","","0.0","","","M","","M","1.4","","47","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-26","2018","01","26","","-17.0","","-19.0","","-18.0","","36.0","","0.0","","","M","","M","1.7","","48","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-27","2018","01","27","","-18.4","","-20.6","","-19.5","","37.5","","0.0","","","M","","M","2.0","","48","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-28","2018","01","28","","-20.5","","-29.0","","-24.8","","42.8","","0.0","","","M","","M","0.2","","48","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-29","2018","01","29","","-20.0","","-23.5","","-21.8","","39.8","","0.0","","","M","","M","2.7","","50","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-30","2018","01","30","","-21.2","","-24.0","","-22.6","","40.6","","0.0","","","M","","M","1.2","","50","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-01-31","2018","01","31","","-21.2","","-23.1","","-22.2","","40.2","","0.0","","","M","","M","2.6","","50","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-02-01","2018","02","01","","-21.7","","-25.0","","-23.4","","41.4","","0.0","","","M","","M","1.7","","51","","","","<31",""
"-122.57","58.84","FORT NELSON","1192948","2018-02-02","2018","02","02","","-21.5","","-26.1","","-23.8","","41.8","","0.0","","","M","","M","2.5","","49","","","","<31",""
