"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-86.93","49.78","GERALDTON A","6042716","2008-01-01","2008","01","01","","-15.7","","-26.5","","-21.1","","39.1","","0.0","","0.0","","1.2","","0.4","","63","","","","<31",""
"-86.93","49.78","GERALDTON A","6042716","2008-01-02","2008","01","02","","-18.8","","-28.9","","-23.9","","41.9","","0.0","","0.0","","0.0","T","0.0","T","61","","","","<31",""
"-86.93","49.78","GERALDTON A","6042716","2008-01-03","2008","01","03","","-4.5","","-29.3","","-16.9","","34.9","","0.0","","0.0","","0.0","T","0.0","T","59","","26","","65",""
"-86.93","49.78","GERALDTON A","6042716","2008-01-04","2008","01","04","","-2.1","","-15.1","","-8.6","","26.6","","0.0","","0.0","","0.0","T","0.0","T","47","","19","","37",""
"-86.93","49.78","GERALDTON A","6042716","2008-01-05","2008","01","05","","-0.5","","-2.5","","-1.5","","19.5","","0.0","","0.0","","0.0","T","0.0","T","46","","","","<31",""
"-86.93","49.78","GERALDTON A","6042716","2008-01-06","2008","01","06","","2.9","","-1.0","","1.0","","17.0","","0.0","","0.0","T","0.0","","0.0","T","44","","","","<31",""
"-86.93","49.78","GERALDTON A","6042716","2008-01-07","2008","01","07","","1.6","","-5.6","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","40","","","","<31",""
"-86.93","49.78","GERALDTON A","6042716","2008-01-08","2008","01","08","","0.9","","-5.2","","-2.2","","20.2","","0.0","","0.0","","3.0","","2.4","","37","","31","","37",""
"-86.93","49.78","GERALDTON A","6042716","2008-01-09","2008","01","09","","-2.6","","-20.2","","-11.4","","29.4","","0.0","","0.0","","3.0","","2.8","","43","","29","","44",""
"-86.93","49.78","GERALDTON A","6042716","2008-01-10","2008","01","10","","-8.2","","-23.8","","-16.0","","34.0","","0.0","","0.0","","0.0","","0.0","","43","","","","<31",""
"-86.93","49.78","GERALDTON A","6042716","2008-01-11","2008","01","11","","-8.2","","-15.5","","-11.9","","29.9","","0.0","","0.0","","0.4","","0.2","","43","","","","<31",""
