"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-01","2014","01","01","","-2.4","","-15.0","","-8.7","","26.7","","0.0","","","M","","M","0.8","","","","20","","33",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-02","2014","01","02","","3.0","","-15.5","","-6.3","","24.3","","0.0","","","M","","M","0.0","","","","24","","37",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-03","2014","01","03","","-2.2","","-12.0","","-7.1","","25.1","","0.0","","","M","","M","3.3","","","","2","","63",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-04","2014","01","04","","-12.0","","-27.4","","-19.7","","37.7","","0.0","","","M","","M","0.4","","","","30","","44",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-05","2014","01","05","","-24.3","E","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-06","2014","01","06","","-1.5","","-22.8","","-12.2","","30.2","","0.0","","","M","","M","0.0","","","","17","","44",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-07","2014","01","07","","-4.0","","-13.1","","-8.6","","26.6","","0.0","","","M","","M","0.0","","","","11","","39",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-08","2014","01","08","","-0.6","","-15.1","","-7.9","","25.9","","0.0","","","M","","M","","M","","","","","<31",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-09","2014","01","09","","2.3","","-13.1","","-5.4","","23.4","","0.0","","","M","","M","","M","","","","","<31",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-10","2014","01","10","","-3.0","","-11.0","","-7.0","","25.0","","0.0","","","M","","M","0.0","","","","21","","32",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-11","2014","01","11","","5.8","","-10.5","","-2.4","","20.4","","0.0","","","M","","M","0.0","","","","26","","95",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-12","2014","01","12","","-1.0","","-8.8","","-4.9","","22.9","","0.0","","","M","","M","0.9","","","","30","","46",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-13","2014","01","13","","4.3","","-3.8","","0.3","","17.7","","0.0","","","M","","M","0.0","","","","1","","83",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-14","2014","01","14","","2.8","","-10.1","","-3.7","","21.7","","0.0","","","M","","M","0.0","","","","22","","48",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-15","2014","01","15","","7.4","","-5.6","","0.9","","17.1","","0.0","","","M","","M","0.0","","","","28","","78",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-16","2014","01","16","","1.0","","-6.8","","-2.9","","20.9","","0.0","","","M","","M","0.0","","","","23","","37",""
"-112.94","50.93","GLEICHEN AGCM","3032801","2014-01-17","2014","01","17","","4.6","","-4.4","","0.1","","17.9","","0.0","","","M","","M","0.0","","","","30","","32",""
