"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-01","2015","01","01","","1.5","","-13.3","","-5.9","","23.9","","0.0","","0.0","","7.0","","7.0","","36","","6","","44",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-02","2015","01","02","","-13.2","","-19.9","","-16.6","","34.6","","0.0","","0.0","","20.8","","18.4","","42","","3","","35",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-03","2015","01","03","","-19.9","","-34.9","","-27.4","","45.4","","0.0","","0.0","","0.0","T","0.0","T","45","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-04","2015","01","04","","-24.9","","-40.2","","-32.6","","50.6","","0.0","","0.0","","0.0","T","0.0","T","43","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-05","2015","01","05","","-23.1","","-34.3","","-28.7","","46.7","","0.0","","0.0","","0.0","","0.0","","43","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-06","2015","01","06","","-17.8","","-23.9","","-20.9","","38.9","","0.0","","0.0","","1.4","","1.0","","43","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-07","2015","01","07","","-10.9","","-21.7","","-16.3","","34.3","","0.0","","0.0","","7.0","","4.8","","43","","30","","43",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-08","2015","01","08","","-14.8","","-31.6","","-23.2","","41.2","","0.0","","0.0","","0.4","","0.2","","42","","30","","32",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-09","2015","01","09","","-15.3","","-31.5","","-23.4","","41.4","","0.0","","0.0","","1.0","","0.6","","42","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-10","2015","01","10","","-15.5","","-26.8","","-21.2","","39.2","","0.0","","0.0","","13.2","","9.6","","48","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-11","2015","01","11","","-21.8","","-28.6","","-25.2","","43.2","","0.0","","0.0","","0.0","T","0.0","T","54","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-12","2015","01","12","","-15.1","","-25.3","","-20.2","","38.2","","0.0","","0.0","","0.0","","0.0","","54","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-13","2015","01","13","","5.3","","-15.7","","-5.2","","23.2","","0.0","","0.4","","0.0","","0.4","","54","","23","","61",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-14","2015","01","14","","5.8","","-5.5","","0.2","","17.8","","0.0","","0.0","","0.0","","0.0","","38","","26","","57",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-15","2015","01","15","","-3.4","","-8.8","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","30","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-16","2015","01","16","","3.9","","-9.6","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","30","","24","","74",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-17","2015","01","17","","4.8","","-4.9","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","28","","25","","69",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-18","2015","01","18","","0.8","","-11.9","","-5.6","","23.6","","0.0","","0.2","","0.0","","0.2","","28","","24","","37",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-19","2015","01","19","","4.0","","-3.3","","0.4","","17.6","","0.0","","0.0","T","0.0","","0.0","T","28","","25","","54",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-20","2015","01","20","","-0.1","","-8.8","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","28","","24","","37",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-21","2015","01","21","","5.4","","-9.2","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-22","2015","01","22","","7.2","","0.0","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","28","","25","","65",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-23","2015","01","23","","6.0","","-0.8","","2.6","","15.4","","0.0","","0.8","","0.0","","0.8","","28","","24","","57",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-24","2015","01","24","","5.7","","1.4","","3.6","","14.4","","0.0","","0.0","","0.0","","0.0","","28","","24","","61",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-25","2015","01","25","","7.0","","-1.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","26","","24","","63",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-26","2015","01","26","","4.2","","0.7","","2.5","","15.5","","0.0","","8.2","","0.0","","8.2","","23","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-27","2015","01","27","","1.0","","-6.6","","-2.8","","20.8","","0.0","","2.0","","0.8","","2.8","","19","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-28","2015","01","28","","-4.1","","-9.5","","-6.8","","24.8","","0.0","","0.0","","2.0","","2.0","","19","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-29","2015","01","29","","2.6","","-9.8","","-3.6","","21.6","","0.0","","0.0","","0.4","","0.4","","19","","24","","43",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-30","2015","01","30","","-1.9","","-15.7","","-8.8","","26.8","","0.0","","0.0","","6.8","","5.8","","19","","6","","33",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-01-31","2015","01","31","","-14.6","","-25.0","","-19.8","","37.8","","0.0","","0.0","","0.6","","0.6","","25","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-01","2015","02","01","","-13.7","","-25.6","","-19.7","","37.7","","0.0","","0.0","","0.4","","0.2","","25","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-02","2015","02","02","","-15.5","","-26.6","","-21.1","","39.1","","0.0","","","M","","M","","M","25","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-03","2015","02","03","","-19.4","","-30.5","","-25.0","","43.0","","0.0","","0.0","","0.0","","0.0","","29","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-04","2015","02","04","","-5.8","","-28.7","","-17.3","","35.3","","0.0","","0.0","","0.0","T","0.0","T","29","","6","","35",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-05","2015","02","05","","-8.7","","-18.2","","-13.5","","31.5","","0.0","","0.4","","8.0","","6.8","","29","","4","","48",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-06","2015","02","06","","-17.7","","-19.5","","-18.6","","36.6","","0.0","","0.0","","2.6","","1.4","","33","","6","","39",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-07","2015","02","07","","-15.7","","-19.5","","-17.6","","35.6","","0.0","","0.0","","4.0","","3.8","","34","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-08","2015","02","08","","-16.5","","-19.9","","-18.2","","36.2","","0.0","","0.2","","3.0","","1.8","","36","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-09","2015","02","09","","-15.3","","-17.3","","-16.3","","34.3","","0.0","","0.0","","2.0","","0.8","","39","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-10","2015","02","10","","-14.4","","-17.9","","-16.2","","34.2","","0.0","","0.2","","0.2","","0.4","","40","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-11","2015","02","11","","-11.0","","-17.9","","-14.5","","32.5","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-12","2015","02","12","","-0.5","","-11.8","","-6.2","","24.2","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-13","2015","02","13","","0.1","","-2.4","","-1.2","","19.2","","0.0","","2.6","","0.0","","2.6","","39","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-14","2015","02","14","","5.6","","-3.9","","0.9","","17.1","","0.0","","0.0","","0.0","","0.0","","34","","24","","48",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-15","2015","02","15","","3.8","","-7.4","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","32","","24","","46",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-16","2015","02","16","","-4.2","","-10.5","","-7.4","","25.4","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-17","2015","02","17","","-2.6","","-12.1","","-7.4","","25.4","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-18","2015","02","18","","5.6","","-9.7","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","32","","24","","54",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-19","2015","02","19","","5.8","","1.4","","3.6","","14.4","","0.0","","0.0","T","0.0","","0.0","T","30","","24","","56",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-20","2015","02","20","","2.1","","-5.6","","-1.8","","19.8","","0.0","","0.0","","3.8","","3.4","","30","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-21","2015","02","21","","-2.0","","-11.7","","-6.9","","24.9","","0.0","","2.0","","0.0","","2.0","","32","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-22","2015","02","22","","6.0","","-12.3","","-3.2","","21.2","","0.0","","0.0","","0.0","","0.0","","32","","24","","39",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-23","2015","02","23","","7.8","","2.0","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","27","","24","","56",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-24","2015","02","24","","6.4","","-8.9","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","25","","31","","63",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-25","2015","02","25","","-7.2","","-12.1","","-9.7","","27.7","","0.0","","0.0","","0.6","","0.6","","24","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-26","2015","02","26","","-6.1","","-13.0","","-9.6","","27.6","","0.0","","0.0","","1.4","","0.6","","24","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-27","2015","02","27","","-7.6","","-16.6","","-12.1","","30.1","","0.0","","0.0","","3.4","","2.0","","30","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-02-28","2015","02","28","","-2.2","","-19.9","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","29","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-01","2015","03","01","","1.9","","-17.0","","-7.6","","25.6","","0.0","","0.0","","0.0","T","0.0","T","29","","32","","46",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-02","2015","03","02","","-1.5","","-17.0","","-9.3","","27.3","","0.0","","0.0","","0.0","","0.0","","28","","35","","56",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-03","2015","03","03","","-7.6","","-24.0","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-04","2015","03","04","","2.5","","-20.6","","-9.1","","27.1","","0.0","","0.0","","0.0","","0.0","","27","","25","","37",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-05","2015","03","05","","6.0","","-3.9","","1.1","","16.9","","0.0","","0.0","T","0.0","","0.0","T","27","","25","","37",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-06","2015","03","06","","5.7","","1.1","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","21","","26","","54",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-07","2015","03","07","","6.3","","-6.5","","-0.1","","18.1","","0.0","","0.0","","0.0","","0.0","","19","","25","","54",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-08","2015","03","08","","8.8","","1.0","","4.9","","13.1","","0.0","","0.0","","0.0","","0.0","","","","25","","70",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-09","2015","03","09","","7.6","","2.7","","5.2","","12.8","","0.0","","0.4","","0.0","","0.4","","","","24","","63",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-10","2015","03","10","","4.1","","-3.9","","0.1","","17.9","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-11","2015","03","11","","-0.2","","-5.2","","-2.7","","20.7","","0.0","","0.0","","0.0","T","0.0","T","6","","5","","33",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-12","2015","03","12","","10.8","","-5.1","","2.9","","15.1","","0.0","","0.4","","0.0","","0.4","","","","25","","50",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-13","2015","03","13","","15.2","","-0.5","","7.4","","10.6","","0.0","","0.0","","0.0","","0.0","","4","","23","","35",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-14","2015","03","14","","10.3","","-1.3","","4.5","","13.5","","0.0","","0.8","","0.0","T","0.8","","0","","25","","83",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-15","2015","03","15","","2.4","","-8.6","","-3.1","","21.1","","0.0","","0.0","","1.0","","1.0","","1","","27","","46",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-16","2015","03","16","","5.7","","-7.7","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-17","2015","03","17","","8.8","","-5.9","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","6","","32",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-18","2015","03","18","","10.9","","-2.1","","4.4","","13.6","","0.0","","0.0","","0.0","","0.0","","0","","26","","43",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-19","2015","03","19","","2.0","","-3.3","","-0.7","","18.7","","0.0","","0.0","","2.4","","2.0","","0","","4","","33",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-20","2015","03","20","","-0.9","","-5.2","","-3.1","","21.1","","0.0","","0.2","","2.9","","2.6","","3","","6","","41",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-21","2015","03","21","","-1.9","","-5.2","","-3.6","","21.6","","0.0","","1.0","","7.0","","7.0","","10","","8","","33",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-22","2015","03","22","","1.1","","-9.1","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","12","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-23","2015","03","23","","3.1","","-11.6","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","11","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-24","2015","03","24","","6.3","","-5.2","","0.6","","17.4","","0.0","","0.0","","0.0","","0.0","","9","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-25","2015","03","25","","6.9","","-4.5","","1.2","","16.8","","0.0","","0.2","","0.0","","0.2","","7","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-26","2015","03","26","","12.9","","1.1","","7.0","","11.0","","0.0","","3.6","","0.0","","3.6","","2","","25","","48",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-27","2015","03","27","","13.1","","2.1","","7.6","","10.4","","0.0","","6.8","","0.0","","6.8","","0","","","","<31",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-28","2015","03","28","","11.3","","1.7","","6.5","","11.5","","0.0","","4.6","","0.0","","4.6","","","","25","","57",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-29","2015","03","29","","12.7","","-1.0","","5.9","","12.1","","0.0","","0.0","","0.0","","0.0","","","","25","","59",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-30","2015","03","30","","9.8","","-0.2","","4.8","","13.2","","0.0","","0.4","","0.0","","0.4","","","","24","","44",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-03-31","2015","03","31","","5.0","","1.5","","3.3","","14.7","","0.0","","16.4","","0.0","T","16.4","","","","27","","54",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-04-01","2015","04","01","","3.7","","-0.3","","1.7","","16.3","","0.0","","0.0","","7.0","","4.2","","5","","28","","56",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-04-02","2015","04","02","","8.3","","-1.6","","3.4","","14.6","","0.0","","0.0","","0.0","","0.0","","","","28","","41",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-04-03","2015","04","03","","6.6","","-2.4","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","","","3","","33",""
"-118.88","55.18","GRANDE PRAIRIE A","3072921","2015-04-04","2015","04","04","","5.5","","-1.9","","1.8","","16.2","","0.0","","0.0","","0.0","T","0.0","T","","","4","","43",""
