"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-01","2012","01","01","","5.6","","-2.0","","1.8","","16.2","","0.0","","","M","","M","","M","","","26","","61",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-02","2012","01","02","","-1.9","","-11.4","","-6.7","","24.7","","0.0","","","M","","M","","M","","","30","","52",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-03","2012","01","03","","-11.2","","-18.3","","-14.8","","32.8","","0.0","","","M","","M","","M","","","33","","37",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-04","2012","01","04","","-2.1","","-14.1","","-8.1","","26.1","","0.0","","","M","","M","","M","","","23","","37",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-05","2012","01","05","","0.4","","-3.7","","-1.7","","19.7","","0.0","","","M","","M","","M","","","30","","41",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-06","2012","01","06","","5.8","","-3.9","","1.0","","17.0","","0.0","","","M","","M","","M","","","26","","35",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-07","2012","01","07","","5.4","","-1.4","","2.0","","16.0","","0.0","","","M","","M","","M","","","30","","43",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-08","2012","01","08","","-0.6","","-5.7","","-3.2","","21.2","","0.0","","","M","","M","","M","","","31","","33",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-09","2012","01","09","","3.7","","-4.4","","-0.4","","18.4","","0.0","","","M","","M","","M","","","26","","44",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-10","2012","01","10","","2.6","","-3.9","","-0.7","","18.7","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-11","2012","01","11","","6.3","","-3.9","","1.2","","16.8","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-12","2012","01","12","","3.2","","0.6","","1.9","","16.1","","0.0","","","M","","M","","M","","","20","","33",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-13","2012","01","13","","1.9","","-9.0","","-3.6","","21.6","","0.0","","","M","","M","","M","","","31","","41",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-14","2012","01","14","","-8.7","","-16.0","","-12.4","","30.4","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-15","2012","01","15","","-6.2","","-17.1","","-11.7","","29.7","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-16","2012","01","16","","3.3","","-9.6","","-3.2","","21.2","","0.0","","","M","","M","","M","","","21","","39",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-17","2012","01","17","","8.4","","-4.8","","1.8","","16.2","","0.0","","","M","","M","","M","","","28","","69",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-18","2012","01","18","","-4.8","","-9.6","","-7.2","","25.2","","0.0","","","M","","M","","M","","","31","","50",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-19","2012","01","19","","-3.2","","-11.5","","-7.4","","25.4","","0.0","","","M","","M","","M","","","28","","48",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-20","2012","01","20","","-8.3","","-12.4","","-10.4","","28.4","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-21","2012","01","21","","-4.0","","-14.9","","-9.5","","27.5","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-22","2012","01","22","","-0.1","","-15.1","","-7.6","","25.6","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-23","2012","01","23","","7.1","","-0.1","","3.5","","14.5","","0.0","","","M","","M","","M","","","23","","61",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-24","2012","01","24","","0.2","","-3.2","","-1.5","","19.5","","0.0","","","M","","M","","M","","","27","","50",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-25","2012","01","25","","-2.6","","-3.5","","-3.1","","21.1","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-26","2012","01","26","","0.5","","-3.2","","-1.4","","19.4","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-27","2012","01","27","","1.5","","-3.2","","-0.9","","18.9","","0.0","","","M","","M","","M","","","30","","44",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-28","2012","01","28","","-0.1","","-4.4","","-2.3","","20.3","","0.0","","","M","","M","","M","","","28","","63",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-29","2012","01","29","","-1.2","","-7.4","","-4.3","","22.3","","0.0","","","M","","M","","M","","","24","","33",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-30","2012","01","30","","-3.2","","-6.3","","-4.8","","22.8","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-01-31","2012","01","31","","8.3","","-7.8","","0.3","","17.7","","0.0","","","M","","M","","M","","","23","","39",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-01","2012","02","01","","7.7","","0.0","","3.9","","14.1","","0.0","","","M","","M","","M","","","30","","43",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-02","2012","02","02","","0.0","","-2.0","","-1.0","","19.0","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-03","2012","02","03","","1.4","","-1.7","","-0.2","","18.2","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-04","2012","02","04","","2.5","","-6.6","","-2.1","","20.1","","0.0","","","M","","M","","M","","","29","","89",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-05","2012","02","05","","3.7","","-2.6","","0.6","","17.4","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-06","2012","02","06","","6.9","","-2.7","","2.1","","15.9","","0.0","","","M","","M","","M","","","27","","43",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-07","2012","02","07","","0.8","","-8.4","","-3.8","","21.8","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-08","2012","02","08","","0.0","","-9.3","","-4.7","","22.7","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-09","2012","02","09","","3.5","","-6.1","","-1.3","","19.3","","0.0","","","M","","M","","M","","","25","","35",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-10","2012","02","10","","-1.7","","-7.1","","-4.4","","22.4","","0.0","","","M","","M","","M","","","25","","35",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-11","2012","02","11","","-7.1","","-13.8","","-10.5","","28.5","","0.0","","","M","","M","","M","","","1","","39",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-12","2012","02","12","","-4.3","","-8.6","","-6.5","","24.5","","0.0","","","M","","M","","M","","","32","","52",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-13","2012","02","13","","0.0","","-6.3","","-3.2","","21.2","","0.0","","","M","","M","","M","","","27","","37",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-14","2012","02","14","","0.0","","-3.5","","-1.8","","19.8","","0.0","","","M","","M","","M","","","","","<31",""
"-80.22","43.55","GUELPH TURFGRASS","6143089","2012-02-15","2012","02","15","","1.8","","-5.7","","-2.0","","20.0","","0.0","","","M","","M","","M","","","","","<31",""
