"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-01","2010","01","01","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-02","2010","01","02","","-15.8","","-20.4","","-18.1","","36.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-03","2010","01","03","","-14.0","","-18.8","","-16.4","","34.4","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-04","2010","01","04","","-14.0","","-16.4","","-15.2","","33.2","","0.0","","","M","","M","0.5","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-05","2010","01","05","","-15.4","","-26.7","","-21.1","","39.1","","0.0","","","M","","M","","M","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-06","2010","01","06","","-22.0","","-33.1","","-27.6","","45.6","","0.0","","","M","","M","3.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-07","2010","01","07","","-15.9","","-30.4","","-23.2","","41.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-08","2010","01","08","","-6.2","","-24.0","","-15.1","","33.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-09","2010","01","09","","4.3","","-9.4","","-2.6","","20.6","","0.0","","","M","","M","1.2","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-10","2010","01","10","","2.3","","-5.5","","-1.6","","19.6","","0.0","","","M","","M","0.5","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-11","2010","01","11","","5.9","","-4.0","","1.0","","17.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-12","2010","01","12","","5.5","","-0.9","","2.3","","15.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-13","2010","01","13","","7.3","","-5.0","","1.2","","16.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-14","2010","01","14","","3.7","","-6.1","","-1.2","","19.2","","0.0","","","M","","M","0.9","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-15","2010","01","15","","5.1","","-0.4","","2.4","","15.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-16","2010","01","16","","2.0","","-7.8","","-2.9","","20.9","","0.0","","","M","","M","","M","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-17","2010","01","17","","-0.7","","-9.1","","-4.9","","22.9","","0.0","","","M","","M","0.5","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-18","2010","01","18","","4.8","","-8.8","","-2.0","","20.0","","0.0","","","M","","M","1.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-19","2010","01","19","","0.4","","-10.7","","-5.2","","23.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-20","2010","01","20","","-1.0","","-10.9","","-6.0","","24.0","","0.0","","","M","","M","2.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-21","2010","01","21","","-5.2","","-10.5","","-7.9","","25.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-22","2010","01","22","","-4.9","","-7.1","","-6.0","","24.0","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-23","2010","01","23","","-5.5","","-7.3","","-6.4","","24.4","","0.0","","","M","","M","0.8","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-24","2010","01","24","","-7.2","","-13.2","","-10.2","","28.2","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-25","2010","01","25","","-11.6","","-19.9","","-15.8","","33.8","","0.0","","","M","","M","1.6","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-26","2010","01","26","","-15.7","","-23.4","","-19.6","","37.6","","0.0","","","M","","M","","M","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-27","2010","01","27","","-6.3","","-24.5","","-15.4","","33.4","","0.0","","","M","","M","2.1","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-28","2010","01","28","","-10.5","","-24.7","","-17.6","","35.6","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-29","2010","01","29","","-2.6","E","-20.1","E","-11.4","E","29.4","E","0.0","E","","M","","M","1.6","E","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-30","2010","01","30","","-9.0","E","-12.4","E","-10.7","E","28.7","E","0.0","E","","M","","M","","M","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-01-31","2010","01","31","","-11.2","","-13.4","","-12.3","","30.3","","0.0","","","M","","M","0.9","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-01","2010","02","01","","-6.2","","-13.4","","-9.8","","27.8","","0.0","","","M","","M","1.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-02","2010","02","02","","-6.4","","-15.5","","-11.0","","29.0","","0.0","","","M","","M","1.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-03","2010","02","03","","-7.3","","-9.1","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-04","2010","02","04","","-9.1","","-14.1","","-11.6","","29.6","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-05","2010","02","05","","-10.5","","-19.2","","-14.9","","32.9","","0.0","","","M","","M","1.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-06","2010","02","06","","-6.6","","-17.5","","-12.1","","30.1","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-07","2010","02","07","","-6.7","","-12.2","","-9.5","","27.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-08","2010","02","08","","-10.4","","-18.4","","-14.4","","32.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-09","2010","02","09","","-7.8","","-21.4","","-14.6","","32.6","","0.0","","","M","","M","1.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-10","2010","02","10","","-1.4","","-14.7","","-8.1","","26.1","","0.0","","","M","","M","2.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-11","2010","02","11","","-4.9","","-19.7","","-12.3","","30.3","","0.0","","","M","","M","1.2","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-12","2010","02","12","","-10.2","","-21.4","","-15.8","","33.8","","0.0","","","M","","M","1.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-13","2010","02","13","","-10.9","","-17.3","","-14.1","","32.1","","0.0","","","M","","M","0.5","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-14","2010","02","14","","-8.2","","-19.4","","-13.8","","31.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-15","2010","02","15","","2.1","","-9.7","","-3.8","","21.8","","0.0","","","M","","M","0.6","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-16","2010","02","16","","-1.9","","-15.0","","-8.5","","26.5","","0.0","","","M","","M","","M","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-17","2010","02","17","","-0.5","","-7.6","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-18","2010","02","18","","-0.8","","-8.8","","-4.8","","22.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-19","2010","02","19","","-4.9","","-11.3","","-8.1","","26.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-20","2010","02","20","","-8.5","","-10.7","","-9.6","","27.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-21","2010","02","21","","-4.8","","-14.9","","-9.9","","27.9","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-22","2010","02","22","","-7.4","","-14.1","","-10.8","","28.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-23","2010","02","23","","-6.2","","-16.1","","-11.2","","29.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-24","2010","02","24","","-3.1","","-14.6","","-8.9","","26.9","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-25","2010","02","25","","3.1","","-16.1","","-6.5","","24.5","","0.0","","","M","","M","1.2","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-26","2010","02","26","","0.9","","-11.2","","-5.2","","23.2","","0.0","","","M","","M","","M","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-27","2010","02","27","","-1.4","","-10.1","","-5.8","","23.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-02-28","2010","02","28","","2.3","","-11.1","","-4.4","","22.4","","0.0","","","M","","M","2.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-01","2010","03","01","","4.5","","-10.4","","-3.0","","21.0","","0.0","","","M","","M","0.9","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-02","2010","03","02","","-0.5","","-11.2","","-5.9","","23.9","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-03","2010","03","03","","2.9","","-9.4","","-3.3","","21.3","","0.0","","","M","","M","0.8","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-04","2010","03","04","","7.0","","-2.3","","2.4","","15.6","","0.0","","","M","","M","0.6","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-05","2010","03","05","","7.7","","-6.6","","0.6","","17.4","","0.0","","","M","","M","1.6","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-06","2010","03","06","","7.3","","-3.8","","1.8","","16.2","","0.0","","","M","","M","0.5","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-07","2010","03","07","","7.9","","-3.9","","2.0","","16.0","","0.0","","","M","","M","0.5","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-08","2010","03","08","","2.9","","-3.0","","-0.1","","18.1","","0.0","","","M","","M","1.5","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-09","2010","03","09","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-10","2010","03","10","","2.2","","-9.4","","-3.6","","21.6","","0.0","","","M","","M","3.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-11","2010","03","11","","5.5","","-13.4","","-4.0","","22.0","","0.0","","","M","","M","1.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-12","2010","03","12","","11.5","","-4.8","","3.4","","14.6","","0.0","","","M","","M","0.6","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-13","2010","03","13","","2.8","","-3.8","","-0.5","","18.5","","0.0","","","M","","M","0.4","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-14","2010","03","14","","6.9","","-5.8","","0.6","","17.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-112.16","52.12","HALKIRK AGCM","3012999","2010-03-15","2010","03","15","","9.8","","-2.0","","3.9","","14.1","","0.0","","","M","","M","0.0","","","","","M","","M"
