"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-01","2010","01","01","","-18.9","","-33.6","","-26.3","","44.3","","0.0","","","M","","M","0.0","","","","15","","41",""
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-02","2010","01","02","","-15.0","E","-23.1","E","-19.1","E","37.1","E","0.0","E","","M","","M","0.0","","","","","M","","M"
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-03","2010","01","03","","-13.4","","-20.4","","-16.9","","34.9","","0.0","","","M","","M","0.0","","","","17","","33",""
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-04","2010","01","04","","-13.6","","-19.6","","-16.6","","34.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-05","2010","01","05","","-18.6","","-30.4","","-24.5","","42.5","","0.0","","","M","","M","","M","","","","","<31",""
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-06","2010","01","06","","-22.9","","-35.6","","-29.3","","47.3","","0.0","","","M","","M","","M","","","","","<31",""
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-07","2010","01","07","","-17.4","","-28.2","","-22.8","","40.8","","0.0","","","M","","M","0.0","","","","16","","43",""
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-08","2010","01","08","","-7.8","","-21.9","","-14.9","","32.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-09","2010","01","09","","0.6","","-9.5","","-4.5","","22.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-10","2010","01","10","","-0.2","","-6.7","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","15","","32",""
"-112.25","53.19","HOLDEN AGDM","3013340","2010-01-11","2010","01","11","","4.3","","-4.5","","-0.1","","18.1","","0.0","","","M","","M","0.0","","","","15","","43",""
