"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-01","2013","01","01","†","","","","","","","","","","","0.0","","0.0","","0.0","","23","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-02","2013","01","02","†","","","","","","","","","","","0.0","","0.0","","0.0","","23","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-03","2013","01","03","†","","","","","","","","","","","0.0","","0.0","","0.0","","23","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-04","2013","01","04","†","","","","","","","","","","","0.0","","0.0","","0.0","","22","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-05","2013","01","05","†","","","","","","","","","","","0.0","","0.0","","0.0","","23","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-06","2013","01","06","†","","","","","","","","","","","0.0","","1.2","","1.2","","23","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-07","2013","01","07","†","","","","","","","","","","","0.0","","0.0","T","0.0","T","23","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-08","2013","01","08","†","","","","","","","","","","","0.0","","0.6","","0.6","","0","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-09","2013","01","09","†","","","","","","","","","","","0.0","","2.6","","2.6","","0","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-10","2013","01","10","†","","","","","","","","","","","0.0","","0.0","","0.0","","24","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-11","2013","01","11","†","","","","","","","","","","","0.0","","0.0","","0.0","","24","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-12","2013","01","12","†","","","","","","","","","","","0.0","","0.0","","0.0","","24","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-13","2013","01","13","†","","","","","","","","","","","0.0","","0.2","","0.2","","24","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-14","2013","01","14","†","","","","","","","","","","","0.4","","6.4","","6.8","","24","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-15","2013","01","15","†","","","","","","","","","","","0.0","","0.4","","0.4","","24","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-16","2013","01","16","†","","","","","","","","","","","0.0","","2.8","","2.8","","19","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-17","2013","01","17","†","","","","","","","","","","","0.0","","0.0","","0.0","","17","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-18","2013","01","18","†","","","","","","","","","","","0.0","","0.0","","0.0","","16","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-19","2013","01","19","†","","","","","","","","","","","0.0","","1.2","","1.2","","0","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-20","2013","01","20","†","","","","","","","","","","","0.0","","0.8","","0.8","","0","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-21","2013","01","21","†","","","","","","","","","","","0.0","","6.2","","6.2","","0","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-22","2013","01","22","†","","","","","","","","","","","0.0","","0.0","","0.0","","0","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-23","2013","01","23","†","","","","","","","","","","","0.0","","5.4","","5.4","","0","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-24","2013","01","24","†","","","","","","","","","","","0.0","","0.0","","0.0","","24","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-25","2013","01","25","†","","","","","","","","","","","0.0","","0.0","","0.0","","24","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-26","2013","01","26","†","","","","","","","","","","","0.0","","0.0","","0.0","","24","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-27","2013","01","27","†","","","","","","","","","","","0.0","","0.0","","0.0","","24","","","","",""
"-112.27","53.08","HOLDEN SOUTH","3013C44","2013-01-28","2013","01","28","†","","","","","","","","","","","0.0","","1.2","","1.2","","24","","","","",""
