"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.49","49.37","HOPE AIRPORT","1113543","2013-01-01","2013","01","01","","0.7","","-3.0","","-1.2","","19.2","","0.0","","","M","","M","0.0","","5","","11","","43",""
"-121.49","49.37","HOPE AIRPORT","1113543","2013-01-02","2013","01","02","","0.3","","-3.6","","-1.7","","19.7","","0.0","","","M","","M","0.0","","5","","10","","48",""
"-121.49","49.37","HOPE AIRPORT","1113543","2013-01-03","2013","01","03","","0.4","","-3.4","","-1.5","","19.5","","0.0","","","M","2.0","","0.0","","5","","11","","48",""
"-121.49","49.37","HOPE AIRPORT","1113543","2013-01-04","2013","01","04","","1.5","","-2.5","","-0.5","","18.5","","0.0","","0.0","","4.0","","7.3","","7","","10","","32",""
"-121.49","49.37","HOPE AIRPORT","1113543","2013-01-05","2013","01","05","","1.8","","0.1","","1.0","","17.0","","0.0","","","M","","M","3.4","","10","","10","","33",""
"-121.49","49.37","HOPE AIRPORT","1113543","2013-01-06","2013","01","06","","4.3","","0.8","","2.6","","15.4","","0.0","","","M","","M","8.8","","8","","","","<31",""
"-121.49","49.37","HOPE AIRPORT","1113543","2013-01-07","2013","01","07","","9.3","","0.6","","5.0","","13.0","","0.0","","","M","","M","18.8","","5","","26","","74",""
"-121.49","49.37","HOPE AIRPORT","1113543","2013-01-08","2013","01","08","","6.7","","0.1","","3.4","","14.6","","0.0","","0.0","","3.0","","33.0","","","","26","","44",""
"-121.49","49.37","HOPE AIRPORT","1113543","2013-01-09","2013","01","09","","6.0","","0.3","","3.2","","14.8","","0.0","","","M","","M","44.7","","1","","","","<31",""
"-121.49","49.37","HOPE AIRPORT","1113543","2013-01-10","2013","01","10","","4.7","","-2.3","","1.2","","16.8","","0.0","","","M","","M","1.2","","","","","","<31",""
