"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-121.50","49.37","HOPE A","1113542","2018-01-01","2018","01","01","","-3.2","","-7.5","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","12","","50",""
"-121.50","49.37","HOPE A","1113542","2018-01-02","2018","01","02","","-1.7","","-5.2","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","12","","57",""
"-121.50","49.37","HOPE A","1113542","2018-01-03","2018","01","03","","1.0","","-3.4","","-1.2","","19.2","","0.0","","","M","","M","0.0","","","","13","","54",""
"-121.50","49.37","HOPE A","1113542","2018-01-04","2018","01","04","","0.5","","-2.4","","-1.0","","19.0","","0.0","","","M","","M","0.0","","","","13","","54",""
"-121.50","49.37","HOPE A","1113542","2018-01-05","2018","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-121.50","49.37","HOPE A","1113542","2018-01-06","2018","01","06","","6.2","","0.7","","3.5","","14.5","","0.0","","","M","","M","5.5","","","","28","","35",""
"-121.50","49.37","HOPE A","1113542","2018-01-07","2018","01","07","","3.0","","0.9","","2.0","","16.0","","0.0","","","M","","M","3.2","","","","","","<31",""
"-121.50","49.37","HOPE A","1113542","2018-01-08","2018","01","08","","4.2","","0.8","","2.5","","15.5","","0.0","","","M","","M","1.9","","","","","","<31",""
"-121.50","49.37","HOPE A","1113542","2018-01-09","2018","01","09","","6.0","","1.1","","3.6","","14.4","","0.0","","","M","","M","16.8","","","","27","","35",""
"-121.50","49.37","HOPE A","1113542","2018-01-10","2018","01","10","","5.7","","0.7","","3.2","","14.8","","0.0","","","M","","M","12.9","","","","27","","43",""
"-121.50","49.37","HOPE A","1113542","2018-01-11","2018","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-121.50","49.37","HOPE A","1113542","2018-01-12","2018","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-121.50","49.37","HOPE A","1113542","2018-01-13","2018","01","13","","1.5","","-2.1","","-0.3","","18.3","","0.0","","","M","","M","","M","","","9","","33",""
"-121.50","49.37","HOPE A","1113542","2018-01-14","2018","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-121.50","49.37","HOPE A","1113542","2018-01-15","2018","01","15","","7.3","","3.3","","5.3","","12.7","","0.0","","","M","","M","0.0","","","","12","","48",""
"-121.50","49.37","HOPE A","1113542","2018-01-16","2018","01","16","","5.5","","2.0","","3.8","","14.2","","0.0","","","M","","M","2.5","","","","12","","39",""
"-121.50","49.37","HOPE A","1113542","2018-01-17","2018","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-121.50","49.37","HOPE A","1113542","2018-01-18","2018","01","18","","8.0","","1.7","","4.9","","13.1","","0.0","","","M","","M","21.3","","","","28","","50",""
"-121.50","49.37","HOPE A","1113542","2018-01-19","2018","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-121.50","49.37","HOPE A","1113542","2018-01-20","2018","01","20","","5.5","","1.0","","3.3","","14.7","","0.0","","","M","","M","4.5","","","","","","<31",""
"-121.50","49.37","HOPE A","1113542","2018-01-21","2018","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-121.50","49.37","HOPE A","1113542","2018-01-22","2018","01","22","","6.4","","2.1","","4.3","","13.7","","0.0","","","M","","M","13.4","","","","27","","35",""
"-121.50","49.37","HOPE A","1113542","2018-01-23","2018","01","23","","2.8","","0.6","","1.7","","16.3","","0.0","","","M","","M","5.0","","","","12","","32",""
