"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-01","2011","01","01","","-2.3","","-15.3","","-8.8","","26.8","","0.0","","","M","","M","0.6","","","","30","","57",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-02","2011","01","02","","-2.8","E","-10.1","E","-6.5","E","24.5","E","0.0","E","","M","","M","1.1","E","","","","M","","M"
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-03","2011","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-04","2011","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-05","2011","01","05","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-06","2011","01","06","","3.0","","-7.1","","-2.1","","20.1","","0.0","","","M","","M","0.0","","","","35","","52",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-07","2011","01","07","","-3.6","","-7.7","","-5.7","","23.7","","0.0","","","M","","M","0.0","","","","13","","54",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-08","2011","01","08","","","M","-6.6","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-09","2011","01","09","","-14.1","","-18.0","","-16.1","","34.1","","0.0","","","M","","M","0.0","","","","34","","63",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-10","2011","01","10","","-17.8","","-24.6","","-21.2","","39.2","","0.0","","","M","","M","0.4","","","","34","","52",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-11","2011","01","11","","-21.6","E","-25.8","E","-23.7","E","41.7","E","0.0","E","","M","","M","0.4","E","","","","M","","M"
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-12","2011","01","12","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-13","2011","01","13","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-14","2011","01","14","","-22.6","","-24.9","","-23.8","","41.8","","0.0","","","M","","M","1.6","","","","32","","43",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-15","2011","01","15","","-21.4","","-25.8","","-23.6","","41.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-16","2011","01","16","","-19.8","","-23.8","","-21.8","","39.8","","0.0","","","M","","M","2.3","","","","35","","39",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-17","2011","01","17","","-18.9","","-23.2","","-21.1","","39.1","","0.0","","","M","","M","0.0","","","","14","","32",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-18","2011","01","18","","-9.3","","-18.9","","-14.1","","32.1","","0.0","","","M","","M","0.0","","","","29","","39",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-19","2011","01","19","","-7.1","","-15.4","","-11.3","","29.3","","0.0","","","M","","M","0.0","","","","31","","41",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-20","2011","01","20","","0.3","","-17.8","","-8.8","","26.8","","0.0","","","M","","M","0.0","","","","29","","63",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-21","2011","01","21","","0.1","","-5.7","","-2.8","","20.8","","0.0","","","M","","M","1.3","","","","29","","39",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-22","2011","01","22","","0.1","","-5.4","","-2.7","","20.7","","0.0","","","M","","M","0.0","","","","33","","41",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-23","2011","01","23","","1.7","","-5.6","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","31","","56",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-24","2011","01","24","","3.5","","-8.4","","-2.5","","20.5","","0.0","","","M","","M","1.0","","","","29","","43",""
"-112.50","51.18","HUSSAR AGDM","3023402","2011-01-25","2011","01","25","","2.1","E","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
