"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-01","2013","01","01","","-0.9","","-12.0","","-6.5","","24.5","","0.0","","","M","","M","","M","","","","","<31",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-02","2013","01","02","","-1.6","","-13.8","","-7.7","","25.7","","0.0","","","M","","M","0.0","","","","24","","43",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-03","2013","01","03","","3.0","","-9.9","","-3.5","","21.5","","0.0","","","M","","M","","M","","","25","","52",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-04","2013","01","04","","2.3","","-10.0","","-3.9","","21.9","","0.0","","","M","","M","","M","","","24","","74",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-05","2013","01","05","","3.4","","-11.3","","-4.0","","22.0","","0.0","","","M","","M","0.0","","","","25","","61",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-06","2013","01","06","","3.3","","-3.5","","-0.1","","18.1","","0.0","","","M","","M","0.0","","","","24","","76",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-07","2013","01","07","","3.8","","-10.5","","-3.4","","21.4","","0.0","","","M","","M","0.0","","","","25","","69",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-08","2013","01","08","","2.6","","-4.4","","-0.9","","18.9","","0.0","","","M","","M","","M","","","25","","46",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-09","2013","01","09","","8.2","","-6.3","","1.0","","17.0","","0.0","","","M","","M","","M","","","24","","82",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-10","2013","01","10","","-3.7","","-12.4","","-8.1","","26.1","","0.0","","","M","","M","3.2","","","","35","","48",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-11","2013","01","11","","-12.2","","-23.1","","-17.7","","35.7","","0.0","","","M","","M","","M","","","35","","33",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-12","2013","01","12","","-9.0","","-22.9","","-16.0","","34.0","","0.0","","","M","","M","","M","","","","","<31",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-13","2013","01","13","","-7.0","","-13.0","","-10.0","","28.0","","0.0","","","M","","M","","M","","","","","<31",""
"-112.73","49.90","IRON SPRINGS AGDM","3033498","2013-01-14","2013","01","14","","-1.1","","-14.1","","-7.6","","25.6","","0.0","","","M","","M","","M","","","24","","52",""
