"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-82.47","49.41","KAPUSKASING A","6073975","2012-01-01","2012","01","01","","-1.6","","-10.1","","-5.9","","23.9","","0.0","","0.0","","12.8","","12.8","","42","","30","E","50","E"
"-82.47","49.41","KAPUSKASING A","6073975","2012-01-02","2012","01","02","","-10.0","","-24.0","","-17.0","","35.0","","0.0","","0.0","","2.4","","2.4","","54","","31","E","61","E"
"-82.47","49.41","KAPUSKASING A","6073975","2012-01-03","2012","01","03","","-12.4","","-26.3","","-19.4","","37.4","","0.0","","0.0","","1.0","","1.0","","55","","","","<31",""
"-82.47","49.41","KAPUSKASING A","6073975","2012-01-04","2012","01","04","","-6.4","","-14.0","","-10.2","","28.2","","0.0","","0.0","T","1.4","","1.4","","53","","29","E","35","E"
"-82.47","49.41","KAPUSKASING A","6073975","2012-01-05","2012","01","05","","-12.8","","-22.6","","-17.7","","35.7","","0.0","","0.0","","1.0","","1.0","","53","","","","<31",""
"-82.47","49.41","KAPUSKASING A","6073975","2012-01-06","2012","01","06","","-9.1","","-12.8","","-11.0","","29.0","","0.0","","0.6","","2.6","","3.2","","53","","","","<31",""
"-82.47","49.41","KAPUSKASING A","6073975","2012-01-07","2012","01","07","","-11.7","","-19.0","","-15.4","","33.4","","0.0","","0.0","T","2.8","","2.8","","57","","","","<31",""
"-82.47","49.41","KAPUSKASING A","6073975","2012-01-08","2012","01","08","","-9.7","","-18.9","","-14.3","","32.3","","0.0","","0.0","","0.0","T","0.0","T","57","","","","<31",""
"-82.47","49.41","KAPUSKASING A","6073975","2012-01-09","2012","01","09","","0.6","","-13.2","","-6.3","","24.3","","0.0","","0.0","T","3.0","","3.0","","57","","31","E","37","E"
"-82.47","49.41","KAPUSKASING A","6073975","2012-01-10","2012","01","10","","-10.9","","-16.4","","-13.7","","31.7","","0.0","","0.0","","1.4","","1.4","","59","","","","<31",""
