"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-94.37","49.79","KENORA A","6034075","2008-01-01","2008","01","01","","-16.8","","-21.6","","-19.2","","37.2","","0.0","","0.0","","0.2","","0.2","","36","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-02","2008","01","02","","-12.3","","-24.6","","-18.5","","36.5","","0.0","","0.0","","0.0","","0.0","","36","","14","E","37","E"
"-94.37","49.79","KENORA A","6034075","2008-01-03","2008","01","03","","-4.8","","-12.3","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","36","","18","E","48","E"
"-94.37","49.79","KENORA A","6034075","2008-01-04","2008","01","04","","-4.3","","-12.5","","-8.4","","26.4","","0.0","","0.0","","0.0","","0.0","","36","","16","E","35","E"
"-94.37","49.79","KENORA A","6034075","2008-01-05","2008","01","05","","0.5","","-9.1","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","36","","18","","32",""
"-94.37","49.79","KENORA A","6034075","2008-01-06","2008","01","06","","2.1","","-3.6","","-0.8","","18.8","","0.0","","0.0","T","0.0","","0.0","T","34","","21","","32",""
"-94.37","49.79","KENORA A","6034075","2008-01-07","2008","01","07","","1.3","","-5.7","","-2.2","","20.2","","0.0","","0.0","T","1.0","","0.4","","31","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-08","2008","01","08","","-0.7","","-12.3","","-6.5","","24.5","","0.0","","0.0","","0.8","","0.8","","32","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-09","2008","01","09","","-8.7","","-13.2","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","T","32","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-10","2008","01","10","","-4.2","","-10.7","","-7.5","","25.5","","0.0","","0.0","","1.6","","1.0","","32","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-11","2008","01","11","","-6.9","","-9.5","","-8.2","","26.2","","0.0","","0.0","","0.6","","0.6","","33","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-12","2008","01","12","","-6.8","","-14.8","","-10.8","","28.8","","0.0","","0.0","","0.4","","0.4","","33","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-13","2008","01","13","","-10.9","","-21.2","","-16.1","","34.1","","0.0","","0.0","","1.4","","1.0","","33","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-14","2008","01","14","","-15.9","","-26.8","","-21.4","","39.4","","0.0","","0.0","","0.0","","0.0","","33","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-15","2008","01","15","","-7.5","","-20.4","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","33","","16","E","35","E"
"-94.37","49.79","KENORA A","6034075","2008-01-16","2008","01","16","","-7.5","","-25.2","","-16.4","","34.4","","0.0","","0.0","","1.2","","0.6","","33","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-17","2008","01","17","","-15.3","","-27.0","","-21.2","","39.2","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-18","2008","01","18","","-21.1","","-28.3","","-24.7","","42.7","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-19","2008","01","19","","-22.1","","-30.0","","-26.1","","44.1","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-20","2008","01","20","","-21.4","","-30.0","","-25.7","","43.7","","0.0","","0.0","","0.0","","0.0","","34","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-21","2008","01","21","","-19.9","","-28.9","","-24.4","","42.4","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-22","2008","01","22","","-18.3","","-28.1","","-23.2","","41.2","","0.0","","0.0","","0.2","","0.2","","34","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-23","2008","01","23","","-20.7","","-29.7","","-25.2","","43.2","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-24","2008","01","24","","-12.9","","-28.9","","-20.9","","38.9","","0.0","","0.0","","0.0","T","0.0","T","34","","20","E","33","E"
"-94.37","49.79","KENORA A","6034075","2008-01-25","2008","01","25","","-8.4","","-20.7","","-14.6","","32.6","","0.0","","0.0","","0.0","","0.0","","34","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-26","2008","01","26","","-9.5","","-16.6","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-27","2008","01","27","","-2.1","","-17.3","","-9.7","","27.7","","0.0","","0.0","","0.0","","0.0","","34","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-28","2008","01","28","","-1.6","","-6.3","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-94.37","49.79","KENORA A","6034075","2008-01-29","2008","01","29","","-3.9","","-29.6","","-16.8","","34.8","","0.0","","0.0","","2.6","","2.2","","33","","28","E","50","E"
"-94.37","49.79","KENORA A","6034075","2008-01-30","2008","01","30","","-24.1","","-31.4","","-27.8","","45.8","","0.0","","0.0","","0.0","T","0.0","T","33","","31","E","32","E"
"-94.37","49.79","KENORA A","6034075","2008-01-31","2008","01","31","","-15.4","","-31.9","","-23.7","","41.7","","0.0","","0.0","","0.0","T","0.0","T","33","","15","E","41","E"
"-94.37","49.79","KENORA A","6034075","2008-02-01","2008","02","01","","-4.6","","-15.5","","-10.1","","28.1","","0.0","","0.0","","0.2","","0.2","","33","","17","E","52","E"
