"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-94.38","49.79","KENORA RCS","6034073","2014-01-01","2014","01","01","","-26.7","","-36.8","","-31.8","","49.8","","0.0","","","M","","M","2.6","","40","","","","<31",""
"-94.38","49.79","KENORA RCS","6034073","2014-01-02","2014","01","02","","-23.4","","-35.6","","-29.5","","47.5","","0.0","","","M","","M","1.9","","40","","","","<31",""
"-94.38","49.79","KENORA RCS","6034073","2014-01-03","2014","01","03","","-14.8","","-23.4","","-19.1","","37.1","","0.0","","","M","","M","8.8","","41","","17","","46",""
"-94.38","49.79","KENORA RCS","6034073","2014-01-04","2014","01","04","","-14.9","","-30.4","","-22.7","","40.7","","0.0","","","M","","M","0.0","","49","","31","","41",""
"-94.38","49.79","KENORA RCS","6034073","2014-01-05","2014","01","05","","-30.2","","-34.1","","-32.2","","50.2","","0.0","","","M","","M","0.7","","47","","30","","35",""
"-94.38","49.79","KENORA RCS","6034073","2014-01-06","2014","01","06","","-28.7","","-33.5","","-31.1","","49.1","","0.0","","","M","","M","0.7","","45","","31","","32",""
"-94.38","49.79","KENORA RCS","6034073","2014-01-07","2014","01","07","","-23.5","","-31.5","","-27.5","","45.5","","0.0","","","M","","M","0.4","","44","","31","","32",""
"-94.38","49.79","KENORA RCS","6034073","2014-01-08","2014","01","08","","-23.0","","-30.5","","-26.8","","44.8","","0.0","","","M","","M","1.0","","44","","","","<31",""
"-94.38","49.79","KENORA RCS","6034073","2014-01-09","2014","01","09","","-6.7","","-24.8","","-15.8","","33.8","","0.0","","","M","","M","0.2","","44","","18","","44",""
"-94.38","49.79","KENORA RCS","6034073","2014-01-10","2014","01","10","","-4.6","","-9.4","","-7.0","","25.0","","0.0","","","M","","M","1.0","","45","","17","","33",""
