"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-65.02","46.78","KOUCHIBOUGUAC CS","8102328","2016-01-01","2016","01","01","","-2.0","","-6.2","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-65.02","46.78","KOUCHIBOUGUAC CS","8102328","2016-01-02","2016","01","02","","-0.5","","-9.6","","-5.1","","23.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-65.02","46.78","KOUCHIBOUGUAC CS","8102328","2016-01-03","2016","01","03","","0.4","","-4.4","E","-2.0","E","20.0","E","0.0","E","","M","","M","0.0","","","","","M","","M"
"-65.02","46.78","KOUCHIBOUGUAC CS","8102328","2016-01-04","2016","01","04","","-4.8","","-18.6","","-11.7","","29.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-65.02","46.78","KOUCHIBOUGUAC CS","8102328","2016-01-05","2016","01","05","","-9.1","","-20.1","","-14.6","","32.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-65.02","46.78","KOUCHIBOUGUAC CS","8102328","2016-01-06","2016","01","06","","-2.9","","-11.9","","-7.4","","25.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-65.02","46.78","KOUCHIBOUGUAC CS","8102328","2016-01-07","2016","01","07","","2.7","","-6.7","","-2.0","","20.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-65.02","46.78","KOUCHIBOUGUAC CS","8102328","2016-01-08","2016","01","08","","-2.3","","-9.7","","-6.0","","24.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-65.02","46.78","KOUCHIBOUGUAC CS","8102328","2016-01-09","2016","01","09","","-2.1","","-8.5","","-5.3","","23.3","","0.0","","","M","","M","0.0","","","","","M","","M"
"-65.02","46.78","KOUCHIBOUGUAC CS","8102328","2016-01-10","2016","01","10","","2.3","","-5.4","","-1.6","","19.6","","0.0","","","M","","M","5.8","","","","","M","","M"
