"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-01","2017","01","01","","-8.3","","-23.4","","-15.9","","33.9","","0.0","","","M","","M","0.3","","16","","31","","32",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-02","2017","01","02","","-17.5","","-30.2","","-23.9","","41.9","","0.0","","","M","","M","0.2","","16","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-03","2017","01","03","","-14.8","","-29.3","","-22.1","","40.1","","0.0","","","M","","M","0.0","","16","","33","","37",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-04","2017","01","04","","-12.0","","-17.0","","-14.5","","32.5","","0.0","","","M","","M","0.0","","16","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-05","2017","01","05","","-9.5","","-15.7","","-12.6","","30.6","","0.0","","","M","","M","0.0","","15","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-06","2017","01","06","","-15.0","","-22.0","","-18.5","","36.5","","0.0","","","M","","M","0.2","","16","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-07","2017","01","07","","-17.6","","-22.9","","-20.3","","38.3","","0.0","","","M","","M","0.2","","16","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-08","2017","01","08","","-19.1","","-29.4","","-24.3","","42.3","","0.0","","","M","","M","0.2","","18","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-09","2017","01","09","","-16.9","","-19.1","","-18.0","","36.0","","0.0","","","M","","M","0.9","","16","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-10","2017","01","10","","-18.6","","-28.3","","-23.5","","41.5","","0.0","","","M","","M","0.4","","18","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-11","2017","01","11","","-7.3","","-27.4","","-17.4","","35.4","","0.0","","","M","","M","0.6","","19","","1","","72",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-12","2017","01","12","","-21.6","","-35.3","","-28.5","","46.5","","0.0","","","M","","M","0.2","","13","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-13","2017","01","13","","-4.2","","-26.1","","-15.2","","33.2","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-14","2017","01","14","","4.4","","-7.2","","-1.4","","19.4","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-15","2017","01","15","","6.2","","-7.7","","-0.8","","18.8","","0.0","","","M","","M","0.0","","13","","27","","32",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-16","2017","01","16","","4.9","","-3.3","","0.8","","17.2","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-17","2017","01","17","","7.9","","-1.0","","3.5","","14.5","","0.0","","","M","","M","0.0","","13","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-18","2017","01","18","","6.4","","-5.1","","0.7","","17.3","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-19","2017","01","19","","0.6","","-7.1","","-3.3","","21.3","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-20","2017","01","20","","3.1","","-8.6","","-2.8","","20.8","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-21","2017","01","21","","-4.3","","-11.7","","-8.0","","26.0","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-22","2017","01","22","","-8.7","","-12.7","","-10.7","","28.7","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-23","2017","01","23","","-12.4","","-15.9","","-14.2","","32.2","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-24","2017","01","24","","-9.1","","-14.1","","-11.6","","29.6","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-25","2017","01","25","","-8.6","","-14.9","","-11.8","","29.8","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-26","2017","01","26","","2.8","","-17.8","","-7.5","","25.5","","0.0","","","M","","M","0.0","","12","","30","","33",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-27","2017","01","27","","4.6","","-2.1","","1.3","","16.7","","0.0","","","M","","M","0.0","","12","","29","","39",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-28","2017","01","28","","8.6","","-1.4","","3.6","","14.4","","0.0","","","M","","M","0.0","","12","","29","","32",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-29","2017","01","29","","7.3","","0.7","","4.0","","14.0","","0.0","","","M","","M","0.0","","12","","29","","37",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-30","2017","01","30","","3.3","","-7.1","","-1.9","","19.9","","0.0","","","M","","M","0.0","","11","","28","","48",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-01-31","2017","01","31","","-7.1","","-15.9","","-11.5","","29.5","","0.0","","","M","","M","0.0","","11","","33","","33",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-01","2017","02","01","","-8.9","","-17.4","","-13.2","","31.2","","0.0","","","M","","M","0.0","","11","","34","","32",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-02","2017","02","02","","-10.0","","-17.7","","-13.9","","31.9","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-03","2017","02","03","","-10.6","","-13.8","","-12.2","","30.2","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-04","2017","02","04","","-13.3","","-16.3","","-14.8","","32.8","","0.0","","","M","","M","0.0","","11","","30","","32",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-05","2017","02","05","","-16.2","","-28.8","","-22.5","","40.5","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-06","2017","02","06","","-21.1","","-33.1","","-27.1","","45.1","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-07","2017","02","07","","-17.1","","-23.8","","-20.5","","38.5","","0.0","","","M","","M","0.0","","11","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-08","2017","02","08","","-9.8","","-21.4","","-15.6","","33.6","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-09","2017","02","09","","-11.2","","-23.3","","-17.3","","35.3","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-10","2017","02","10","","-7.5","","-14.1","","-10.8","","28.8","","0.0","","","M","","M","0.0","","12","","","","<31",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-11","2017","02","11","","1.2","","-10.0","","-4.4","","22.4","","0.0","","","M","","M","0.6","","13","","30","","46",""
"-112.02","54.77","LAC LA BICHE CLIMATE","3063686","2017-02-12","2017","02","12","","6.8","","-3.3","","1.8","","16.2","","0.0","","","M","","M","0.0","","11","","26","","39",""
