"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.76","52.45","LACOMBE CDA 2","3023722","2011-01-01","2011","01","01","","-1.1","","-19.5","","-10.3","","28.3","","0.0","","","M","","M","0.0","","10","","31","","39",""
"-113.76","52.45","LACOMBE CDA 2","3023722","2011-01-02","2011","01","02","","-1.6","","-9.8","","-5.7","","23.7","","0.0","","","M","","M","0.0","","10","","32","","46",""
"-113.76","52.45","LACOMBE CDA 2","3023722","2011-01-03","2011","01","03","","-4.4","","-13.8","","-9.1","","27.1","","0.0","","","M","","M","0.0","","8","","","","<31",""
"-113.76","52.45","LACOMBE CDA 2","3023722","2011-01-04","2011","01","04","","-2.1","","-11.1","","-6.6","","24.6","","0.0","","0.0","","","M","1.7","","8","","","","<31",""
"-113.76","52.45","LACOMBE CDA 2","3023722","2011-01-05","2011","01","05","","0.6","","-9.0","","-4.2","","22.2","","0.0","","","M","","M","1.3","","12","","","","<31",""
"-113.76","52.45","LACOMBE CDA 2","3023722","2011-01-06","2011","01","06","","2.2","","-14.4","","-6.1","","24.1","","0.0","","","M","","M","0.0","","12","","31","","44",""
"-113.76","52.45","LACOMBE CDA 2","3023722","2011-01-07","2011","01","07","","-2.2","","-12.6","","-7.4","","25.4","","0.0","","","M","","M","0.6","","11","","","","<31",""
"-113.76","52.45","LACOMBE CDA 2","3023722","2011-01-08","2011","01","08","","-5.3","","-15.1","","-10.2","","28.2","","0.0","","0.0","","","M","7.8","","16","","34","","52",""
"-113.76","52.45","LACOMBE CDA 2","3023722","2011-01-09","2011","01","09","","-15.1","","-17.5","","-16.3","","34.3","","0.0","","","M","","M","1.9","","15","","33","","44",""
"-113.76","52.45","LACOMBE CDA 2","3023722","2011-01-10","2011","01","10","","-15.8","","-27.1","","-21.5","","39.5","","0.0","","","M","","M","0.8","","13","","","","<31",""
