"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-01","2017","01","01","","-9.2","","-21.6","","-15.4","","33.4","","0.0","","","M","","M","0.5","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-02","2017","01","02","","-14.2","","-25.7","","-20.0","","38.0","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-03","2017","01","03","","-15.5","","-23.9","","-19.7","","37.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-04","2017","01","04","","","M","-18.1","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-05","2017","01","05","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-06","2017","01","06","","-13.7","","-20.1","","-16.9","","34.9","","0.0","","","M","","M","0.4","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-07","2017","01","07","","-17.9","","-20.8","","-19.4","","37.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-08","2017","01","08","","-18.3","","-20.4","","-19.4","","37.4","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-09","2017","01","09","","-17.4","","-20.2","","-18.8","","36.8","","0.0","","","M","","M","3.4","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-10","2017","01","10","","-19.9","","-27.9","","-23.9","","41.9","","0.0","","","M","","M","1.1","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-11","2017","01","11","","","M","-27.1","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-12","2017","01","12","","-13.9","","-30.4","","-22.2","","40.2","","0.0","","","M","","M","0.5","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-13","2017","01","13","","-5.0","","-15.1","","-10.1","","28.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-14","2017","01","14","","3.4","","-8.4","","-2.5","","20.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-15","2017","01","15","","4.6","","-4.3","","0.2","","17.8","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-16","2017","01","16","","2.5","E","-4.3","E","-0.9","E","18.9","E","0.0","E","","M","","M","","M","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-17","2017","01","17","","7.7","","0.8","","4.3","","13.7","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.47","54.00","LEGAL AGCM","3013790","2017-01-18","2017","01","18","","","M","-0.8","E","","M","","M","","M","","M","","M","","M","","","","M","","M"
