"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-01","2008","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-02","2008","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-03","2008","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-04","2008","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-05","2008","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-06","2008","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-07","2008","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-08","2008","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-09","2008","01","09","","-6.1","","-20.2","","-13.2","","31.2","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-10","2008","01","10","","-5.4","","-22.3","","-13.9","","31.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-11","2008","01","11","","-0.2","","-15.9","","-8.1","","26.1","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-12","2008","01","12","","-1.2","","-17.8","","-9.5","","27.5","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-13","2008","01","13","","2.0","","-13.7","","-5.9","","23.9","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-14","2008","01","14","","7.7","","-0.9","","3.4","","14.6","","0.0","","","M","","M","0.0","","","","","M","","M"
"-113.66","51.62","LINDEN AGCM","3023850","2008-01-15","2008","01","15","","0.9","","-17.9","","-8.5","","26.5","","0.0","","","M","","M","","M","","","","M","","M"
