"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-01","2010","01","01","","","M","-20.3","E","","M","","M","","M","","M","","M","","M","24","","","M","","M"
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-02","2010","01","02","","-19.4","E","-23.0","E","-21.2","E","39.2","E","0.0","E","","M","","M","","M","25","","","M","","M"
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-03","2010","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-04","2010","01","04","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-05","2010","01","05","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-06","2010","01","06","","-11.5","","-15.9","","-13.7","","31.7","","0.0","","","M","","M","","M","26","","","","<31",""
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-07","2010","01","07","","","M","-14.2","E","","M","","M","","M","","M","","M","","M","27","","","M","","M"
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-08","2010","01","08","","-15.0","","-18.4","","-16.7","","34.7","","0.0","","","M","","M","","M","26","","","","<31",""
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-09","2010","01","09","","","M","-18.6","E","","M","","M","","M","","M","","M","","M","25","","","M","","M"
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-10","2010","01","10","","-8.0","","-11.8","","-9.9","","27.9","","0.0","","","M","","M","","M","26","","","","<31",""
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-11","2010","01","11","","","M","-15.8","E","","M","","M","","M","","M","","M","","M","26","","","M","","M"
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-12","2010","01","12","","-3.2","","-15.3","","-9.3","","27.3","","0.0","","","M","","M","","M","29","","","","<31",""
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-13","2010","01","13","","","M","-5.1","E","","M","","M","","M","","M","","M","","M","30","","","M","","M"
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-14","2010","01","14","","-1.6","","-7.9","","-4.8","","22.8","","0.0","","","M","","M","","M","32","","","","<31",""
"-88.31","49.69","LITTLE FLATLAND ISLAND (AUT)","6049470","2010-01-15","2010","01","15","","-1.4","","-9.5","","-5.5","","23.5","","0.0","","","M","","M","0.0","","29","","21","","41",""
