"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-01","2009","01","01","","-19.6","","-28.0","","-23.8","","41.8","","0.0","","0.0","","0.0","T","0.0","T","25","","","","<31",""
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-02","2009","01","02","","-22.0","","-33.6","","-27.8","","45.8","","0.0","","0.0","","3.2","","3.2","","25","","34","","43",""
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-03","2009","01","03","","-31.2","","-37.0","","-34.1","","52.1","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-04","2009","01","04","","-26.8","","-36.6","","-31.7","","49.7","","0.0","","0.0","","0.0","","0.0","","25","","","","<31",""
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-05","2009","01","05","","-19.4","","-27.3","","-23.4","","41.4","","0.0","","0.0","","0.0","T","0.0","T","28","","13","","37",""
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-06","2009","01","06","","-15.9","","-29.8","","-22.9","","40.9","","0.0","","0.0","","0.0","T","0.0","T","28","","31","","44",""
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-07","2009","01","07","","-18.9","","-30.1","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-08","2009","01","08","","-15.6","","-20.6","","-18.1","","36.1","","0.0","","0.0","","3.0","","3.0","","28","","31","","44",""
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-09","2009","01","09","","-11.7","","-28.4","","-20.1","","38.1","","0.0","","0.0","","0.0","","0.0","","30","","31","","41",""
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-10","2009","01","10","","-0.7","","-12.3","","-6.5","","24.5","","0.0","","0.0","","0.8","","0.8","","30","","","","<31",""
"-110.07","53.31","LLOYDMINSTER A","3013961","2009-01-11","2009","01","11","","-8.0","","-19.5","","-13.8","","31.8","","0.0","","0.0","","4.0","","3.6","","30","","36","","33",""
