"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-109.95","52.33","MACKLIN","4044850","2014-01-01","2014","01","01","†","-11.0","","-33.0","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","40","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-02","2014","01","02","†","-3.0","","-21.0","","-12.0","","30.0","","0.0","","0.0","","16.0","","16.0","","40","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-03","2014","01","03","†","-6.0","","-18.0","","-12.0","","30.0","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-04","2014","01","04","†","-22.5","","-30.5","","-26.5","","44.5","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-05","2014","01","05","†","-2.0","","-34.5","","-18.3","","36.3","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-06","2014","01","06","†","-16.5","","-32.0","","-24.3","","42.3","","0.0","","0.0","","3.0","","3.0","","52","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-07","2014","01","07","†","-16.0","","-19.0","","-17.5","","35.5","","0.0","","0.0","","0.0","T","0.0","T","52","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-08","2014","01","08","†","-11.0","","-18.5","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-09","2014","01","09","†","-8.5","","-12.5","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-10","2014","01","10","†","0.0","","-13.0","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","52","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-11","2014","01","11","†","2.5","","-12.0","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","50","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-12","2014","01","12","†","3.0","","-15.0","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","48","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-13","2014","01","13","†","1.0","","-12.0","","-5.5","","23.5","","0.0","","0.0","","1.0","","1.0","","46","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-14","2014","01","14","†","6.0","","-10.0","","-2.0","","20.0","","0.0","","0.0","T","0.0","","0.0","T","45","","","","",""
"-109.95","52.33","MACKLIN","4044850","2014-01-15","2014","01","15","†","8.0","","-3.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","44","","","","",""
