"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-01","2015","01","01","","1.1","","-6.7","","-2.8","","20.8","","0.0","","","M","","M","0.0","","5","","","","<31",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-02","2015","01","02","","0.7","","-17.3","","-8.3","","26.3","","0.0","","","M","","M","1.3","","4","","3","","39",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-03","2015","01","03","","-16.4","","-24.0","","-20.2","","38.2","","0.0","","","M","","M","1.7","","6","","","","<31",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-04","2015","01","04","","-16.3","","-29.7","","-23.0","","41.0","","0.0","","","M","","M","0.3","","7","","","","<31",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-05","2015","01","05","","-15.8","","-21.5","","-18.7","","36.7","","0.0","","","M","","M","4.2","","9","","","","<31",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-06","2015","01","06","","-14.2","","-16.9","","-15.6","","33.6","","0.0","","","M","","M","4.4","","11","","","","<31",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-07","2015","01","07","","-3.9","","-24.3","","-14.1","","32.1","","0.0","","","M","","M","0.2","","21","","17","","48",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-08","2015","01","08","","-4.9","","-26.2","","-15.6","","33.6","","0.0","","","M","","M","2.8","","17","","35","","48",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-09","2015","01","09","","-17.2","","-31.7","","-24.5","","42.5","","0.0","","","M","","M","0.3","","18","","","","<31",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-10","2015","01","10","","-11.8","","-17.2","","-14.5","","32.5","","0.0","","","M","","M","0.0","","17","","","","<31",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-11","2015","01","11","","-12.7","","-24.6","","-18.7","","36.7","","0.0","","","M","","M","0.0","","16","","","","<31",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-12","2015","01","12","","-8.6","","-24.8","","-16.7","","34.7","","0.0","","","M","","M","0.0","","16","","24","","33",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-13","2015","01","13","","-3.3","","-16.3","","-9.8","","27.8","","0.0","","","M","","M","0.0","","16","","21","","33",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-14","2015","01","14","","1.3","","-7.0","","-2.9","","20.9","","0.0","","","M","","M","0.0","","16","","23","","35",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-15","2015","01","15","","4.3","","-5.3","","-0.5","","18.5","","0.0","","","M","","M","0.0","","15","","21","","39",""
"-110.72","50.03","MEDICINE HAT RCS","3034485","2015-01-16","2015","01","16","","5.6","","-2.4","","1.6","","16.4","","0.0","","","M","","M","0.0","","15","","26","","54",""
