"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-01","2013","01","01","","0.3","","-8.9","","-4.3","","22.3","","0.0","","","M","","M","3.5","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-02","2013","01","02","","-3.8","","-15.7","","-9.8","","27.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-03","2013","01","03","","-1.4","","-14.5","","-8.0","","26.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-04","2013","01","04","","2.4","","-14.7","","-6.2","","24.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-05","2013","01","05","","-2.4","","-14.0","","-8.2","","26.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-06","2013","01","06","","3.3","","-9.1","","-2.9","","20.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-07","2013","01","07","","3.3","","-11.6","","-4.2","","22.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-08","2013","01","08","","2.7","","-9.2","","-3.3","","21.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-09","2013","01","09","","7.6","","-6.1","","0.8","","17.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-10","2013","01","10","","3.0","","-11.2","","-4.1","","22.1","","0.0","","","M","","M","3.6","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-11","2013","01","11","","-11.2","","-21.8","","-16.5","","34.5","","0.0","","","M","","M","1.5","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-12","2013","01","12","","-12.9","","-21.8","","-17.4","","35.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-13","2013","01","13","","-8.8","","-14.9","","-11.9","","29.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-14","2013","01","14","","1.2","","-15.3","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-15","2013","01","15","","3.8","","-0.4","","1.7","","16.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-16","2013","01","16","","4.8","","0.8","","2.8","","15.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-17","2013","01","17","","7.1","","-3.0","","2.1","","15.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-18","2013","01","18","","8.2","","-2.8","","2.7","","15.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-19","2013","01","19","","0.1","","-8.2","","-4.1","","22.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"-110.72","50.02","MEDICINE HAT","3034479","2013-01-20","2013","01","20","","-7.8","","-18.0","","-12.9","","30.9","","0.0","","","M","","M","0.0","","","","","","<31",""
