"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-01","2011","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-02","2011","01","02","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-03","2011","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-04","2011","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-05","2011","01","05","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-06","2011","01","06","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-07","2011","01","07","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-08","2011","01","08","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-09","2011","01","09","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-10","2011","01","10","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-11","2011","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-12","2011","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-13","2011","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-14","2011","01","14","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-15","2011","01","15","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-16","2011","01","16","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-17","2011","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-18","2011","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-19","2011","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-20","2011","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-21","2011","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-22","2011","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-23","2011","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-24","2011","01","24","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-25","2011","01","25","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-26","2011","01","26","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-27","2011","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-28","2011","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-29","2011","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-30","2011","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-01-31","2011","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-01","2011","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-02","2011","02","02","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-03","2011","02","03","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-04","2011","02","04","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-05","2011","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-06","2011","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-07","2011","02","07","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-08","2011","02","08","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-09","2011","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-10","2011","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-11","2011","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-12","2011","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-13","2011","02","13","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-14","2011","02","14","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-15","2011","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-16","2011","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-17","2011","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-18","2011","02","18","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-19","2011","02","19","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-20","2011","02","20","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-21","2011","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-22","2011","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-23","2011","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-24","2011","02","24","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-25","2011","02","25","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-26","2011","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-27","2011","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-02-28","2011","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-01","2011","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-02","2011","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-03","2011","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-04","2011","03","04","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-05","2011","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-06","2011","03","06","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-07","2011","03","07","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-08","2011","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-09","2011","03","09","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-10","2011","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-11","2011","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-12","2011","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-13","2011","03","13","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-14","2011","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-15","2011","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-16","2011","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-17","2011","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-18","2011","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-19","2011","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-20","2011","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-21","2011","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-22","2011","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-23","2011","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-24","2011","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-25","2011","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-26","2011","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-27","2011","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-28","2011","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-29","2011","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-30","2011","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-03-31","2011","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-01","2011","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-02","2011","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-03","2011","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-04","2011","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-05","2011","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-06","2011","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-07","2011","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-08","2011","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-09","2011","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-10","2011","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-11","2011","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-12","2011","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-13","2011","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-14","2011","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-15","2011","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-16","2011","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-17","2011","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-18","2011","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-19","2011","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-20","2011","04","20","†","","M","-7.0","","","M","","M","","M","","","","","","","","M","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-21","2011","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-22","2011","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-23","2011","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-24","2011","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-25","2011","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-26","2011","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-27","2011","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-28","2011","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-29","2011","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-04-30","2011","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-05-01","2011","05","01","†","13.0","","-1.0","","","M","","M","","M","0.0","","0.0","","0.0","","","M","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-05-02","2011","05","02","†","14.0","","2.0","","","M","","M","","M","0.2","","0.0","","0.2","","","M","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-05-03","2011","05","03","†","11.0","","4.0","","","M","","M","","M","3.4","","0.0","","3.4","","","M","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-05-04","2011","05","04","†","13.5","","1.0","","","M","","M","","M","0.0","","0.0","","0.0","","","M","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-05-05","2011","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-05-06","2011","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-114.18","55.55","MERIDIAN LO","3064515","2011-05-07","2011","05","07","","","","","","","","","","","","","","","","","","","","","","",""
