"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-01","2013","01","01","","1.9","","-12.6","","-5.4","","23.4","","0.0","","","M","","M","0.0","","37","","30","","48",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-02","2013","01","02","","1.0","","-15.6","","-7.3","","25.3","","0.0","","","M","","M","0.0","","37","","17","","32",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-03","2013","01","03","","1.3","","-8.8","","-3.8","","21.8","","0.0","","","M","","M","0.0","","37","","31","","44",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-04","2013","01","04","","-7.2","","-11.8","","-9.5","","27.5","","0.0","","","M","","M","0.0","","36","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-05","2013","01","05","","-4.8","","-11.9","","-8.4","","26.4","","0.0","","","M","","M","0.0","","36","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-06","2013","01","06","","-6.7","","-11.0","","-8.9","","26.9","","0.0","","0.0","","","M","0.6","","36","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-07","2013","01","07","","-6.2","","-12.9","","-9.6","","27.6","","0.0","","","M","","M","0.0","","37","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-08","2013","01","08","","-9.1","","-13.9","","-11.5","","29.5","","0.0","","0.0","","","M","0.4","","37","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-09","2013","01","09","","-10.2","","-20.2","","-15.2","","33.2","","0.0","","","M","","M","0.0","","37","","1","","35",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-10","2013","01","10","","-18.1","","-27.2","","-22.7","","40.7","","0.0","","","M","","M","0.4","","38","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-11","2013","01","11","","-12.9","","-18.1","","-15.5","","33.5","","0.0","","","M","","M","0.0","","38","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-12","2013","01","12","","-14.7","","-21.1","","-17.9","","35.9","","0.0","","","M","","M","0.7","","37","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-13","2013","01","13","","-19.3","","-27.7","","-23.5","","41.5","","0.0","","","M","","M","1.2","","38","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-14","2013","01","14","","-7.5","","-20.1","","-13.8","","31.8","","0.0","","","M","","M","0.0","","38","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-15","2013","01","15","","-6.7","","-18.0","","-12.4","","30.4","","0.0","","","M","","M","0.0","","41","","1","E","35","E"
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-16","2013","01","16","","-17.9","","-26.7","","-22.3","","40.3","","0.0","","0.0","","","M","0.5","","39","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-17","2013","01","17","","-15.5","","-27.6","","-21.6","","39.6","","0.0","","0.0","","","M","3.1","","40","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-18","2013","01","18","","-15.6","","-22.3","","-19.0","","37.0","","0.0","","0.0","","","M","3.8","","43","","4","","35",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-19","2013","01","19","","-22.0","","-28.6","","-25.3","","43.3","","0.0","","","M","","M","1.0","","45","","30","","32",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-20","2013","01","20","","-22.9","","-30.5","","-26.7","","44.7","","0.0","","","M","","M","0.0","","46","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-21","2013","01","21","","-19.8","","-30.7","","-25.3","","43.3","","0.0","","","M","","M","0.7","","45","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-22","2013","01","22","","-19.1","","-28.9","","-24.0","","42.0","","0.0","","","M","","M","1.0","","45","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-23","2013","01","23","","-21.1","","-31.7","","-26.4","","44.4","","0.0","","","M","","M","","M","45","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-24","2013","01","24","","-17.9","","-21.2","","-19.6","","37.6","","0.0","","","M","","M","1.3","","40","","15","","39",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-25","2013","01","25","","-12.6","","-22.9","","-17.8","","35.8","","0.0","","","M","","M","1.6","","44","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-26","2013","01","26","","-11.3","","-15.3","","-13.3","","31.3","","0.0","","","M","","M","0.0","","46","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-27","2013","01","27","","-11.2","","-19.3","","-15.3","","33.3","","0.0","","0.0","","","M","0.7","","44","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-28","2013","01","28","","-13.7","","-26.4","","-20.1","","38.1","","0.0","","0.0","","","M","0.6","","49","","3","","33",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-29","2013","01","29","","-26.4","","-30.7","","-28.6","","46.6","","0.0","","0.0","","","M","0.3","","49","","1","","32",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-30","2013","01","30","","-25.9","","-32.0","","-29.0","","47.0","","0.0","","","M","","M","1.9","","49","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-01-31","2013","01","31","","-21.6","","-33.8","","-27.7","","45.7","","0.0","","","M","","M","0.6","","49","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-01","2013","02","01","","-15.3","","-24.4","","-19.9","","37.9","","0.0","","0.0","","","M","2.4","","49","","3","","39",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-02","2013","02","02","","-16.1","","-23.5","","-19.8","","37.8","","0.0","","","M","","M","1.3","","59","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-03","2013","02","03","","-15.4","","-21.0","","-18.2","","36.2","","0.0","","0.0","","","M","0.9","","58","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-04","2013","02","04","","-12.4","","-15.5","","-14.0","","32.0","","0.0","","","M","","M","3.7","","60","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-05","2013","02","05","","-13.7","","-17.1","","-15.4","","33.4","","0.0","","","M","","M","1.3","","59","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-06","2013","02","06","","-11.7","","-20.7","","-16.2","","34.2","","0.0","","0.0","","","M","0.6","","57","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-07","2013","02","07","","-6.5","","-11.7","","-9.1","","27.1","","0.0","","","M","","M","2.9","","58","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-08","2013","02","08","","-2.3","","-11.3","","-6.8","","24.8","","0.0","","","M","","M","0.8","","57","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-09","2013","02","09","","-1.3","","-16.9","","-9.1","","27.1","","0.0","","","M","","M","0.9","","56","","3","","33",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-10","2013","02","10","","-4.0","","-18.6","","-11.3","","29.3","","0.0","","","M","","M","0.4","","57","","19","","32",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-11","2013","02","11","","5.4","","-6.9","","-0.8","","18.8","","0.0","","","M","","M","0.0","","56","","28","","44",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-12","2013","02","12","","1.0","","-5.5","","-2.3","","20.3","","0.0","","","M","","M","0.0","","55","","27","","32",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-13","2013","02","13","","-3.9","","-14.8","","-9.4","","27.4","","0.0","","","M","","M","0.3","","54","","3","","33",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-14","2013","02","14","","-2.6","","-13.9","","-8.3","","26.3","","0.0","","","M","","M","0.4","","54","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-15","2013","02","15","","3.8","","-11.9","","-4.1","","22.1","","0.0","","","M","","M","0.0","","53","","28","","33",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-16","2013","02","16","","6.0","","-3.0","","1.5","","16.5","","0.0","","","M","","M","0.0","","53","","3","","32",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-17","2013","02","17","","-3.0","","-16.6","","-9.8","","27.8","","0.0","","","M","","M","0.0","","50","","1","","39",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-18","2013","02","18","","-8.9","","-16.7","","-12.8","","30.8","","0.0","","","M","","M","0.0","","50","","15","","35",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-19","2013","02","19","","-11.1","","-16.2","","-13.7","","31.7","","0.0","","","M","","M","0.9","","49","","15","","43",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-20","2013","02","20","","-7.3","","-19.4","","-13.4","","31.4","","0.0","","0.0","","","M","0.9","","50","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-21","2013","02","21","","-3.5","","-12.8","","-8.2","","26.2","","0.0","","","M","","M","0.0","","51","","18","","32",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-22","2013","02","22","","-3.1","","-13.3","","-8.2","","26.2","","0.0","","","M","","M","0.3","","50","","15","","39",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-23","2013","02","23","","-0.6","","-7.4","","-4.0","","22.0","","0.0","","","M","","M","0.3","","50","","15","","33",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-24","2013","02","24","","0.3","","-12.4","","-6.1","","24.1","","0.0","","0.0","","","M","1.1","","50","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-25","2013","02","25","","0.3","","-11.3","","-5.5","","23.5","","0.0","","","M","","M","0.4","","50","","29","","32",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-26","2013","02","26","","-2.4","","-16.0","","-9.2","","27.2","","0.0","","","M","","M","0.0","","50","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-27","2013","02","27","","-1.0","","-13.8","","-7.4","","25.4","","0.0","","","M","","M","0.7","","50","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-02-28","2013","02","28","","3.7","","-9.8","","-3.1","","21.1","","0.0","","","M","","M","0.0","","50","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-01","2013","03","01","","5.1","","-3.4","","0.9","","17.1","","0.0","","","M","","M","0.0","","50","","29","","56",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-02","2013","03","02","","5.4","","-8.0","","-1.3","","19.3","","0.0","","","M","","M","0.0","","47","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-03","2013","03","03","","-2.6","","-10.0","","-6.3","","24.3","","0.0","","","M","","M","0.0","","46","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-04","2013","03","04","","-4.9","","-10.6","","-7.8","","25.8","","0.0","","","M","","M","0.0","","46","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-05","2013","03","05","","-1.9","","-14.3","","-8.1","","26.1","","0.0","","","M","","M","0.0","","46","","24","","41",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-06","2013","03","06","","-3.3","","-20.3","","-11.8","","29.8","","0.0","","","M","","M","0.0","","46","","24","","37",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-07","2013","03","07","","-10.1","","-21.7","","-15.9","","33.9","","0.0","","","M","","M","1.0","","46","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-08","2013","03","08","","-2.1","","-18.1","","-10.1","","28.1","","0.0","","","M","","M","0.3","","45","","3","","33",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-09","2013","03","09","","-5.5","","-14.5","","-10.0","","28.0","","0.0","","","M","","M","0.0","","45","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-10","2013","03","10","","3.8","","-9.5","","-2.9","","20.9","","0.0","","0.0","","","M","2.1","","46","","1","","43",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-11","2013","03","11","","-1.5","","-12.6","","-7.1","","25.1","","0.0","","","M","","M","0.5","","48","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-12","2013","03","12","","-6.5","","-16.0","","-11.3","","29.3","","0.0","","","M","","M","0.0","","48","","2","","43",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-13","2013","03","13","","-15.9","","-21.2","","-18.6","","36.6","","0.0","","","M","","M","0.0","","44","","4","","39",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-14","2013","03","14","","-16.0","","-23.8","","-19.9","","37.9","","0.0","","","M","","M","0.0","","44","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-15","2013","03","15","","-15.9","","-22.7","","-19.3","","37.3","","0.0","","","M","","M","0.0","","44","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-16","2013","03","16","","-15.3","","-27.6","","-21.5","","39.5","","0.0","","","M","","M","0.3","","45","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-17","2013","03","17","","-10.6","","-23.7","","-17.2","","35.2","","0.0","","","M","","M","0.3","","45","","30","","76",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-18","2013","03","18","","-6.7","","-23.7","","-15.2","","33.2","","0.0","","","M","","M","0.0","","45","","","","<31",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-19","2013","03","19","","-4.2","","-25.4","","-14.8","","32.8","","0.0","","0.0","","","M","0.3","","45","","16","","33",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-20","2013","03","20","","-3.3","","-11.0","","-7.2","","25.2","","0.0","","","M","","M","0.0","","44","","15","","63",""
"-111.56","57.04","MILDRED LAKE","3064528","2013-03-21","2013","03","21","","-5.7","","-8.6","","-7.2","","25.2","","0.0","","0.0","","","M","2.8","","44","","13","","52",""
